,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,16.52700,滚动弹幕,25,0xffffff,0,d19b17a9,46447587264299011,上班时间看咸书
2,31.83900,滚动弹幕,25,0xffffff,0,b9830d64,44348009190785029,搞定这么快，立马给你加事做
3,20.89300,滚动弹幕,25,0xffffff,0,9c5bb656,44318831284322309,新垣结衣？
4,21.18700,滚动弹幕,25,0xffffff,0,29713a60,44249075443826693,兔子队长油百万？
5,34.94000,滚动弹幕,25,0xffffff,0,811212fd,44195957125414919,我们公司没权限不能运行bat哈哈哈
6,33.87700,滚动弹幕,25,0xffffff,0,e2714dee,44177470011736071,没见过女的吧
7,11.02000,顶端弹幕,25,0xfef102,0,27bd9a7b,44131174743277571,我怎么也有那个白半截袖 看来是真穷
8,29.91300,滚动弹幕,25,0xffffff,0,1671c9dc,44120225535754243,批处理命令 永远滴神
9,11.28800,滚动弹幕,25,0xffffff,0,afc184a4,43834228518420483,要不是封面我也不会进来
10,25.14400,滚动弹幕,25,0xffffff,0,ad1fd6ed,43724406844293123,好漂亮的小姐姐
11,46.27800,滚动弹幕,25,0xffffff,0,e87dc255,43407413197406211,666
12,25.68700,滚动弹幕,25,0xffffff,0,1d9b6871,43406467726311431,小美好美
13,1.99200,滚动弹幕,25,0xffffff,0,d5f22733,43394545223204867,辛莱德好可爱
