,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,30.36100,滚动弹幕,25,0xffffff,0,6f9fb816,44818985955360771,好~
2,23.66000,滚动弹幕,25,0xffffff,0,16fde0fd,44803853149798407,无极滚轮的好处就展现出来了
3,5.49900,滚动弹幕,25,0xffffff,0,51f8a7a,44774968908578819,屁话
4,21.51900,滚动弹幕,25,0xffffff,0,e4a20bdf,44774266075348997,指导：火并王伦
5,33.76900,滚动弹幕,25,0xffffff,0,ddb0d9b,44758327637311493,我不会做ppt…
6,4.30100,滚动弹幕,25,0xffffff,0,4d3263bf,44725325293682693,马也哥？
7,5.31900,顶端弹幕,25,0xe70012,0,84b274ae,44692106068885507,仙  人  指  路
8,7.10000,滚动弹幕,25,0xe70012,0,64dba7bb,44689296468213763,《千 万 不 要》
9,16.73200,滚动弹幕,25,0xffffff,0,ccd3cc56,44661761872756741,千万（不）要
10,27.95400,滚动弹幕,25,0xffffff,0,26bd412e,44638730131079173,不要就是要
11,32.47600,滚动弹幕,25,0xffffff,0,3c401f97,44637942912122885,懂了
12,15.72000,滚动弹幕,25,0xffffff,0,3c401f97,44637924590354435,疯狂暗示
13,21.75000,滚动弹幕,25,0xffffff,0,67ea6938,44553188916854787,我有罗技502
14,28.82000,滚动弹幕,25,0xffffff,0,8554ef24,44544983444226053,新手有用，老油条就这？
15,8.13300,滚动弹幕,25,0xffffff,0,8554ef24,44544972655951879,这都不是事
16,27.53900,滚动弹幕,25,0xffffff,0,bca322d1,44517200187359239,学到了
17,32.83000,滚动弹幕,25,0xffffff,0,10cb64b0,44508998986629127,你们公司就你会用ppt
18,40.23000,滚动弹幕,25,0xffffff,0,728956d0,44501938833195015,好的，都会做一边的
19,6.75900,滚动弹幕,25,0x84c0cb,0,69cb6394,44474829921845251,你在教我做事？？
20,39.24000,滚动弹幕,25,0xffffff,0,5fe9f0ea,44421639333478403,那你说个大西瓜
21,3.86800,滚动弹幕,25,0xffffff,0,d93ede3f,44408344248057861,坏熊
22,39.78000,顶端弹幕,25,0xe70012,0,6de0095f,44404949764276231,学到了，这就去做
23,43.13600,滚动弹幕,25,0xffffff,0,b50711dd,44401407123521543,你怎么获得你同事ppt的？
24,6.37600,滚动弹幕,25,0xffffff,0,e37dfcf9,44393959278510083,谢谢！学废了
25,27.96500,滚动弹幕,25,0xffffff,0,8ea5e5cb,44381071225651203,夺笋呐你，危害社会，点踩了
26,41.22000,滚动弹幕,25,0xffffff,0,1e518e94,44366478886567943,最后一个是放屁的声音吧，哈哈哈
27,18.86300,滚动弹幕,25,0xffffff,0,2c34a70e,44324311435051013,我听懂了
28,22.18800,滚动弹幕,25,0xffffff,0,ad5ea705,44276867962241031,502可解
29,5.28100,滚动弹幕,25,0xffffff,0,3ddc31b0,44276591873753091,抱歉我用keynote
30,7.69600,滚动弹幕,25,0xffffff,0,34a0cf89,44214890919886851,仙人指路
31,23.86000,滚动弹幕,25,0xffffff,0,fde5b3a6,44204940542345221,学到了
32,38.09600,顶端弹幕,25,0xe70012,0,f3da3ff9,44182031354560519,丫的他如果他也这样子对我我应不应该这样对他
33,1.83900,滚动弹幕,25,0xffffff,0,2911488c,44179270586073095,U盘是个好东西
34,19.38000,滚动弹幕,25,0xffffff,0,8e1baef1,44176507956363267,仙人指路
35,29.22200,滚动弹幕,25,0xffffff,0,bbd68d85,44172802061238279,我学到了
36,26.34500,滚动弹幕,25,0xffffff,0,8f29b3ec,44168549305942019,每个人都是自己生活里的主角，都认为别人才是那个反派
37,25.85700,滚动弹幕,25,0xffffff,0,2499dcb0,44164841138028549,郎平！！！！
38,11.78000,滚动弹幕,25,0xffffff,0,d8683d63,44163528594030597,六千多收藏，你们是魔鬼吗？？哈哈哈哈哈哈
39,29.09400,滚动弹幕,25,0xffffff,0,9bf11708,44160116589592579,竞争对手会学
40,24.61200,滚动弹幕,25,0xffffff,0,7b0f5a17,44123083840159749,可真是个善良的姑娘
41,36.35900,滚动弹幕,25,0xffffff,0,aeaf73de,44120471335075843,贱不贱呐
42,23.31000,滚动弹幕,25,0xffffff,0,49ad34d2,44119036994781189,明白了，现在就做
43,24.30000,滚动弹幕,25,0xffffff,0,700165e2,44047141648728067,就怕真的小人学到了用来损人
44,38.01900,滚动弹幕,25,0xffffff,0,4d5404e,44038933482307591,千万要
45,34.12500,滚动弹幕,25,0xffffff,0,d4fe384f,44003672349736963,仙人指路
46,38.51700,滚动弹幕,25,0xffffff,0,8cca1985,44000895909232647,学会了
47,11.55000,滚动弹幕,25,0xe70012,0,e5115879,43994273479131143,千万不要=千万要
48,10.71300,滚动弹幕,25,0xffffff,0,9968e88c,43868387310305285,美美美了，
49,32.53000,滚动弹幕,25,0xffffff,0,f30da6ec,43844499302514691,学到了
50,30.38100,滚动弹幕,25,0xffffff,0,91ba9f51,43823699005538309,小美是我的，谁赞成谁反对？
51,30.81700,滚动弹幕,25,0xffffff,0,b3185e57,43775108974641155,哈哈哈！好可爱
52,31.90300,滚动弹幕,25,0xffffff,0,5d412281,43773879949197317,小美好坏啊，我好喜欢
53,29.95700,滚动弹幕,25,0xffffff,0,1d9b6871,43678325842903047,疯狂暗示
54,36.77200,滚动弹幕,25,0xffffff,0,d1362f6a,43659255738793991,夺笋呐
