,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,0.61900,滚动弹幕,25,0xffffff,0,8d8f1be3,44979375988801539,假教程，让老板看到过一次这种，老板非要我做，你们真的害人
2,15.20700,滚动弹幕,25,0xffffff,0,14669e99,44955661902020615,，，，，，，，，，，，，，，，，，，，，，，，，，，
3,1.88200,滚动弹幕,25,0xffffff,0,94b0d343,44938175441272839,那么复杂，拉对比度不香么？
4,26.63400,滚动弹幕,25,0xffffff,0,3efd3889,44915047581876231,","
5,19.50600,滚动弹幕,25,0xffffff,0,3efd3889,44914955007819781, ………^
6,19.44500,滚动弹幕,25,0xffffff,0,3efd3889,44914884164976647,。。 
7,20.93900,滚动弹幕,25,0xffffff,0,3870ee82,44879693741031431,你家春节49天啊？ 
8,5.90000,滚动弹幕,25,0xffffff,0,64818c70,44853647380578311,直接扔扫描全能王就行了
9,9.23800,滚动弹幕,25,0xffffff,0,b977f989,44847962613874691,别在害人了
10,15.95500,滚动弹幕,25,0xffffff,0,4978b617,44845871301394437,学习
11,15.67800,滚动弹幕,25,0xffffff,0,76624b4f,44798454839377923,先点为敬……
12,5.05100,滚动弹幕,25,0xffffff,0,cbe6ae3e,44798345000517639,所以你就画出来？
13,6.41200,滚动弹幕,25,0xffffff,0,d60ca787,44795554293612551,66666
14,29.26300,滚动弹幕,25,0xffffff,0,83e26f33,44792313781157891,卓威？
15,7.93800,滚动弹幕,25,0xffffff,0,5fa1438f,44745245019078661,学到了
16,32.87800,滚动弹幕,25,0xffffff,0,f816dcf4,44726705638080515,下个topaz 的无损放大不香么
17,9.17100,滚动弹幕,25,0xffffff,0,b50780fa,44705821919019011,别看了，浪费时间，假教程
18,11.48900,滚动弹幕,25,0xffffff,0,2addfea7,44699723038195719,。。
19,4.68100,滚动弹幕,25,0xffffff,0,597830bc,44618581044887559,6呀
20,20.58100,滚动弹幕,25,0xffffff,0,c1923b53,44594544374185989,666然后打印出来一堆花边
21,12.52200,滚动弹幕,25,0xffffff,0,efc83d5,44585361173643269,cs扫描王
22,12.83700,滚动弹幕,25,0xffffff,0,4d015c69,44521803816632325,？马赛克变字了？
23,15.07800,滚动弹幕,25,0xffffff,0,93773f34,44518462767759363,牛蛙
24,3.97200,滚动弹幕,25,0xffffff,0,fa950c79,44513881472106499,666
25,20.62200,滚动弹幕,25,0xffffff,0,fc16453b,44451243512299527,？？？？
26,21.70100,滚动弹幕,25,0xffffff,0,7ea65977,44436377516900357,_
27,0.60700,滚动弹幕,25,0xffffff,0,1a1c2462,44423349296693255,下载一个软件就好了
28,7.86000,滚动弹幕,25,0xffffff,0,38938111,44052920970772483,。
