,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,11.71900,滚动弹幕,25,0xffffff,0,cc02fd79,46436259058941957,PS能去马赛克了？？？
2,39.00000,滚动弹幕,25,0xffffff,0,1c8ffe05,46425822120116227,这个国语 哈哈哈
3,29.24100,滚动弹幕,25,0xffffff,0,47123ba8,45358604193103879,为什么我的并没有消失而是变色了
4,29.39500,滚动弹幕,25,0xffffff,0,e9ce059d,44926898888245255,底下是红的或者花的怎么搞？
5,19.12600,滚动弹幕,25,0xe70012,0,a140be33,44906078928896069,你在教韩国人去水印？
6,8.88000,滚动弹幕,25,0xffffff,0,21829085,44905854257332231,10秒了
7,1.07900,滚动弹幕,25,0xffffff,0,ff9d83ac,44848383524339715,好家火
8,13.27900,滚动弹幕,25,0xffffff,0,e39540ee,44847819570806789,妈妈，我要学这个
9,15.82000,滚动弹幕,25,0xffffff,0,a00dad25,44834465962262533,千万不要让盗图的看到
10,27.38200,滚动弹幕,25,0xffffff,0,235afed3,44793054826070023,肖斯拉
11,25.89500,滚动弹幕,25,0xffffff,0,3746763b,44716662974316547,十秒到了 
12,36.41900,滚动弹幕,25,0xffffff,0,fe187c5c,44714242268987399,芜湖
13,28.30000,滚动弹幕,25,0xffffff,0,3558cfae,44708740956422151,消斯啦
14,32.23700,滚动弹幕,25,0xffffff,0,bfec72e5,44698833194582021,能去衣服吗
15,23.21300,滚动弹幕,25,0xffffff,0,281a8a24,44690309947850759,这是10秒吗
16,13.78800,滚动弹幕,25,0xffffff,0,8badb602,44668133733564419,时间到
17,29.94100,滚动弹幕,25,0xffffff,0,c82bea9c,44628060152004613,10秒过了
18,7.89900,顶端弹幕,25,0xffffff,0,adfb4910,44626099200589831,大家一起来它盗视频
19,3.28000,滚动弹幕,25,0xffffff,0,adfb4910,44622229051801605,大伙儿来啊一起盗视频
20,28.71900,滚动弹幕,25,0xffffff,0,d467b793,44603673998786565,这个普通话我，噗嗤
21,17.57900,顶端弹幕,25,0xe70012,0,f3cfa24c,44568628799995909,十秒到了
22,1.85700,滚动弹幕,25,0xffffff,0,af6cdc04,44538380966428679,原创怎么办啊
23,20.35100,滚动弹幕,25,0xffffff,0,c665994c,44524452999856133,十秒到了
24,17.41900,滚动弹幕,25,0xffffff,0,f3dc2a1f,44519434375659523,十秒到了，说好的十秒搞定呢
25,29.14800,滚动弹幕,25,0xffffff,0,fbc5fe0a,44514922111959043,每天一个入狱小技巧
26,23.13300,滚动弹幕,25,0xffffff,0,3877e9e6,44496978981683207,10过了
27,11.06100,滚动弹幕,25,0xffffff,0,8bf4bd74,44494735462105093,你在教营销号怎么做啊？
28,32.31900,滚动弹幕,25,0xffffff,0,8bf4bd74,44494726139215875,原创者怎么活啊？
29,29.06200,滚动弹幕,25,0xffffff,0,9a440453,44465898142564359,"= ：。。,。%。。 @。 。    。  ！       '   。。。。。  ， 。，。 。 。 。 = +     。      。    , 。 % @  。。   '         ！  "
30,37.06600,滚动弹幕,25,0xffffff,0,9a440453,44465874759319557,"好,      '"
31,22.87500,滚动弹幕,25,0xffffff,0,9a440453,44465868483067907,一. . + . *.   .*.* */ */  .    .* 。 ：。 .+  .       ！！       ！    %  ！   ！        +  
32,31.16200,滚动弹幕,25,0xffffff,0,9a440453,44465858986115079,"⊥   *,  %。   =        ！ *.**...   .*  *！ . ..  "
33,25.88300,滚动弹幕,25,0xffffff,0,9a440453,44465851346714629,   ，   . . . . . ， ，. 
34,21.34200,滚动弹幕,25,0xffffff,0,9a440453,44465847475896327,"'w        ,   ！：（   '      *.    +   + *"
35,34.56800,滚动弹幕,25,0xffffff,0,9a440453,44465843313573895,上一. @. .            ！           ..=  .  @ 
36,20.20700,滚动弹幕,25,0xffffff,0,9a440453,44465834853138439,              。%。  。     .+/.
37,28.04000,滚动弹幕,25,0xffffff,0,9a440453,44465831294271493,d. （   ！@，   ' ！      ！  
38,28.04000,滚动弹幕,25,0xffffff,0,9a440453,44465828877828101,"！，      ！   % @        *..,  */' ,'   '！  =，  ！ ！！ '   //    "
39,22.02400,滚动弹幕,25,0xffffff,0,9a440453,44465823885033475,还能不能     .   ' * *        ！ 
40,20.94500,滚动弹幕,25,0xffffff,0,9a440453,44465818922647555,一一一               *.   . *        
41,22.93200,滚动弹幕,25,0xffffff,0,9a440453,44465814346137607,b. +    .           '        +      。，  。。。。 。（  @  ： 。     
42,22.93200,滚动弹幕,25,0xffffff,0,9a440453,44465808402808837,d   '       '       
43,22.93200,滚动弹幕,25,0xffffff,0,9a440453,44465805886750725,"       ：%  ,。。。          ！ ！ '   "
44,23.21600,滚动弹幕,25,0xffffff,0,9a440453,44465803676876803,"→  +/  .,*  ,     * .. '         .* '    '        '     。。,。   （=      。 @ （  。=  "
45,28.09700,滚动弹幕,25,0xffffff,0,9a440453,44465793240924165,   '      .    '   +' *  。 
46,24.69100,滚动弹幕,25,0xffffff,0,9a440453,44465789051338759,"亠。 。  。  。 ！ '            **    *                  . *   * ** . *  '        （,       = ：         。  "
47,29.45900,滚动弹幕,25,0xffffff,0,9a440453,44465776224632837,"小      ！,   @   ！          '         *                     ！            .    .        *'           。"
48,24.69100,滚动弹幕,25,0xffffff,0,9a440453,44465763478142983,  ！   （@ ！ + '：       
49,21.22900,滚动弹幕,25,0xffffff,0,9a440453,44465761101545477,  .  *   .   *  ！       
50,22.19400,滚动弹幕,25,0xffffff,0,9a440453,44465758061199365,      '      '       ！     . ！  ！         （% 。%%      ！     ....  + .      
51,21.51300,滚动弹幕,25,0xffffff,0,9a440453,44465750911483911,一'     *  . .  .*   .      . '           +   '
52,34.96500,滚动弹幕,25,0xffffff,0,9a440453,44465746123161607,的    
53,25.42900,滚动弹幕,25,0xffffff,0,9a440453,44465741644169223,"  *. . *..  *. 。 。 ： （          ，    ：    %。     . ..  *    ' '  '  ，,          "
54,30.93500,滚动弹幕,25,0xffffff,0,9a440453,44465733844336645,"   ... *. + .。。。 ,  ......  ..  。  。  。。 ， ：。。    。。    。 *.    * ... *,    ..   .    +/.. . . . .  "
55,30.93500,滚动弹幕,25,0xffffff,0,9a440453,44465725875683331,    。。。。，。 。。。。 + 。。   ' '  *。。  / 
56,26.95300,滚动弹幕,25,0xffffff,0,9a440453,44465703572996099,的一二一一一一二一 
57,26.95300,滚动弹幕,25,0xffffff,0,9a440453,44465666385772547,"。。          。，   。 。 。，  。，                ., "
58,12.04900,滚动弹幕,25,0xffffff,0,9a440453,44465661131358211,上
59,29.66000,滚动弹幕,25,0xffffff,0,f5b85af0,44446277274435589,所以说曾经火了一时的去除马赛克软件的原理就是这个
60,28.79300,滚动弹幕,25,0xffffff,0,5d9fa57,44433179404664837,马赛克可以去吗
61,32.73900,滚动弹幕,25,0xe2027f,0,3dc7a0bb,44429138644172807,20秒了
62,25.54400,滚动弹幕,25,0xffffff,0,b13c9d40,44392105390899203,20秒了
63,27.62800,滚动弹幕,25,0xffffff,0,48c4177b,44342736023715843,你超过十秒啦
64,21.71500,滚动弹幕,25,0xffffff,0,aad73aa2,44321126784434181,10秒了
65,24.71900,滚动弹幕,25,0xffffff,0,8216da7f,44242864122101763,干货啊
66,24.32800,滚动弹幕,25,0xffffff,0,1a7f7c77,44157399665213443,过了
