,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,325.51700,滚动弹幕,25,0xffffff,0,4e3de4c9,46494864097411077,hhhhh
2,259.41700,滚动弹幕,25,0xffffff,0,4e3de4c9,46494829004193797,好娘
3,202.85900,滚动弹幕,25,0xffffff,0,4e3de4c9,46494791534379015,跟张大大一样讨人厌
4,160.99900,滚动弹幕,25,0xffffff,0,4e3de4c9,46494765499285511,哈哈哈哈哈哈哈
5,103.35900,滚动弹幕,25,0xffffff,0,4e3de4c9,46494733859028995,hhhhhh
6,105.85600,滚动弹幕,25,0xffffff,0,a886a3aa,46435847559446531,看了几秒就有点窒息
7,90.62400,滚动弹幕,25,0xffffff,0,a886a3aa,46435833880772611,尴尬癌犯了
8,451.00000,滚动弹幕,25,0xffffff,0,206c61a,45265865194602501,纯手工画画，6啊
9,258.07900,滚动弹幕,25,0xffffff,0,206c61a,45265761256603651,乜节目
10,115.19500,滚动弹幕,25,0xffffff,0,2ec21eb7,45173262086832133,其实我觉得都挺好的呀，个予己见嘛。
11,254.10000,滚动弹幕,25,0xe2027f,0,93f4e6cd,45123203028221957,呕呕呕呕
12,235.22000,滚动弹幕,25,0xe2027f,0,93f4e6cd,45123191131602951,前面的就他还无奈，鬼信
13,164.06000,滚动弹幕,25,0xe2027f,0,93f4e6cd,45123145016803335,你币有了
14,95.37900,滚动弹幕,25,0xa0ea,0,93f4e6cd,45123102188765187,何旻哲真的无语，我看了都想抽他
15,91.25900,滚动弹幕,25,0xffffff,0,93f4e6cd,45123090568970243,何姐真的是人见人厌
16,245.83000,滚动弹幕,25,0xffffff,0,67fd3f18,45093425348345863,妈呀这段建议来不及跑的赶紧静音
17,249.31900,滚动弹幕,25,0xffffff,0,90092f37,45032165433933829,徐律嫌弃的表情
18,299.29600,滚动弹幕,25,0xffffff,0,9a904292,44952590009499655,这杯子
