,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,23.68200,滚动弹幕,25,0xffffff,0,524ee9bf,45801650046107655,来看看
2,20.75700,滚动弹幕,25,0xffffff,0,c3dc869d,45800028860055555,麦爆了
3,39.65900,滚动弹幕,25,0xffffff,0,bdc4ede9,45768637842718727,辞职信是通知领导我要辞职了
4,45.45800,滚动弹幕,25,0xffffff,0,35330fa2,45764037376999427,一般公司都有模板，就写辞职申请
5,118.45800,滚动弹幕,25,0xffffff,0,d8fe515e,45761860348674053,还是“世界那么大我想去看看”比较好
6,107.49800,滚动弹幕,25,0xffffff,0,d8fe515e,45761842620923907,感觉不是很对
7,13.91900,滚动弹幕,25,0xffffff,0,b1b26731,45760481624850439,炸裂音质
8,101.24800,滚动弹幕,25,0xffffff,0,f6cad8cc,45684366401077255,能力有限公司
9,101.25100,滚动弹幕,25,0xffffff,0,ab0e7cd,45673212845490181,辞职本来也没赔偿金啊
10,124.00000,滚动弹幕,25,0xffffff,0,e6659652,45628779422285827,使用邮箱公司说没有收到或者没有看到怎么办
11,110.12700,滚动弹幕,25,0xffffff,0,b0f712e2,45581939881017351,有现成辞职信模板吗？
12,30.89500,滚动弹幕,25,0xffffff,0,4d00f891,45569181539106819,这年头还有辞职信这种东西？
13,59.78600,滚动弹幕,25,0xffffff,0,8ee4b49d,45497378148974599,没合同的兄弟发财了，赔三倍工资
14,65.93800,滚动弹幕,25,0xffffff,0,117850af,45494001282318341,劳动合同只有甲乙方怎么办
15,121.16000,滚动弹幕,25,0xffffff,0,57b154ec,45440664403968005,996
16,39.70000,滚动弹幕,25,0xffffff,0,9be4c570,45435106322546693,会计法里面有
17,94.93900,滚动弹幕,25,0xffffff,0,8c85104d,45404682076553223,不建议个人原因
18,67.43100,滚动弹幕,25,0xffffff,0,12d10ba0,45397562084032517,没合同辞职都不用了，直接仲裁，一仲一个准
19,66.80000,滚动弹幕,25,0xffffff,0,818dbb5b,45393013568962567,没劳动合同咋办？
20,19.96500,滚动弹幕,25,0xffffff,0,8f40475e,45377981899079687,麦炸了
