,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,49.00000,滚动弹幕,25,0xffffff,0,4a0f5ee5,46515893298003973,透视是什么意思
2,2.05400,滚动弹幕,25,0xffffff,0,54ab9ba4,45613672286912517,不见星空？？
3,18.16600,滚动弹幕,25,0xffffff,0,b3b74fd8,45407873761542151,这男生好像我同学
4,15.77200,滚动弹幕,25,0xffffff,0,c76de992,45313131317035013,同款电脑
5,36.28700,滚动弹幕,25,0xffffff,0,65c5f646,45200985772523523,那我三张同等关系的图不就只突出中间了吗？
6,16.04700,滚动弹幕,25,0xffffff,0,8ce7bbf6,45183370728570885,好像1988里的东龙
7,19.54800,滚动弹幕,25,0xffffff,0,605eddbc,44862491532984323,伤害性不强，侮辱性极大
8,21.72700,滚动弹幕,25,0xffffff,0,9655206e,44814560716652547,一个公司就你一个傻子
9,15.82300,滚动弹幕,25,0xffffff,0,db5103a4,44808355255418883,这个男的好玩
10,29.65200,滚动弹幕,25,0xffffff,0,2cf8fc57,44762074096599045,我喜欢这个傻子
11,48.14600,滚动弹幕,25,0xffffff,0,4f874d7c,44704381857693703,小美，回家吃饭了
12,12.45200,滚动弹幕,25,0xffffff,0,a309de66,44681425008459783,小姐姐我喜欢你。
13,14.53500,滚动弹幕,25,0xffffff,0,c47cc972,44628992176685059,可爱+1
14,28.49900,滚动弹幕,25,0xffffff,0,e562875f,44614841349963779,暂停，看懂了
15,0.78000,滚动弹幕,25,0xffffff,0,d5f22733,44571115040276547,辛莱德好可爱啊啊啊
