,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,32.35400,滚动弹幕,25,0xffffff,0,f9374386,44787973312479235,80后表示 从不加班
2,39.00000,滚动弹幕,25,0xffffff,0,122cc902,44550314657316867,原来我是00后
3,17.45200,滚动弹幕,25,0xffffff,0,6c7e79de,44451726459142149,标题都不会写，你应该说部分 
4,35.69600,滚动弹幕,25,0xffffff,0,3eeb0c0a,44402585636962307,走吧，以后不用再来了
5,37.30100,滚动弹幕,25,0xffffff,0,688daa6e,44363465367748613,赞
6,24.80900,滚动弹幕,25,0xffffff,0,6f30e4eb,44353590350315527,放屁
7,21.92100,滚动弹幕,25,0xffffff,0,86b495e4,44311613738057733,屁00还在上学
8,35.63900,滚动弹幕,25,0xffffff,0,335ca727,44308255830179847,看不起我95后？？？
9,2.41900,滚动弹幕,25,0xffffff,0,92c78fb,44226959234826245,加班也行  得加钱
10,16.55900,滚动弹幕,25,0xffffff,0,d1fa0d8d,44117177309593603,加班是不可能加班的
11,27.91700,滚动弹幕,25,0xffffff,0,c8ee3d9f,44064870134972421,这跟年龄无关，跟你家差不差钱有关
12,5.07100,滚动弹幕,25,0xffffff,0,177fc277,44021748006912005,当年的80后也和现在的00后一样
13,29.87900,滚动弹幕,25,0xffffff,0,d1fa0d8d,43993750859939847,但是我拒绝
14,31.44100,滚动弹幕,25,0xffffff,0,50ebe9f,43975709590814723,今天的活做完了，明天给你安排1.5倍的活，后天再加
15,31.06500,滚动弹幕,25,0xffffff,0,add662f5,43908730133151749,00表示正常加班
16,11.30400,滚动弹幕,25,0xffffff,0,add662f5,43908716531023875,80后从不加班路过
17,1.90500,滚动弹幕,25,0xffffff,0,eff1bf37,43904684830228487,锤子！
18,12.19400,滚动弹幕,25,0xffffff,0,bb9a4a96,43840735232393219,加nmb
19,30.45900,滚动弹幕,25,0xffffff,0,1fe5dd1,43816438175105031,00后:ppt是啥子？
20,10.94000,滚动弹幕,25,0xffffff,0,1fe5dd1,43816420692721667,我们90都是主动加班
21,31.38500,滚动弹幕,25,0xffffff,0,53d9a327,43768918380118019,一个比一个奴性弱
22,26.10400,滚动弹幕,25,0xffffff,0,a93863bc,43764946203836421,我们80后已经退休了
23,2.65500,滚动弹幕,25,0xffffff,0,c6691d6b,43712584413085703,哈哈哈
24,37.48100,滚动弹幕,25,0xffffff,0,a9b576e1,43682869236727811,80后那么多人都当经理？
25,35.62700,滚动弹幕,25,0xffffff,0,6f2cf1ea,43629767346880515,哈哈哈
26,25.26300,滚动弹幕,25,0xffffff,0,1f20cb32,43624435828129799,00后都被开除了，90后还没升职，80后熬到经理了
27,5.44900,滚动弹幕,25,0xffffff,0,5541177a,43573467679817799,活不到下周一了吗？笑死
28,11.51900,滚动弹幕,25,0xffffff,0,c06d1a1a,43502904862572549,哦（然后趁吃饭的时候溜走doge）
29,12.65000,滚动弹幕,25,0xffffff,0,cdc255d4,43461389663076355,本80表示嘴上确实是这么说的但是心里。。呵呵
30,37.87400,滚动弹幕,25,0xffffff,0,d95bab0b,43459152286056455,这个男领导眼睛是不是加班出问题的?如果是 那算不算工伤
31,35.91700,滚动弹幕,25,0xffffff,0,abcfd818,43456988250112003,毫无演技
32,14.06200,滚动弹幕,25,0xffffff,0,d438a643,43442391841505283,真假，
33,9.35400,滚动弹幕,25,0xffffff,0,d438a643,43442339650732037,胡说，我们八零后不是这样。
34,16.97700,滚动弹幕,25,0xffffff,0,a82e5c,43438511586017287,所以说 中国的年轻孩子们在慢慢觉醒
35,6.73100,滚动弹幕,25,0xffffff,0,e6587403,43411611071807491,90后表示还在上学
36,3.67400,滚动弹幕,25,0xffffff,0,e6587403,43411604364591107,90
37,12.59600,滚动弹幕,25,0xffffff,0,c83a925b,43333573739544579,可拉倒吧
