,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,360.76000,滚动弹幕,25,0xffffff,0,2d91bad7,46376322770927619,猪:大熊猫还没我稀有
2,166.44000,滚动弹幕,25,0xffffff,0,2d91bad7,46376206840889347,转基因:以前的我你看不起，现在的我你高攀不起！
3,395.96900,滚动弹幕,25,0xffffff,0,832dca31,45901689647005699,恩
4,12.45900,滚动弹幕,25,0xffffff,0,705fed19,45889040532635651,把人活活逼死
5,51.21400,滚动弹幕,25,0xffffff,0,dc9cf490,45546084837097477,2
6,224.58200,滚动弹幕,25,0xffffff,0,a10ed982,45527536004235269,种子研发投入是需要天量的真金白银的，还不一定能研发成功。
7,274.29500,滚动弹幕,25,0xffffff,0,520ac843,45228007859683335,本土猪肥肉太多，贼难吃
8,194.91900,滚动弹幕,25,0xffffff,0,5bc78ba0,45220488712028163,没技术的亏
9,352.55600,滚动弹幕,25,0xffffff,0,ed5b07fb,45219338470817799,没技术说啥也白费
10,53.25100,滚动弹幕,25,0xffffff,0,5be4da0,45209463782637573,1
11,52.68800,滚动弹幕,25,0xffffff,0,5952ca1a,45209332519796741,2
12,54.90700,滚动弹幕,25,0xffffff,0,6cc2339a,45209269893070855,2
13,49.23900,滚动弹幕,25,0xffffff,0,6c702022,45202325749891075,22222
14,52.15600,滚动弹幕,25,0xffffff,0,e9363281,45201364058898437,111
15,50.97900,滚动弹幕,25,0xffffff,0,310f50a8,45201325426737159,2222222
16,51.15000,滚动弹幕,25,0xffffff,0,e943546f,45200589326385159,222
17,403.44000,滚动弹幕,25,0xffffff,0,9c1ca2bd,45199249588617223,酱香才是王道
18,53.13600,滚动弹幕,25,0xffffff,0,b14329c6,45197569301676039,2
19,49.96100,滚动弹幕,25,0xffffff,0,13e3da8,45197173753118725,2
20,206.77900,滚动弹幕,25,0xffffff,0,205564cc,45195739634073605,人类啊 生物界唯一同类相残的物种
21,405.97900,滚动弹幕,25,0xffffff,0,f0c74394,45185692352905219,研究种猪技术还不如研究混凝土技术
22,55.23600,滚动弹幕,25,0xffffff,0,bb55dddf,45182354931580935,222
23,256.75000,滚动弹幕,25,0xffffff,0,6e3b2fe4,45181046219079687,猪啊   少民不吃，所以解决的方法就是压榨汉民
24,38.38000,滚动弹幕,25,0xffffff,0,6e3b2fe4,45180915509886979,都忙着开发房地产，谁给你地种
25,71.72300,滚动弹幕,25,0xffffff,0,9af202e6,45180289661534211,我知道中储，但不相信
26,59.68400,滚动弹幕,25,0xffffff,0,f3e927cd,45179949103448069,2
27,363.83000,滚动弹幕,25,0xe2027f,0,49aa1138,45178467371188227,科技代差就是降维打击
28,208.97900,滚动弹幕,25,0xffffff,0,11fd67f9,45177295432843269,直接掀桌子
29,57.65900,滚动弹幕,25,0xffffff,0,471dcc85,45168388226416643,你知道中储粮吗
30,404.89800,滚动弹幕,25,0xffffff,0,a18c73ff,45167937906540547,没有一个企业真正投入研发，都是拿来主义赚钱
31,338.87200,滚动弹幕,25,0xffffff,0,a18c73ff,45167903225937925,国策是失败群众买单
