,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,403.31000,顶端弹幕,25,0xe70012,0,87c8b62a,44175955711754245,《农村包围城市战略》
2,26.32400,滚动弹幕,25,0xffffff,0,2c377292,46668283497676803,前几年在芜湖上学一天伙食20足以，七块一荤两素分量还足，一天15也能过的
3,84.84900,滚动弹幕,25,0xffffff,0,be732fd9,46644398464172039,蜜桃四季春yyds
4,35.01900,滚动弹幕,25,0xffffff,0,31e10511,46632270610038787,我喝就从来不拍
5,316.31800,滚动弹幕,25,0xffffff,0,506d6990,46624442459095047,爱了爱了
6,21.84700,滚动弹幕,25,0xffffff,0,8c74c995,46609014583721989,因为穷批多
7,106.13800,滚动弹幕,25,0xfef102,0,96aa7f90,46606767781576709,摇摇奶昔不配有名字？？
8,14.64200,滚动弹幕,25,0xffffff,0,ac4a16f0,46602400820101123,8
9,6.23900,滚动弹幕,25,0xffffff,0,f1eb5019,46583438105903107,不愿意买
10,6.36000,滚动弹幕,25,0xffffff,0,b4a08d6b,46581734894993415,我不喝奶茶
11,422.09500,滚动弹幕,25,0xffffff,0,81d3db79,46565176296603653,大城市的孩子哭了，根本没见过门店
12,263.18700,滚动弹幕,25,0xffffff,0,81d3db79,46565081176604677,怪可爱的还
13,248.00200,滚动弹幕,25,0xffffff,0,81d3db79,46565068219875331,椰树老板直呼内行
14,240.10200,滚动弹幕,25,0xffffff,0,81d3db79,46565058569830407,有想法
15,234.76200,滚动弹幕,25,0xffffff,0,81d3db79,46565053510451205,哈哈哈哈哈哈
16,268.99800,滚动弹幕,25,0xffffff,0,a3c4f669,46564216963334151,哈哈哈哈哈哈
17,51.34700,滚动弹幕,25,0xffffff,0,a3c4f669,46564092423438339,哈哈哈
18,14.37600,滚动弹幕,25,0xffffff,0,4c29c24d,46562377142370309,7
19,385.60000,滚动弹幕,25,0xffffff,0,8d21fdf5,46542180639047683,我们这几百家
20,9.43100,滚动弹幕,25,0xffffff,0,a9bfe3a0,46531564944752643,5
21,208.06200,滚动弹幕,25,0xffffff,0,120f494a,46523638104981509,小米是你爹？
22,109.81400,滚动弹幕,25,0xffffff,0,97b20047,46502956182274053,柠檬水很好喝
23,78.27900,滚动弹幕,25,0xffffff,0,97b20047,46502939682406407,蜜雪也排队
24,175.41900,滚动弹幕,25,0xffffff,0,2a85c327,46474594095726595,现在是3元了
25,26.13500,滚动弹幕,25,0xffffff,0,3c4b5e5f,46449855837503493,顶多15
26,179.65700,滚动弹幕,25,0xffffff,0,4bd51108,46449060261920773,甜筒和柠檬水yyds
27,68.40000,滚动弹幕,25,0xffffff,0,2bf3f8a5,46445673657663491,我买一件肥仔欢乐水不好吗？
28,270.84600,滚动弹幕,25,0xffffff,0,d80972d2,46431946980982791,哈哈哈哈哈哈哈
29,265.65400,滚动弹幕,25,0xffffff,0,d80972d2,46431944313405445,哈哈哈哈哈
30,256.72300,滚动弹幕,25,0xffffff,0,6c7c18e6,46431509110325251,可爱
31,7.57000,滚动弹幕,25,0xffffff,0,8de45992,46425060167647239,20
32,402.70500,滚动弹幕,25,0xffffff,0,e3edfa43,46401995288346629,本学生党真的没钱就蜜雪贵的时候
33,74.15400,滚动弹幕,25,0xffffff,0,cbd9c304,46400967453704195,你要真为了中小学生好就不要卖他们奶茶
34,19.59000,滚动弹幕,25,0xffffff,0,8b43324,46383061399502855,20
35,394.74300,滚动弹幕,25,0xffffff,0,651b918d,46381870133280775,家附近就有两家
36,278.75900,滚动弹幕,25,0xffffff,0,651b918d,46381809206296579,门店天天放
37,29.75000,滚动弹幕,25,0xffffff,0,651b918d,46381678640234501,10块顶天了
38,426.77500,滚动弹幕,25,0xe70012,0,3e188e9a,46356371035127815,支持，必须支持！
