,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,102.64400,滚动弹幕,25,0xffffff,0,3c680599,46692984483741699,好耶
2,40.14100,滚动弹幕,25,0xffffff,0,3c680599,46692951736713219,好耶
3,183.41900,顶端弹幕,25,0xe70012,0,e0f391cc,46670646268657667,狗剩子
4,5.17900,顶端弹幕,25,0xffffff,0,e0f391cc,46670533943623683,房价降是不可能的，但是小幅度增长有可能
5,192.85900,滚动弹幕,25,0xffffff,0,4f3e8f21,46662182196740103,我儿子以后就叫：起床气大王
6,121.61900,滚动弹幕,25,0xffffff,0,1457abf7,46586925124419589,那就赶紧涨房价
7,119.59000,滚动弹幕,25,0xffffff,0,1f7c90da,46473325065535493,太好了
8,191.59700,滚动弹幕,25,0xffffff,0,3f7c2ac3,46440530211504131,有屁深度，俗气
9,175.82500,滚动弹幕,25,0xffffff,0,61f96783,46439826239520773,政府吧那些天天在网上搞男女对立的管一下应该能有帮助
10,179.79900,滚动弹幕,25,0xffffff,0,d7564cc7,46214702925611015,狗剩
11,350.20100,滚动弹幕,25,0xffffff,0,ce183fba,46214046061428739,好家伙首付不起了
12,120.10400,滚动弹幕,25,0xffffff,0,48e0c447,46212297846685703,资源没变，人少了，个体资源丰富了，完美
13,127.12300,滚动弹幕,25,0xffffff,0,b2303cd6,46209888361119749,怪谁
14,267.37900,滚动弹幕,25,0xffffff,0,7f77f292,46207550097981445,无所谓 金字塔秩序崩塌是早晚的事
15,125.05500,滚动弹幕,25,0xffffff,0,156a7eec,46207430628999171,好耶
16,254.83100,滚动弹幕,25,0xffffff,0,40989c52,46207280462430211,老乡，该生孩子了
17,50.63500,滚动弹幕,25,0xffffff,0,862fce27,46207158313811971,压力太大，成本高，人也够多了
18,51.51700,滚动弹幕,25,0xffffff,0,cca726f6,46203179433459717,还生男孩？头铁？ 我是愿意生女儿的
19,124.13200,滚动弹幕,25,0xffffff,0,1aa4509b,46203037748297733,少生优生幸福一生
20,39.48300,滚动弹幕,25,0xffffff,0,c1939e89,46201117728047111,一千万也不少了
21,134.60600,滚动弹幕,25,0xffffff,0,1a7ac00e,46200899400892421,光有机器人谁去消费产品？
22,37.81800,滚动弹幕,25,0xffffff,0,1a7ac00e,46200848624648197,别人不生，就我生，才是一生幸福！
23,54.74900,滚动弹幕,25,0xffffff,0,34b6adef,46198654562729991,好！
24,44.62300,滚动弹幕,25,0xffffff,0,da3a7cc6,46198423232708611,挺好的
25,26.24900,滚动弹幕,25,0xffffff,0,36dd4b44,46196040406138883,我贡献了一个
26,226.76600,滚动弹幕,25,0xffffff,0,21fc860b,46190405065637895,听不懂
27,108.32300,滚动弹幕,25,0xffffff,0,d561ea6b,46179419920793607,好耶
28,123.19400,滚动弹幕,25,0xffffff,0,caf3210f,46173326521401351,好耶好耶好耶
29,179.97500,滚动弹幕,25,0xffffff,0,41c11132,46171133121134597,安得广厦千万间
30,112.97300,滚动弹幕,25,0xffffff,0,41c11132,46171098172096515,希望能继续这样下去，大家要团结一致
31,338.99500,滚动弹幕,25,0xffffff,0,7f0d202f,46170684733259779,房地产撬动了95%的年轻人收入
32,305.73900,滚动弹幕,25,0xffffff,0,d7798a6b,46170232979456007,钱被开发商挣了
33,192.31200,滚动弹幕,25,0xffffff,0,d7798a6b,46170147953049607,独生子上有老下有小，压力大的想跳楼
34,100.78500,滚动弹幕,25,0xffffff,0,d7798a6b,46170100004290565,全民负债时代到来，恭喜恭喜
35,170.50800,滚动弹幕,25,0xffffff,0,110b229d,46166883405135875,一诺四杀，哈哈
36,356.09200,滚动弹幕,25,0xffffff,0,b678b408,46162112001081349,人好少，过年时候拍的？
37,134.40600,滚动弹幕,25,0xffffff,0,4adce7e9,46157296058236931,太好了
38,180.36000,滚动弹幕,25,0xffffff,0,d8e45488,46155562878500869,爽文抄来的？
39,26.27200,滚动弹幕,25,0xffffff,0,401e7edb,46153670708953091,别怕。
40,2.81900,滚动弹幕,25,0xffffff,0,df0cb2ac,46153290748526599,怎么天天给我推这个话题
41,334.81900,滚动弹幕,25,0xffffff,0,d6479917,46153206667411463,继续炒吧，别停
42,107.85900,滚动弹幕,25,0xffffff,0,d6479917,46153073626185731,好耶
43,22.95300,滚动弹幕,25,0xffffff,0,5f09ef98,46139002990886917,优生少生幸福一生
