,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,0.41900,滚动弹幕,25,0xffffff,0,f5662f06,45499807589466119,《旧中国》
2,55.26000,滚动弹幕,25,0xffffff,0,fd0c7f11,45106324321599495,现在的我
3,15.97900,滚动弹幕,25,0xffffff,0,fd0c7f11,45106302996709383,彼时彼刻洽如此时此刻
4,16.71700,滚动弹幕,25,0xffffff,0,c11cabc6,44836245097414659,现在平均是109个小时
5,25.17900,滚动弹幕,25,0xffffff,0,bc49f889,43756474668679173,哦哦哦哦哦
6,62.33900,滚动弹幕,25,0xffffff,0,f6b872e0,43715036319318023,大人，时代变了。不，时代没变。
7,94.45900,滚动弹幕,25,0xffffff,0,289b3b8c,43618788485627907,卷起
8,53.65100,滚动弹幕,25,0xffffff,0,3873536a,43618629598052355,老传统艺能了啊
9,82.42900,滚动弹幕,25,0xffffff,0,5c7cda,43618544722116615,奋斗逼
10,49.62000,滚动弹幕,25,0xffffff,0,c49bcf75,43617887241895943,听起来跟研究生一样
11,102.50400,滚动弹幕,25,0xffffff,0,e1861550,43617655983702021,希望人工智能代替人力的时代早日到来
12,104.13100,滚动弹幕,25,0xffffff,0,106a9300,43617322145939461,有没有大小周？拼多多的那种
13,26.64100,滚动弹幕,25,0xffffff,0,ab31f564,43616782967111685,绝对剩余价值
14,107.22100,滚动弹幕,25,0xffffff,0,f2c187d4,43616703368134661,你没办法啊
15,0.00000,滚动弹幕,25,0xffffff,0,c498ef4f,43616569704054787,“剩余价值理论” 这玩意应该普及！
16,64.06900,滚动弹幕,25,0xffffff,0,204e901e,43616469291368455,希望能联合起来
17,4.51000,滚动弹幕,25,0xffffff,0,8c60149a,43616393269608453,呵呵
18,14.05900,滚动弹幕,25,0xffffff,0,c6194788,43614954911694851,新中国
19,74.47300,滚动弹幕,25,0xffffff,0,110efef2,43614419076775943,我训狗也这样训
20,38.75700,滚动弹幕,25,0xffffff,0,2e781499,43614385195188231,好家伙都懂得继承发展了
21,4.51900,滚动弹幕,25,0xffffff,0,e1319457,43613622273310727,6
22,39.99800,滚动弹幕,25,0xffffff,0,db257fdc,43613294162345989,全世界的无产者联合起来！
23,7.85900,滚动弹幕,25,0xffffff,0,2cc00ddb,43613264380690439,《新中国》
24,55.94800,滚动弹幕,25,0xffffff,0,4b564d70,43613149458857989,新中国……
25,3.07900,滚动弹幕,25,0xffffff,0,4b0dee39,43613066788601861,美国疫情2000万了
26,12.97400,滚动弹幕,25,0xffffff,0,6b490889,43612795995422725,完全一致
27,67.82500,滚动弹幕,25,0xffffff,0,6c6af33d,43612584412708867,一样啊
28,10.62600,滚动弹幕,25,0xffffff,0,c9424f0f,43612379371536387,@马云
29,84.38400,滚动弹幕,25,0xffffff,0,1898d9ed,43611649756626949,加班费是啥
30,17.03800,滚动弹幕,25,0xffffff,0,a72828e4,43610344536408069,如今一样
31,64.49900,滚动弹幕,25,0xffffff,0,e1d843f8,43609462137159683,你們又有什麼辦法呢？
32,39.93100,滚动弹幕,25,0xffffff,0,8e494dfa,43606739805798405,不存在的吧
33,31.33900,滚动弹幕,25,0xffffff,0,ad481f26,43598409958948871,好不如他们呢，周六日也加班，工作日加班早的就八点多走，晚的12点下班还没加班费也没餐补
34,103.83500,滚动弹幕,25,0xffffff,0,8eb7b676,43598139355561991,历史重现
35,98.25900,滚动弹幕,25,0xffffff,0,7e0763a7,43597736229994503,不客观
36,76.29800,滚动弹幕,25,0xffffff,0,5570d00b,43597682376704003,起码有加班费…
37,76.78600,滚动弹幕,25,0xffffff,0,f365f8b2,43597353596223495,卷
38,35.40600,滚动弹幕,25,0xffffff,0,ef5ce864,43597329545560069,你的标题很危险
39,37.36500,滚动弹幕,25,0xffffff,0,9caecff1,43597129759326211,文   艺   复   兴
40,26.22200,滚动弹幕,25,0xffffff,0,75152fa,43596947481690117,包身工
41,20.54000,滚动弹幕,25,0xffffff,0,9ba24d9c,43596777779625987,你是説現在吧！
42,37.56400,滚动弹幕,25,0xffffff,0,17808823,43596610207219719,马老板表示全文背诵过了
43,36.58500,滚动弹幕,25,0xffffff,0,a0b96a25,43596541674389511,从未离开
