,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,33.71000,滚动弹幕,25,0xffffff,0,be499dca,46673243763900423,我不配当国人我应该当加拿大人，太懒了…
2,68.59800,滚动弹幕,25,0xffffff,0,802a2e65,46672700691709959,这个可以
3,73.20400,滚动弹幕,25,0xffffff,0,a74571fe,46667618023112711,中国一样怪又来了
4,33.31500,滚动弹幕,25,0x9843,0,9d8b7e92,46667613583966215,太草了可以来了
5,67.93800,滚动弹幕,25,0xffffff,0,c8cbc7b5,46652332917653509,用个手套它不香吗
6,83.17900,滚动弹幕,25,0x9843,0,9c35eed9,46629958603767813,好neo的发明（doge
7,80.95900,滚动弹幕,25,0xffffff,0,a1840162,46622892458770435,你可以垫点啥试试
8,82.67200,滚动弹幕,25,0xffffff,0,ff2d322a,46622799699116035,？？？
9,54.62600,滚动弹幕,25,0xffffff,0,d2be2e69,46591610637516803,现在商店正常的售价是1美金
10,52.85800,滚动弹幕,25,0xffffff,0,d2be2e69,46591424490110981,20个的单个终端单价为
11,52.85800,滚动弹幕,25,0xffffff,0,d2be2e69,46591357682712581,你这个连个抛光电镀都没有，材质看着跟铁一样价格更低。 一个产品重量25克
12,51.59800,滚动弹幕,25,0xffffff,0,d2be2e69,46591314657017859,后期又有很多变种，镶钻的，塑料的，各种样式
13,51.59800,滚动弹幕,25,0xffffff,0,d2be2e69,46591285374484485,成本一个人民币5—6块，后来换成锌合金的 成本1.3—2.5
14,50.11800,滚动弹幕,25,0xffffff,0,d2be2e69,46591245837402117,最开始是铜 防接触性新冠病毒感染的
15,50.11800,滚动弹幕,25,0xffffff,0,d2be2e69,46591220489125895,你这个叫 touchless clean key tools
16,42.65900,滚动弹幕,25,0xffffff,0,519b4fcf,46581848291672067,露营用啊。
17,31.59900,滚动弹幕,25,0xffffff,0,c63eae80,46579053169213443,0，卖空气的狐狸
18,71.22100,滚动弹幕,25,0xffffff,0,7fd7593c,46578658996912135,卖20？
19,55.74200,滚动弹幕,25,0xffffff,0,e529a00a,46535141355421703,寻思着你买到卫生纸了呢
20,58.20200,滚动弹幕,25,0xffffff,0,4b473635,46534516997095427,哈哈哈哈啊哈哈哈
21,33.82200,滚动弹幕,25,0xffffff,0,daf9ff94,46533441980727301,呼伦贝尔好空气
22,37.94500,滚动弹幕,25,0xffffff,0,5ce84b61,46528784625041411,小学课本诚不欺我
