,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,7.74300,滚动弹幕,25,0xffffff,0,4d060e5,46512250289127431,好
2,7.92000,滚动弹幕,25,0xffffff,0,aa7ffa65,46444138542399491,干得漂亮
3,4.97600,滚动弹幕,25,0xffffff,0,bf47a16b,46219468783222789,干得漂亮
4,0.33900,滚动弹幕,25,0xffffff,0,169de95e,46212308267433991,腾讯股票不降反涨，力度还不够兄弟们
5,19.37600,滚动弹幕,25,0xffffff,0,9f537c3e,46199244172820483,正道的光
6,11.91500,滚动弹幕,25,0xffffff,0,d488e960,46199194818445319,干的漂亮
7,5.90700,滚动弹幕,25,0xffffff,0,ccd0d4a3,46199179962220551,腾讯也有被制裁的一天
8,11.15800,滚动弹幕,25,0xffffff,0,6b2534db,46198166408658947,漂亮，希望阅文合同也能被重新重视起来
9,6.47200,滚动弹幕,25,0xffffff,0,4c269ec6,46198157031768067,好
10,1.31100,滚动弹幕,25,0xffffff,0,8e462140,46196197045567495,应该拆分
11,10.93100,滚动弹幕,25,0xffffff,0,8e462140,46196190988992517,腾讯就该被肢解
12,12.69900,滚动弹幕,25,0xffffff,0,42e2231f,46196147138592775,正道的光
13,18.47000,滚动弹幕,25,0xffffff,0,927a94e,46195163446902791,正道的光
14,14.63500,滚动弹幕,25,0xffffff,0,c7d18c0c,46195039320670213,正道的光
15,4.15800,滚动弹幕,25,0xffffff,0,b91eb368,46193880098930691,正道的光
16,21.00000,滚动弹幕,25,0xffffff,0,b0d4edad,46193778395447301,强烈支持
17,18.03500,滚动弹幕,25,0xffffff,0,705027ab,46193525934522375,奸商的嘴脸
18,7.32600,滚动弹幕,25,0xffffff,0,f1f888d2,46193448136998915,支持
19,20.56500,滚动弹幕,25,0xffffff,0,f1f888d2,46193443094921219,支持
20,14.19300,滚动弹幕,25,0xffffff,0,7d5b46d5,46192742969114629,正道的光
21,0.00000,滚动弹幕,25,0xffffff,0,e452aa62,46191600023896069,henshin
22,7.89100,滚动弹幕,25,0xffffff,0,782f3413,46189351162347525,正道的光
23,18.66000,滚动弹幕,25,0xffffff,0,cb4716d,46186646500016133,正道的光
24,13.33100,滚动弹幕,25,0xffffff,0,860cdd3a,46186270912675847,干得漂亮
25,13.33900,滚动弹幕,25,0xffffff,0,ecbdcb70,46183109279350789,好！！！
26,14.75600,滚动弹幕,25,0xffffff,0,55a2cb7e,46182879977275395,正道的光
27,3.15900,滚动弹幕,25,0xffffff,0,8633d1ae,46180938056466439,只要骂腾讯的，点赞就对了
