,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,135.42500,顶端弹幕,25,0xe70012,0,4ab40ebd,46516558884241415,努力超越 追求卓越
2,40.57900,滚动弹幕,25,0xffffff,0,4ab40ebd,46516477298737159,说电网仅次于两桶油的 你说反了
3,81.34000,滚动弹幕,25,0xffffff,0,a0912f0,46360915407273991,开心～
4,73.01900,滚动弹幕,25,0xffffff,0,c5efe0e5,46269210355040259,电费贵个啥啊。。你和外国比比
5,126.23100,滚动弹幕,25,0xffffff,0,1bf327db,46211623005716483,小时候一下大雨就停电
6,147.38200,滚动弹幕,25,0xffffff,0,ede3ffe9,46083953867620359,我们人多交的电费多平摊下来就便宜，偏远地区一个价，以后人少了可能会涨价但是不会用不起！！！
7,74.25300,滚动弹幕,25,0xffffff,0,f45c4963,46069300912979975,系统用中文的好像是假的吧
8,63.31800,滚动弹幕,25,0xffffff,0,f45c4963,46069270022979589,特高压
9,89.46000,滚动弹幕,25,0xffffff,0,5de89e59,45979698328502275,你把嘴里的袜子吐了再说
10,105.34500,滚动弹幕,25,0xffffff,0,449f1ce,45953926195838983,敢惹电网我看你是吃饱了撑的
11,118.03000,滚动弹幕,25,0xffffff,0,f94ab57d,45918583397023751,小时候家里都要备蜡烛的
12,94.05800,滚动弹幕,25,0xffffff,0,6637a283,45909320598028291,你走开
13,76.01600,滚动弹幕,25,0xffffff,0,fc759617,45898682124468227,歪嘴龙王
14,61.67300,滚动弹幕,25,0xffffff,0,95ee8468,45898074965409797,输电有损耗，减少一点损耗单位都是亿元
15,16.74800,滚动弹幕,25,0xffffff,0,fad339b,45897788047753221,电网一直很厉害
16,132.48100,滚动弹幕,25,0xffffff,0,35eea4b5,45896621591887879,牛逼
17,148.60100,滚动弹幕,25,0xffffff,0,3a2f1e79,45887460974002179,主要是房东手的贵
18,24.61900,滚动弹幕,25,0xffffff,0,26c27bb5,45879533549649923,哈哈神经病
19,71.39100,滚动弹幕,25,0xffffff,0,2d0de101,45860990269521925,骄傲！
20,42.43900,滚动弹幕,25,0xffffff,0,89432650,45858097293950981,国家电网，国家这俩字还不够牛逼么…
21,60.75600,滚动弹幕,25,0xffffff,0,6d13d554,45851936308068355,我想要戴个这四个字的工作服
22,56.18000,滚动弹幕,25,0xffffff,0,7b65bc2a,45836847234416647,我这儿0.28元/千瓦时
23,56.84400,滚动弹幕,25,0xffffff,0,deedd994,45834807092445191,甩锅国家，还电网，不知道死字怎么写了
24,155.09300,滚动弹幕,25,0xffffff,0,79743328,45813359394160647,不算贵，也是贵
25,92.59200,滚动弹幕,25,0xffffff,0,79743328,45813326717386757,特斯拉，你继续吹
