,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,331.55800,滚动弹幕,25,0xffffff,0,e320f095,46509163148214277,破灭吧泡沫
2,476.78700,滚动弹幕,25,0xffffff,0,34e7745b,46452113889820675,财富再分配
3,76.93400,滚动弹幕,25,0xffffff,0,f14e1648,46264020582793221,小姐姐好漂亮 气质也好迷人
4,38.95100,滚动弹幕,25,0xffffff,0,f14e1648,46263924350779397,安排
5,36.33800,滚动弹幕,25,0xffffff,0,d0357e05,46161574079496197,安排
6,450.65200,滚动弹幕,25,0xffffff,0,5b8152e1,45979050298572805,大A和放价都是结构性上涨，分化明显
7,434.36400,滚动弹幕,25,0xffffff,0,5b8152e1,45979029182349319,胖友，哈哈
8,44.25700,滚动弹幕,25,0xffffff,0,8f998856,45975571775619075,快 给我媳妇投币
9,190.87100,滚动弹幕,25,0xffffff,0,dec00b9f,45921202482446339,这个国字脸是真耐看
10,117.02400,滚动弹幕,25,0xffffff,0,dec00b9f,45921161958653959,杨笠：嗯，这个女人有点东西哈
11,88.35500,顶端弹幕,25,0xffd302,0,247a0e77,45895014875136007,印度：没错，正是在下
12,491.85500,滚动弹幕,25,0xffffff,0,4e16d523,45894117053431813,全世界无产者联合起来！！！
13,236.15500,滚动弹幕,25,0xffffff,0,c449c7,45884707463233539,嘴不小啊，只是可大可小
14,49.17400,滚动弹幕,25,0xffffff,0,c449c7,45884609172865027,真胸就真香
15,474.93800,滚动弹幕,25,0xffffff,0,e37f1fe9,45845254526992387,三线没跌 买的房子赚了60万
16,447.51900,滚动弹幕,25,0xffffff,0,e1ee49af,45798128802594821,都是垃圾地方
17,348.20300,滚动弹幕,25,0xffffff,0,fdc4dd40,45766611805667333,58000了
18,560.40300,滚动弹幕,25,0xffffff,0,6d569a7b,45657358296154115,听了个寂寞
19,79.73900,滚动弹幕,25,0xffffff,0,3b37b0c1,45653170734497795,吃人
20,127.94100,滚动弹幕,25,0xffffff,0,77d525ea,45639021443940359,和日本90年代一样
21,489.62400,滚动弹幕,25,0xffffff,0,eaf9dc74,45630566549159943,都是头部
22,42.58100,滚动弹幕,25,0xffffff,0,e640d34c,45627395643277319,安排
23,44.35500,滚动弹幕,25,0xffffff,0,c5d962e0,45623336550006787,不
24,36.32500,滚动弹幕,25,0xffffff,0,73579119,45611302573309959,真漂亮
25,76.83000,滚动弹幕,25,0xffffff,0,f9fca7a9,45607106629337093,国家不是在控管楼市吗
