,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,50.05000,滚动弹幕,25,0xffffff,0,d7268dbf,46245187326836739,哈哈哈哈哈哈哈
2,85.95900,滚动弹幕,25,0xffffff,0,52135016,45926990988967943,哈哈
3,50.49800,滚动弹幕,25,0xffffff,0,19665118,45657077159821319,格局高了
4,87.21900,滚动弹幕,25,0xffffff,0,8ac15c3b,45559109780504579,哈哈哈哈哈哈哈哈哈哈哈哈好
5,135.56700,滚动弹幕,25,0xffffff,0,5bddddc4,45543778059550725,币给你币给你 有些人自私还脸皮很厚...醉了
6,20.20700,滚动弹幕,25,0xffffff,0,afeed94d,45522935198253063,跌成狗哈哈哈哈哈，跟去年一样，还好清仓了
7,107.81200,滚动弹幕,25,0xffffff,0,d789d42f,45517309558128645,三连了真的
8,18.05100,滚动弹幕,25,0xffffff,0,df7e309b,45516696108138501,没有玩比特币吗？
9,92.11200,滚动弹幕,25,0xffffff,0,7276e60c,45515594671325187,拉黑就好了，他看不见就不存在了
10,51.97600,滚动弹幕,25,0xffffff,0,19f9a783,45513662896013317,格局小了
11,47.31400,滚动弹幕,25,0xffffff,0,d80cb554,45496425931341829,考个证，有才华的你一定能成功
12,91.56700,滚动弹幕,25,0xffffff,0,4fddc77b,45490658769108997,赞了赞了
13,87.84900,滚动弹幕,25,0xffffff,0,b000d7c5,45482293745156099,年后一直跌
14,61.93300,滚动弹幕,25,0xffffff,0,7170065e,45482291641188359,脑回路神奇
15,79.86800,滚动弹幕,25,0xffffff,0,1e0dce67,45482183113572357,哈哈哈
16,37.27200,滚动弹幕,25,0xffffff,0,9c70ae36,45477050484523011,路人，关注三连了~
17,66.56400,滚动弹幕,25,0xffffff,0,f991c8c4,45475324062334979,格局太小
18,54.21400,滚动弹幕,25,0xffffff,0,79e4316e,45446743927554053,恐怖如斯
19,72.45000,滚动弹幕,25,0xffffff,0,7201c19d,45445318012567555,好的，这就投币
20,49.38300,滚动弹幕,25,0xffffff,0,2f0ba391,45437758986518535,迷
21,49.45900,滚动弹幕,25,0xffffff,0,b3a630ab,45436435139395587,《格局》
22,32.00900,滚动弹幕,25,0xffffff,0,43588605,45435469798834179,笑死
23,73.43900,滚动弹幕,25,0xffffff,0,c38e50cf,45432947791626247,哈哈哈哈虎
24,78.66200,滚动弹幕,25,0xffffff,0,74af6a75,45427617599324165,这种人好过分
25,5.39500,滚动弹幕,25,0xffffff,0,9473c3c5,45426352380182531,去你哪的
26,50.52300,滚动弹幕,25,0xffffff,0,87c870cc,45424556749881351,哈哈哈哈哈哈哈哈哈
27,26.69800,滚动弹幕,25,0xffffff,0,6ba5fa9f,45408350729928707,我今年的收益已经15%以上了。。。
28,157.10600,滚动弹幕,25,0xffffff,0,b16cec17,45404323462512645,虽然只听说过基金，自己没尝试过，先投币过，以后再研究(^O^)
29,65.97900,滚动弹幕,25,0xffffff,0,86a5c9b2,45401176210931715,拉我呀！
30,55.85200,滚动弹幕,25,0xffffff,0,f888d05c,45399847602225155,开玩笑的吧。。。
31,62.73900,滚动弹幕,25,0xffffff,0,970c3fdd,45397098968907781,虽然没有看懂的，还是帮你点赞。
32,118.15900,滚动弹幕,25,0xffffff,0,2da6e17b,45396899346251783,关注了up 加油
33,142.28700,滚动弹幕,25,0xffffff,0,3d546fd8,45396503691788291,你币有了
34,40.08400,滚动弹幕,25,0xffffff,0,da032e38,45394811447410691,好恶心这种人
35,118.50000,滚动弹幕,25,0xffffff,0,80c93c64,45394605564231683,已经三连了
36,39.38700,滚动弹幕,25,0xffffff,0,f29c5a1c,45389800627240963,好家伙，我看了这段话，直接点赞
37,86.71400,滚动弹幕,25,0xffffff,0,dee2a150,45387449668468743,差评保护(dog)
38,46.61900,滚动弹幕,25,0xffffff,0,494a002b,45386995765608451,小心眼罢了成不了气候
