,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,98.91600,滚动弹幕,25,0xffffff,0,df6033ea,46299000302206983,挺好吃的，有什么好黑的
2,19.22500,滚动弹幕,25,0xffffff,0,404cdf31,46289506218803205,难吃死了
3,15.62100,滚动弹幕,25,0xffffff,0,4117e4ae,46287078348029959,难吃是关键！！！
4,62.82800,滚动弹幕,25,0xffffff,0,91569b54,46285716500512773,还不都是膝盖的问题，看到日本就跪
5,19.17900,滚动弹幕,25,0xffffff,0,3abae041,46282938335100931,别人请过我一次 我说吃着和方便面一个味道呢  他犹豫了很久说 好像确实是
6,152.85000,滚动弹幕,25,0xffffff,0,83b4fe35,46265417478438917,这就过分了
7,58.21000,滚动弹幕,25,0xffffff,0,c20d9f2a,46255109048893443,越来越贵，谁还吃
8,109.97900,滚动弹幕,25,0xffffff,0,6045c01e,46254902676029447,味道一般，价格太贵
9,117.63200,滚动弹幕,25,0xffffff,0,cdca88b1,46247717385535493,因为不好吃
10,17.72100,滚动弹幕,25,0xffffff,0,a2dff939,46247388166225923,垃圾的很
11,34.10900,滚动弹幕,25,0xffffff,0,bdca5ab0,46236981062008839,觉得味道还可以
12,24.58300,滚动弹幕,25,0xffffff,0,7f67ab4e,46199962071990279,活该
13,85.30000,滚动弹幕,25,0xffffff,0,e0882bf5,46194854837354499,真是厉害的老板
14,21.74000,滚动弹幕,25,0xffffff,0,e0882bf5,46194674671026181,贵又不好吃
15,77.70800,滚动弹幕,25,0xffffff,0,f5f2305f,46170450733563911,团建变加班可还行
16,205.33900,滚动弹幕,25,0xffffff,0,a5f4c301,46165762882666499,早期没买房的代价
17,123.57000,滚动弹幕,25,0xffffff,0,a5f4c301,46165741343866887,又贵又难吃
18,20.50800,滚动弹幕,25,0xffffff,0,a5f4c301,46165703825817605,好吃的下架了，还贵，活该
19,47.19900,滚动弹幕,25,0xffffff,0,b94089a8,46159383826006019,剑兰歪了
20,14.26100,滚动弹幕,25,0xffffff,0,e7fd743d,46154720449921029,还行吧，相对好吃，就是贵 没有物超所值的感觉
21,115.40900,滚动弹幕,25,0xffffff,0,4c5597ea,46147362579546119,上市就可以套现，一辈子的钱一会就赚到了
22,157.06600,滚动弹幕,25,0xffffff,0,e8fe1bef,46133057259307013,五十吃面，我选和府捞面四十
23,22.01600,滚动弹幕,25,0xffffff,0,8e723e6d,46128294794887171,卧槽，正准备明天去吃呢
24,133.94300,滚动弹幕,25,0xffffff,0,d3c37325,46128124002304005,现在的味千不是一般难吃
25,43.31500,滚动弹幕,25,0xffffff,0,a9defe0e,46126936146575367,越吃越难吃
