,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,52.31100,滚动弹幕,25,0xffffff,0,e5126611,46349140224376837,精辟
2,76.31900,滚动弹幕,25,0xffffff,0,259bc370,45990186947444739,凯恩斯选美共识
3,4.98300,滚动弹幕,25,0xffffff,0,20903ee6,45949161788932101,居然是真的高压线
4,79.65600,滚动弹幕,25,0xffffff,0,16124390,45890223933489157,说服他全家
5,92.87400,滚动弹幕,25,0xffffff,0,a7b1c1f0,45567619954114567,煞笔
6,38.06900,滚动弹幕,25,0xffffff,0,77a20814,45561589789622275,坏了
7,41.24300,滚动弹幕,25,0xffffff,0,28ecd322,45543145051521031,扯淡
8,56.58100,滚动弹幕,25,0xe70012,0,835a8360,45539991540465667,傻逼
9,75.70900,滚动弹幕,25,0xffffff,0,29f3ca63,45531136871890949,逐渐开始跑题
10,72.62500,滚动弹幕,25,0xffffff,0,402dfc06,45520900697620483,我不用说服他们，我给他一个难以拒绝的价格
11,52.97900,顶端弹幕,25,0xe70012,0,f8f14f0,45514573381369863,鹤老师的黑粉多到我觉得像买的
12,42.03900,滚动弹幕,25,0xffffff,0,5abd101d,45512978213109765,因为便宜
13,36.90000,滚动弹幕,25,0xffffff,0,ef5aa076,45504098052603907,我家冰箱比我大，我二十一【狗头】
14,81.67800,滚动弹幕,25,0xffffff,0,42779998,45493285701550087,…………这玩意怎么有的粉丝
15,57.09900,顶端弹幕,25,0xfef102,0,b1d712f8,45488320828932103,说正在用的人那是因为你特殊，你不一样
16,49.56700,滚动弹幕,25,0xffffff,0,fd9cda02,45485567367970823,说毛呢
17,119.47500,滚动弹幕,25,0xffffff,0,bc318821,45476995814391813,？？？
18,99.35200,滚动弹幕,25,0xffffff,0,bc318821,45476985291407363,？？？？
19,35.25900,滚动弹幕,25,0xffffff,0,306a5d17,45476460073320455,我家住了几代人了怎么可能卖
20,38.14000,滚动弹幕,25,0xffffff,0,8fdb1ad,45474957250002949,在看，在用
21,105.15800,滚动弹幕,25,0xffffff,0,533aecd1,45474723450060803,有，我就装修过一个别墅，房子边上就是高压线，那院子能让孩子玩么
22,43.01100,滚动弹幕,25,0xffffff,0,2a15049a,45473891676061703,精神病吧
23,43.57000,滚动弹幕,25,0xffffff,0,9542656a,45473630127128583,煞笔
24,59.63200,滚动弹幕,25,0xffffff,0,12964adc,45472374195224581,现在5万了
25,120.09100,滚动弹幕,25,0xffffff,0,9f213331,45471983767912455,可以修仙
26,65.65400,滚动弹幕,25,0xffffff,0,61881b09,45471143050608645,那就让他们觉得没问题
27,51.21900,滚动弹幕,25,0xffffff,0,379ce9dc,45455718240223237,这么久，和电线杆扯上了没
28,81.55400,滚动弹幕,25,0xffffff,0,3ff36580,45453856671268867,确实
29,82.77600,滚动弹幕,25,0xffffff,0,2b0c6f0d,45451571090685955,？为什么讲不能买高压线房子？？我还以为是什么科普视频
30,37.69400,滚动弹幕,25,0xffffff,0,de93902b,45449213852516359,冰箱这栗子不好，还在用呢，伤害不大，但侮辱性极强
31,60.64900,滚动弹幕,25,0xffffff,0,53f4c3d8,45447137813069827,5.5万了
32,75.60400,滚动弹幕,25,0xffffff,0,fad431e7,45446633710157829,你哪个学校毕业的，我以后躲着点
33,99.97900,顶端弹幕,25,0xffffff,0,5b6fa343,45444815986360327,最上一口一个唯物主义真让你住就不这么说了
34,101.35400,滚动弹幕,25,0xffffff,0,4d572de8,45441975959158789,风水不行
35,65.85300,滚动弹幕,25,0xffffff,0,4d572de8,45441957455462403,你以为你以为的不是你以为的
36,20.67100,滚动弹幕,25,0xffffff,0,62bb4e,45440527785000965,买了你卖不出去
37,48.22400,滚动弹幕,25,0xffffff,0,9b8db67b,45439340993052679,薛之谦兼职了吗
38,54.81900,滚动弹幕,25,0xffffff,0,8214e703,45439086615855111,我家现在也是高压线房子，周围2公里内3个商场，其中一个是万达
39,104.45900,滚动弹幕,25,0xffffff,0,60e008de,45437283571073029,降价一半，我敢买，房地产交易中心的评估价也不同意！
40,48.19100,滚动弹幕,25,0xffffff,0,33626cda,45434951826407431,我还在用啊
41,59.06800,滚动弹幕,25,0xffffff,0,29c4d83d,45426515480412167,确实
42,69.84600,滚动弹幕,25,0xffffff,0,8079e8f6,45424801199685635,小丑
43,20.83400,滚动弹幕,25,0xffffff,0,c8866131,45408235931828231,我还怀孕了
44,32.10100,滚动弹幕,25,0xffffff,0,42a98c1,45405682314248197,好看吗？
45,49.78700,滚动弹幕,25,0xe70012,0,6984fc25,45403639675092995,你在说什么？前言不搭后语的，也没有解释为什么不能买
46,56.54000,顶端弹幕,25,0xe70012,0,e176d447,45399740592947205,那找有学问的不就好了吗？
47,79.92500,滚动弹幕,25,0xffffff,0,867bc5f5,45395951126839301,高压电确实有危害，但是从他说的真不咋地
48,101.74000,滚动弹幕,25,0xffffff,0,e3788d43,45384113760763907,怎么不敢，够便宜就行
49,79.79600,滚动弹幕,25,0xffffff,0,e3788d43,45384095524454403,你买得够便宜就行了啊
50,55.30100,滚动弹幕,25,0xffffff,0,e3788d43,45384082626969607,买也便宜卖也便宜啊
51,65.32200,滚动弹幕,25,0xffffff,0,e05a84b0,45377382801473543,万代直呼内行
52,97.05300,滚动弹幕,25,0xa0ea,0,9770b2db,45369184920535045,敢啊，便宜啊唯物主义者怎么了
53,65.50100,滚动弹幕,25,0xffffff,0,a245dadb,45368833962672133,说的没毛病啊
54,0.29600,滚动弹幕,25,0xffffff,0,f5063806,45367924137918471,这个视频将会浪费你生命宝贵的一分钟。
55,68.19800,滚动弹幕,25,0xffffff,0,14adb5ef,45362666479812615,你见过哪段高压线边上有住宅？
56,58.19300,滚动弹幕,25,0xffffff,0,aff40667,45362528559038469,五万了
57,30.06000,滚动弹幕,25,0xffffff,0,fe12af65,45359913270509575,买了不涨
58,79.30200,滚动弹幕,25,0xffffff,0,b4a19a,45358833492557827,以前的电视没卖是坏了
59,21.33500,滚动弹幕,25,0xffffff,0,ffb9b335,45356181303590917,薛之谦？
60,105.65100,滚动弹幕,25,0xffffff,0,9e1f5231,45352112448602119,敢
61,61.62800,滚动弹幕,25,0xffffff,0,9eef9114,45351555569811463,666你们继续看我溜了
62,32.09100,滚动弹幕,25,0xffffff,0,4fb41f6b,45350085982683141,感觉是正确的，房子是资产，但是如果因为我这一点赚少了也不开心，也搞改善生活
63,49.34900,滚动弹幕,25,0xffffff,0,d1c9ea3b,45349145767051269,二十年的房子我现在也能住啊
64,26.13900,滚动弹幕,25,0xffffff,0,733dc464,45348898954805255,雷击
65,68.50500,滚动弹幕,25,0xffffff,0,6e6042c6,45345377538801669,5w了
66,23.91500,滚动弹幕,25,0xffffff,0,95fbdd71,45344566876307461,靳东
67,60.78400,滚动弹幕,25,0xffffff,0,3ea43a30,45342716601040899,房子首付都付不起啊阿sir
68,102.98500,滚动弹幕,25,0xffffff,0,ae097522,45342145660846085,偷换概念厉害得一p
69,54.42500,滚动弹幕,25,0xffffff,0,299d3af1,45341752356765699,太对了哥
70,116.04800,滚动弹幕,25,0xffffff,0,d0b3915a,45340468053016579,心里会有隔应
71,116.04900,滚动弹幕,25,0xffffff,0,c1e2a997,45322348455788551,懂了！这就去低价买高压线附近的房子
72,12.12200,滚动弹幕,25,0x84c0cb,0,1229a3a7,45316087802757123,说话好像薛之谦
73,36.67400,滚动弹幕,25,0xffffff,0,afc7cf7c,45314996204208135,不卖，但是以后想改善环境就难搞咯
74,62.57500,滚动弹幕,25,0xffffff,0,aecd7769,45314524468215875,说的没错，我们现在的房子就想置换了
75,29.86800,滚动弹幕,25,0xffffff,0,98cbbaa,45313224661270535,我家附近就有个电塔啊
76,56.42000,滚动弹幕,25,0xffffff,0,6b13f62c,45301829776441349,有钱和没钱也不一样
77,53.15100,滚动弹幕,25,0xffffff,0,2a9fe30,45300200567209987,工贼
78,14.54300,滚动弹幕,25,0xffffff,0,6637a283,45298244897472515,砖家说
79,52.23200,滚动弹幕,25,0xffffff,0,b3d66fff,45298211896688643,墨迹
80,60.99000,滚动弹幕,25,0xffffff,0,625cefa,45295713162625027,你工人爷爷来了
81,42.98900,滚动弹幕,25,0xffffff,0,625cefa,45295703492657155,工贼
82,60.61900,滚动弹幕,25,0xffffff,0,acf5d445,45289137355358213,不，现在30万美金了
83,90.39000,滚动弹幕,25,0xffffff,0,8d1b6151,45276184018681861,知识越少 辐射越大
84,44.02300,滚动弹幕,25,0xffffff,0,286d6426,45272046281687045,抬杠？？？
85,74.55400,滚动弹幕,25,0xffffff,0,ecfaabdb,45270471726858243,不是好人
86,67.05900,滚动弹幕,25,0xffffff,0,43f083a9,45266663894417413,房子和电视，冰箱能比吗？呵呵呵
87,135.10400,滚动弹幕,25,0xffffff,0,ffd9235b,45260125171613701,说的没毛病啊……
88,113.04500,滚动弹幕,25,0xffffff,0,b6318de0,45255710305419269,所以高压线旁边房子怎么了
89,7.32100,滚动弹幕,25,0xffffff,0,2f540a0b,45255688850505735,很难不支持
90,65.63200,滚动弹幕,25,0xffffff,0,9a8eb364,45253725946642437,5万了
91,48.79900,顶端弹幕,25,0xe70012,0,a22c2355,45251438775369733,一群钢筋可真能杠，笑死
92,5.39000,滚动弹幕,25,0xffffff,0,f8dca8ca,45248292508925957,精资给爷滚
93,21.99300,滚动弹幕,25,0xffffff,0,d79b4241,45247997013393415,电
94,66.04300,滚动弹幕,25,0xffffff,0,a9fe62c2,45246486019571715,说的啥玩意 ？怎么会有这么多粉丝
95,54.59300,滚动弹幕,25,0xffffff,0,d082b9f9,45241303154819075,说得很好
96,120.18000,滚动弹幕,25,0xffffff,0,d1f75362,45227880214953989,说敢的十个里十个都没到买房子的岁数
97,44.82800,滚动弹幕,25,0xffffff,0,37a73,45226785372110851,额额
98,54.77900,滚动弹幕,25,0xffffff,0,686baa1a,45226072933924867,不卖，贵贱不卖，就是不卖
99,35.70500,滚动弹幕,25,0xffffff,0,ff556571,45225950760140803,消耗品和不动产能一样吗？
100,23.57200,滚动弹幕,25,0xffffff,0,ff556571,45225934933458951,一个是消耗品，一个是不动产，明白？
101,101.24000,滚动弹幕,25,0xffffff,0,7d3a914f,45223352416075779,敢啊
102,47.95900,滚动弹幕,25,0xffffff,0,520ac843,45211346891440133,你他妈但是说为啥呀
103,25.56000,滚动弹幕,25,0xffffff,0,448093f8,45200697606537223,风景不好
104,64.40000,滚动弹幕,25,0xffffff,0,ee9541a0,45188473758941187,a I dju
105,39.66300,滚动弹幕,25,0xffffff,0,4d5c4484,45183878032261123,去你的我就住这了
106,49.65900,滚动弹幕,25,0xffffff,0,d3d86747,45179633663475715,嗯？他是怎么有10万粉丝的？
107,78.10600,滚动弹幕,25,0xffffff,0,7d3e5465,45178010404388871,那高压线会不会下地 改电缆
108,3.00000,滚动弹幕,25,0xe70012,0,288eda8b,45176786511200261,买房的人都想便宜，就算不信高压线会影响身体健康，他也会借此压价，上哪找那千年不遇的倒霉蛋呐
109,30.54800,滚动弹幕,25,0xffffff,0,865f1b60,45175441578262535,偷换概念，照你这么说你当了你爸这么多年儿子怎么不换一个爸？
110,39.34300,滚动弹幕,25,0xffffff,0,1dce0f82,45162186159947779,？
111,128.31300,滚动弹幕,25,0xffffff,0,a3487791,45157732850860039,这不是教育还要继续加强吗
112,94.16200,滚动弹幕,25,0xffffff,0,74e336df,45150269867556867,凶宅？解剖室我都睡过
113,113.11400,滚动弹幕,25,0xffffff,0,c66840f3,45142191094366211,弹幕在骂啥呢？不懂
114,46.35300,滚动弹幕,25,0xffffff,0,15694310,45140435724140551,声音有点像薛之谦
115,38.04700,滚动弹幕,25,0xffffff,0,f79b1fd3,45135390998265859,薛之谦
116,28.15800,滚动弹幕,25,0xffffff,0,98766d3,45129766738591747,说什么批
117,71.53000,滚动弹幕,25,0xffffff,0,a3bf804,45129736075083781,比特币永远的神
118,37.76000,滚动弹幕,25,0xffffff,0,24d598c8,45129215669436419,在看在用
119,82.25900,滚动弹幕,25,0xffffff,0,20be4544,45127932342960133,哥哥有多努力，女人有多辛苦，你知道吗！（认真脸）(   ･᷅ὢ･᷄ )
120,40.13900,滚动弹幕,25,0xffffff,0,3fdd359c,45124194125479941,我今年23，我家的冰箱25了
121,47.85200,滚动弹幕,25,0xffffff,0,fb297603,45116776988016645,好的，给旁边规划学区
122,52.92200,滚动弹幕,25,0xffffff,0,1d9f5a5e,45104888559960071,找个学历高点的买了不就完了。学历越低辐射越大。
123,88.54000,滚动弹幕,25,0xffffff,0,163a4f89,45094992658038791,那么问题来了，高压线旁可以建房子吗？开发商怎么想的？
124,71.23900,滚动弹幕,25,0xffffff,0,5245b417,45087463613923331,马老师
125,68.17900,滚动弹幕,25,0xffffff,0,5245b417,45087459590012931,酱香
126,86.16400,滚动弹幕,25,0xffffff,0,d1c52dff,45081183388696581,早点知道就好了！
127,47.58000,滚动弹幕,25,0xffffff,0,343695c3,45071398220595203,？？？
128,13.38000,滚动弹幕,25,0xffffff,0,27ef200f,45049916514369541,电离辐射会让你失眠头晕啥的，但离开后就恢复了
129,120.75000,滚动弹幕,25,0xffffff,0,c8ccd49,45047757741228039,高压线长期对人是有害的，持续性的。
130,61.04700,滚动弹幕,25,0xffffff,0,ab4a4bea,45041659845541893,老工贼了
131,57.06400,滚动弹幕,25,0xffffff,0,440ae67c,45033467331215363,给小三买
132,48.31700,滚动弹幕,25,0xffffff,0,44b81200,45031234432663555,你说的是有钱
133,79.46000,顶端弹幕,25,0xfef102,0,790f0be8,45027102449729543,只要够便宜一切共识都不存在了
134,60.36000,顶端弹幕,25,0xfef102,0,790f0be8,45027081113305093,酱香科技直呼内行！
135,50.00200,滚动弹幕,25,0xffffff,0,8404281b,45017818132905989,是因为我在等拆
136,33.68600,滚动弹幕,25,0xffffff,0,b32a85af,44996586654662661,薛之谦？？
137,65.10700,滚动弹幕,25,0xffffff,0,40344530,44988846360756229,shui四声  说服
138,63.37300,滚动弹幕,25,0xffffff,0,9ef9b78b,44988671714656263,但是高压线边的便宜呀！
139,117.09900,滚动弹幕,25,0xffffff,0,72b6119,44987360225001477,降价卖不就和up说的一样血亏嘛，还非说敢敢敢，原价你愿意吗？
140,82.19700,滚动弹幕,25,0xffffff,0,6832859,44979511012360197,你物理好，你牛逼
141,126.56200,滚动弹幕,25,0xffffff,0,caaee92b,44979481947406339,高压线过几年政府改造就埋地里去了，怕啥
142,96.27300,滚动弹幕,25,0xffffff,0,caaee92b,44979452320415747,买，凶宅必须买，便宜量又足，尤其是米花市
143,86.62400,滚动弹幕,25,0xffffff,0,caaee92b,44979424218578949,那么你是怎么去买的呢
144,44.83500,滚动弹幕,25,0xffffff,0,caaee92b,44979394704834567,我买来是等拆迁的，管你有没有高压线呢
145,55.95900,滚动弹幕,25,0xffffff,0,b00b338b,44975013642108995,你怎么知道20年后还有没有共识？
146,1.59800,滚动弹幕,25,0xffffff,0,d8c61cb0,44964290124840965,为什么B站的黑了别人他的视频我还能看到。
147,39.78100,滚动弹幕,25,0xffffff,0,546ea09a,44959611310571527,对啊，高压线以后会不会改地方啊
148,36.97200,滚动弹幕,25,0x2e72,0,546ea09a,44959576882675719,那高压线20年后会不会改地方啊？
149,51.48200,滚动弹幕,25,0xffffff,0,d5752ebf,44951411187253251,在用怎么办
150,54.74200,滚动弹幕,25,0xffffff,0,7a93a894,44948246032809991,数码宝贝一直在看
151,45.68900,滚动弹幕,25,0xffffff,0,8e3ff824,44937103175319555,房子和电器一样？
152,19.47900,滚动弹幕,25,0xffffff,0,ad40c441,44929758911266823,你在说什么？
153,10.20700,滚动弹幕,25,0xffffff,0,ad40c441,44929754024378373,？？？
154,38.96000,滚动弹幕,25,0xffffff,0,442b39a2,44929047731372039,你怎么知道我没在用？
155,51.43300,滚动弹幕,25,0xffffff,0,c187f9a6,44928544035307525,不好意思 ，不卖，等拆迁
156,55.57800,滚动弹幕,25,0xffffff,0,a9454bd0,44925085758783493,阿猫阿狗都自称是老师
157,120.51800,滚动弹幕,25,0xffffff,0,bd39bf41,44924217145688067,说敢的脑子让驴踢了吗？
158,77.36100,滚动弹幕,25,0xffffff,0,6c963ce1,44922534721224709,这讲话像薛之谦
159,100.67200,滚动弹幕,25,0xffffff,0,b1144b66,44917046261579779,啥b
160,39.00900,滚动弹幕,25,0xffffff,0,76c25f34,44913804660703237,sowa
161,34.50800,滚动弹幕,25,0xffffff,0,76c25f34,44913802245308421,sowa
162,80.62000,顶端弹幕,25,0xffffff,0,d2dab807,44912661775253507,不和共识作对，那就甘愿吃shi。你也是坨shi
163,73.71400,滚动弹幕,25,0xffffff,0,e1b905c,44907037690167299,你觉得没问题买，那就卖给也觉得没问题的啊
164,43.38100,滚动弹幕,25,0xffffff,0,a267f7de,44904496703733765,在用
165,88.52700,滚动弹幕,25,0xffffff,0,45a41411,44884607744081925,三缸机
166,0.13900,滚动弹幕,25,0xffffff,0,11bc7c0e,44868826415235077,送你俩字儿，扯蛋。
167,108.08000,滚动弹幕,25,0xffffff,0,3d0f93bd,44867412645904387,？
168,89.96800,滚动弹幕,25,0xffffff,0,80219085,44858054617858055,逐渐离题
169,24.67100,滚动弹幕,25,0xffffff,0,b290705d,44854341210734595,吵呀
