,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,53.56000,滚动弹幕,25,0xe70012,0,df7f94d9,44135787881562119,发现擦掉之后手上出现了深深的伤口 
2,87.88700,滚动弹幕,25,0xffffff,0,af5d1177,44038319490203651,硫氰化物和氰化物不一样
3,18.35500,顶端弹幕,25,0xe70012,0,15614986,43914639192358917,没有一氧化二氢怎么办（doge）
4,5.95900,滚动弹幕,25,0xffffff,0,fd9aaea2,43829200634249219,该反应是三价铁离子与硫氰根反应生成硫氰化铁，硫氰化铁呈血红色
5,11.73900,滚动弹幕,25,0xffffff,0,eaf4958c,43773278811586563,那真是太可惜了[doge]
6,1.62300,顶端弹幕,25,0xffffff,0,8133aac2,45030563508649989,恭喜你发现宝藏up主
7,68.45900,滚动弹幕,25,0xffffff,0,e609d97,44911904137150469,说实话颜色非常真
8,64.78200,滚动弹幕,25,0xffffff,0,510d15ed,44910030326071299,高一化学文科生也应该懂的叭
9,40.80900,滚动弹幕,25,0xffffff,0,6b750c5,44908161736376323,希望某些剧组学一学
10,4.47700,滚动弹幕,25,0xe70012,0,b2eb6c70,44907271243694087,此曲一出，非死即伤。吉他一响，爹娘白养。色调一黑，坟头扬灰。动作暂停，阎王出勤。
11,35.80900,顶端弹幕,25,0xfef102,0,a0622d59,44906086471827463,碘          伏
12,62.38600,滚动弹幕,25,0xffffff,0,5429bba9,44905659783184387,？？？
13,9.54600,滚动弹幕,25,0xffffff,0,5429bba9,44905631043813383,笑死！
14,79.17900,滚动弹幕,25,0xffffff,0,2d7819ae,44905044900839431,待会洗完之后发现还有红色的东西渗出来就好玩了哈哈
15,63.41900,滚动弹幕,18,0x84c0cb,0,bf998c1e,44902673007247367,说实话，我看不懂
16,23.95900,滚动弹幕,18,0x84c0cb,0,bf998c1e,44902638317207559,NB，吓死我了
17,60.15000,滚动弹幕,25,0xffffff,0,92f06a5e,44902626443132935,啊啊啊啊啊
18,3.29900,滚动弹幕,25,0xe70012,0,3a2546e5,44902561715585029,开幕雷击
19,88.00300,滚动弹幕,25,0xe70012,0,1790d6ec,44902129742643207,吓死我了
20,58.84700,滚动弹幕,25,0xffffff,0,90465c7,44901012801060871,卧槽
21,80.14500,滚动弹幕,25,0xffffff,0,179a08f1,44900915876986887,好痛
22,72.35200,滚动弹幕,25,0xffffff,0,5628b8d2,44899518968758279,结果滑着划着就破了
23,66.33900,滚动弹幕,25,0xffffff,0,8923ca3a,44898574600765443,我的妈 好像啊
24,8.27900,滚动弹幕,25,0xffffff,0,8923ca3a,44898532051648519,我靠 真的假的
25,76.72000,顶端弹幕,25,0xffffff,0,d307419a,44892004804984835,快洗手！！！
26,35.21900,滚动弹幕,25,0xffffff,0,61f5eb61,44891643999944711,文科生表示懵逼
27,45.45900,滚动弹幕,25,0xffffff,0,e31fe4a4,44890700962070533,氰化物不是有毒了？
28,85.49900,滚动弹幕,25,0xffffff,0,4500099d,44890065237180419,啊这，我们学过，你成功让我把他记得很深刻
29,76.23900,滚动弹幕,25,0xffffff,0,c4eaccce,44889336154423303,额，我咋说这么熟悉呢？天天写的东西啊
30,4.67000,滚动弹幕,25,0xffffff,0,d19e6def,44889045945286663,啊。。
31,9.06800,滚动弹幕,25,0xffffff,0,8e7143ea,44885404367716359,已举报
32,60.99200,滚动弹幕,25,0xffffff,0,3c62133e,44873545360605187,吓死了
33,12.14100,滚动弹幕,25,0xffffff,0,3c62133e,44873519710863367,卧槽
34,81.82000,滚动弹幕,25,0xffffff,0,9bc791a7,44869385331933187,不错，可以拿来拍照发朋友圈了
35,70.05900,顶端弹幕,25,0xe70012,0,e5d5c9fe,44866830538375173,学会了！这就去和化学老师对线
36,57.37900,滚动弹幕,25,0xffffff,0,48921553,44866496092962819,高一化学检验铁离子和亚铁离子
37,58.77900,滚动弹幕,25,0xffffff,0,ba8084ab,44861864687435781,高一表示有手就行
38,77.45800,顶端弹幕,25,0xe70012,0,5ef115a1,44860273392091143,Kscn
39,17.90000,滚动弹幕,25,0xffffff,0,4da12f10,44859262653956103,三价铁离子和硫氰根离子反应
40,43.58000,滚动弹幕,25,0xffffff,0,5a5084bd,44856307556024327,高一新生狂喜
41,34.53200,滚动弹幕,25,0xffffff,0,12ee2494,44853462873669635,血红色络合物
42,10.19800,顶端弹幕,25,0xa0ea,0,cb7892f5,44850897729617927,白高兴的笑死我了
43,7.27900,滚动弹幕,25,0xffffff,0,ae3ca5c5,44849564367192069,高中必修一，第三章，铁   金属材料，第一节铁及其化合物
44,62.65900,滚动弹幕,25,0xffffff,0,4fb250d3,44847702010757125,高一的
45,8.59200,滚动弹幕,25,0xffffff,0,d6e6d503,44845874774802439,啊啊啊啊
46,50.38500,滚动弹幕,25,0xffffff,0,7e840e33,44838404841013255,两种都有毒吧
47,56.15900,滚动弹幕,25,0xffffff,0,a9b57367,44837530276724741,哦哦~
48,81.77900,滚动弹幕,25,0xffffff,0,164e6d82,44837489384882179,好家伙
49,58.94600,滚动弹幕,25,0xffffff,0,a092b457,44825433787596803,脑子在疼了……三价铁的检验……
50,77.63900,滚动弹幕,25,0xffffff,0,31eca61d,44818115963387907,化学是我最喜欢的学科，但为了以后有好的大学和工作，我选择了文科
51,18.26400,滚动弹幕,25,0xffffff,0,8a4d99d3,44818091343872005,woc！！
52,16.53900,滚动弹幕,25,0xffffff,0,66dcdd61,44817292892045315,all together吹爆
53,27.21900,滚动弹幕,25,0xffffff,0,afac5f0b,44816864698695683,血红色物质
54,88.00300,滚动弹幕,25,0xffffff,0,7ca6ee7a,44815909053792263,拿真刀来划
55,3.71900,顶端弹幕,25,0xffffff,0,9bfb1a7c,44815908188192771,你不好好写作业在干什么！
56,78.80400,滚动弹幕,25,0xffffff,0,f5fc6a90,44815222477160455,学到了
57,83.77700,滚动弹幕,25,0xffffff,0,e84e8672,44814520224841733,FeCl溶液是不是用盐酸酸化的，这PH，受得了吗……
58,74.18300,顶端弹幕,25,0xe70012,0,610c7f11,44814096314925063,氰化物有毒关我硫氰化物什么事[doge]
59,42.45900,滚动弹幕,25,0xffffff,0,22860271,44813970052218885,化学课代表来了
60,64.70900,滚动弹幕,25,0xffffff,0,2265a79c,44810456556634119,硫氰化铁巨腥我试过
61,27.46600,顶端弹幕,25,0xffffff,0,97a31570,44810110436376583,HOH
62,31.64800,滚动弹幕,25,0xffffff,0,83f9d0db,44805015135584261,血红色络合物
63,9.71900,顶端弹幕,25,0xe70012,0,d229ca53,44798740910309381,白高兴了
64,12.82500,滚动弹幕,25,0xffffff,0,8a87a94c,44797356741230599,高一狂喜
65,13.37900,滚动弹幕,25,0xffffff,0,195e3ffa,44796349240573959,吓死我了
66,26.41900,滚动弹幕,25,0xffffff,0,870520ae,44791794642714627,电影里的道具？
67,78.34300,滚动弹幕,25,0xffffff,0,f46ec8ba,44789133843365895,高二路过
68,75.05900,滚动弹幕,25,0xffffff,0,7b71bef4,44770529091518471,电视剧里就是这样的吗
69,66.47700,顶端弹幕,25,0xffffff,0,b922ad8d,44769632575815683,KSCN
70,79.05900,顶端弹幕,25,0xe70012,0,ed951b27,44768850563039235,前边的，氰化物有毒，可是硫氰化物不是氰化物
71,72.89900,顶端弹幕,25,0xe70012,0,70938e5a,44767166222303239,氰化物。。。我记得好像有毒啊
72,21.93900,顶端弹幕,25,0xfef102,0,fc65a6fa,44767122555404295,发底部弹幕的有没有素质啊？
73,53.37900,滚动弹幕,25,0xffffff,0,b72dd773,44766760808742919,文科生表示学过都忘了
74,20.41100,滚动弹幕,25,0xffffff,0,7b51e88d,44766642221088773,哦那真是太可惜了
75,23.11900,滚动弹幕,25,0xffffff,0,c8aa9390,44766269201186883,西琳草
76,67.98300,滚动弹幕,25,0xffffff,0,919ac00d,44765745547575301,含在嘴里会怎么样_(:* ｣∠)_
77,9.77300,滚动弹幕,25,0x9843,0,184376e9,44764937937485827,真太nm可惜了[doge]
78,62.20600,滚动弹幕,25,0xffffff,0,e61f9fa4,44763634819661829,等等，氰化物有毒吧
79,12.07400,滚动弹幕,25,0xffffff,0,de94907a,44763147767119879,？
80,64.11700,滚动弹幕,25,0xffffff,0,27638762,44759838567694343,三价铁！
81,61.85900,滚动弹幕,25,0xffffff,0,6f9fbae1,44759015807254535,必修一
82,45.50700,滚动弹幕,25,0xffffff,0,4dbcba56,44754350754496519,初二懵了
83,52.91700,滚动弹幕,25,0xffffff,0,e8bf34a4,44753296662462471,文科生懵逼了
84,80.30700,滚动弹幕,25,0xffffff,0,71549b65,44752581035032581,直接抹脖子上
85,57.15700,滚动弹幕,25,0xe70012,0,cea882e,44752043691212807,真就是血红色的
86,47.34300,顶端弹幕,25,0xe70012,0,35d62287,44744495028764679,吓死我了
87,28.33900,滚动弹幕,25,0xffffff,0,da42461,44730152631402499,铁离子检验啊
88,20.42200,滚动弹幕,25,0xffffff,0,f0abe541,44728643011215363,文科生一时间没有反应过来一氧化二氢是什么，反应过来之后觉得自己是个傻子hhhhh
89,62.09900,滚动弹幕,25,0xffffff,0,85602b6,44726673822711811,检验铁离子生成血红色硫氰化铁
90,57.10700,滚动弹幕,25,0xffffff,0,490f1565,44726255715090437,我去
91,5.85900,滚动弹幕,25,0xffffff,0,9a1eae32,44725994967269381,希望人没事
