,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,58.80800,顶端弹幕,25,0xfe0302,0,96b205fb,43946652230221827,是一块块田，中国人长在土里实锤了！
2,352.57300,顶端弹幕,25,0xe70012,0,cc26d147,43946512542072835,韩国人:真的吗？我不信？
3,90.16100,滚动弹幕,25,0xcc0273,0,a53dea18,43942404935385093,我认识这个字，它读作“马赛克”
4,73.30200,顶端弹幕,25,0xffffff,0,3b5461be,43936519405174791,字面（字面意思）
5,36.75600,顶端弹幕,25,0x2e72,0,4be729b8,43935543673225219,一个黑色方块
6,23.34700,顶端弹幕,25,0xe70012,0,3dbae035,43934887676739591,《只   有》
7,334.09300,顶端弹幕,25,0xffffff,0,c38d65a5,43934459455078405,看起来像熊猫头表情包
8,0.00000,顶端弹幕,25,0x89d5ff,0,dfe3edba,43932995084091399,会看到一个大大的正方形黑疙瘩（doge）
9,408.91200,滚动弹幕,25,0xffffff,0,d6d32bfa,46611843357605893,python就是最吊的！！！
10,383.51600,滚动弹幕,25,0xffffff,0,5cefa94b,46563705629442053,还有女书，奇怪的知识点又增加了
11,402.21800,滚动弹幕,25,0xe70012,0,beec7fe3,46395326909120519,《短 短 几 十 行》
12,392.49800,滚动弹幕,25,0xe70012,0,bdbcaf7c,46254719322030085,用ai做啊
13,378.52200,滚动弹幕,25,0xffffff,0,174e8a7a,46213870509883399,怎么到处都有男拳师（^^
14,400.42500,滚动弹幕,25,0xffffff,0,d6b706dd,45977802739023879,长风破浪会有时 直挂云帆济沧海
15,402.42400,顶端弹幕,25,0xffff00,0,50fe6742,45923936073940995,我想了解医生专用体
16,399.54300,滚动弹幕,25,0xffffff,0,712bc736,45766859987877895,长沙有位爱莲老师就是女书传承人
17,389.80900,滚动弹幕,25,0xffffff,0,3faec67a,45760799073370119,OMG
18,406.37300,滚动弹幕,25,0xffffff,0,9a07ab49,45620058779549699,《短短几十行》
19,396.97600,滚动弹幕,25,0xffffff,0,6f15ba8b,45618421834973191,长风破浪会有时，直挂云帆济沧海
20,406.09000,滚动弹幕,25,0xffffff,0,e9c7a9cd,45614783656361987,是python吗？
21,400.60500,滚动弹幕,25,0xffffff,0,455af8b6,45604619048976389,啊我升华了
22,362.72800,滚动弹幕,25,0xffffff,0,d8edb3b3,45571338918690823,▓
23,408.19000,滚动弹幕,25,0xffffff,0,ef64ced1,45566699289706503,Python和Mathematica
24,405.35500,滚动弹幕,25,0xe70012,0,c9d3e730,45542859151507463,Ohhhhhhhhhhhhhhhhhhhhhhhh
25,398.01400,滚动弹幕,25,0xffffff,0,663e5743,45539605655060483,直挂云帆济长海
26,389.14000,滚动弹幕,25,0xffffff,0,663e5743,45539594509746179,乘风破浪未有时
27,413.09300,滚动弹幕,25,0xe70012,0,e2e2a78a,45529296608952323,人生苦短我用Python
28,418.29200,滚动弹幕,25,0xffffff,0,12c437bc,45438412394594311,厉害了
29,416.58300,滚动弹幕,25,0xffffff,0,694f41fc,45185028986503173,比长还得看我c
30,386.74500,顶端弹幕,25,0xe70012,0,bc2c8f5f,45175821486260227,长风破浪会有时直gua云帆济沧海
31,414.12200,滚动弹幕,25,0xffffff,0,f54cdfa7,45175028438269955,up牛b
32,360.84200,滚动弹幕,25,0xffffff,0,248b3b4e,45136875803377667,老丁头！
33,367.70400,滚动弹幕,25,0xffffff,0,8d4e358c,45132797081812997,我有个同学就这个女书的类型
34,391.17900,滚动弹幕,25,0xffffff,0,59f5dd77,45131901808672773,very nice
35,404.37200,滚动弹幕,25,0xffffff,0,b9197e68,45117803608408067,python
36,366.29900,滚动弹幕,25,0xffffff,0,15fab4ba,45117337961496581,有男书吗
37,389.36300,滚动弹幕,25,0xffffff,0,3604d8f8,45086284352323591,女书是女书，女拳是女拳，某些人脑袋清醒点吧
38,418.97900,滚动弹幕,25,0xffffff,0,57c40456,45081862120407047,榫
39,423.77700,滚动弹幕,25,0xffffff,0,d8e13fe8,45078867036602375,升华了
40,360.72900,滚动弹幕,25,0xffffff,0,37de06c7,45066394315259909,哇女书！你币有了
41,412.45100,滚动弹幕,25,0xffaa02,0,e0aeee28,45048941693632519,我一个文科生突然激起了想学程序，代码，指令的欲望
42,414.05700,滚动弹幕,25,0xffffff,0,98b9fcc3,45041211668955143,确实短啊
43,380.60700,滚动弹幕,25,0xffffff,0,ded05eeb,45033276090875909,好东西
44,408.88000,滚动弹幕,25,0xe70012,0,8865fe4d,45031527071350791,短     短
45,381.26600,顶端弹幕,25,0xe70012,0,bf13748e,45030975257182215,单眼3D
46,394.98600,滚动弹幕,25,0xffffff,0,e4f382e3,45011133885579271,医生写的主要是拉丁文，不算汉字。
47,371.84900,滚动弹幕,25,0xffffff,0,1d71e978,44998723271393283,为什么没有喃字
48,412.41600,滚动弹幕,25,0xffffff,0,4e5e7cb3,44996175608676355,不读书吃了文盲的当，读书吃了文化的当。
49,376.29900,滚动弹幕,25,0x683a7b,0,2399bd7d,44985699906617347,包括男性awa
50,375.69900,滚动弹幕,25,0x683a7b,0,2399bd7d,44985691128987655,女书没有失传 很多江永人古宅人都能让会说的
51,361.49900,滚动弹幕,25,0x683a7b,0,2399bd7d,44985665606647815,这边 江永人 up用心了
52,364.60100,滚动弹幕,25,0xffffff,0,22b7f068,44983880893071363,双螺旋结构模型
53,389.98000,滚动弹幕,25,0xffffff,0,62d29562,44983473416962053,秀
54,409.17100,滚动弹幕,25,0xffffff,0,ba90309d,44974030786134023,66666
55,423.86100,滚动弹幕,25,0x84c0cb,0,dbed87ef,44949101128187909,你三连有了
56,364.35000,滚动弹幕,25,0xffffff,0,bf876acc,44946832147611653,拳师一点也不狂喜，我们本来就知道从古到今就一直有人反抗不合理的男尊女卑啊
57,422.00800,滚动弹幕,25,0xffffff,0,3748b349,44946736099098629,Python
58,414.25900,滚动弹幕,25,0xffffff,0,3748b349,44946731135139843,嘿，我他娘的是学编程的
59,375.41700,滚动弹幕,25,0xffffff,0,9b83e6c3,44945921846804485,男犬又开始打拳了
60,420.60900,滚动弹幕,25,0xffffff,0,87804f4f,44940155674427399,好！
61,411.49800,滚动弹幕,25,0xffffff,0,495454aa,44914519910645763,我靠Python。
62,367.25900,滚动弹幕,25,0xffffff,0,f94a862a,44911178645241863,都不知道女书
63,363.89000,滚动弹幕,25,0xffffff,0,87fe4c94,44910376905605125,up讲的很好 但我好困
64,366.48400,滚动弹幕,25,0xffffff,0,1240e40d,44897036046696451,女书没失传，我家就有女书字典
65,392.73200,顶端弹幕,25,0x2e72,0,a7a8e103,44894481023500291,雲帆濟
66,424.44500,滚动弹幕,25,0xffffff,0,a5da0a1,44884173221003271,好
67,392.62600,滚动弹幕,25,0xffffff,0,5316448a,44867345373986821,嘲讽女权的马上就来了，啧啧
68,376.42000,滚动弹幕,25,0xffffff,0,8d3ccc6f,44854386732564487,弹幕别引战
69,365.20400,滚动弹幕,25,0xffffff,0,edc00141,44846601240838149,带女书玩好评
70,402.28000,滚动弹幕,25,0xffffff,0,fb08b3a5,44844666250592263,百年？
71,409.92100,滚动弹幕,25,0xffffff,0,e728817c,44838946622930949,汉字是最宝贵的人类财富
72,366.67600,滚动弹幕,25,0xffffff,0,e5ea3db9,44835659826855939,一提到某个性别，有些人就开始女拳女拳，也不看看场合，恶心
73,366.44500,顶端弹幕,25,0xe70012,0,5d2140c7,44819325694509123,南拳警告
74,395.61900,滚动弹幕,25,0xffffff,0,ef4c93c2,44814723891855365,時
75,368.69900,滚动弹幕,25,0xffffff,0,e1f290d2,44806047227445255,好家伙，第一次知道还有女书
76,404.17300,滚动弹幕,25,0xffffff,0,3a84b2d7,44800461154811909,泪目
77,394.93900,滚动弹幕,25,0xffffff,0,76b305f,44798833394188295,引入AI
