,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,51.71500,滚动弹幕,25,0xffffff,0,bb260c01,46520575789629443,1997
2,10.61500,滚动弹幕,25,0xffffff,0,23aba878,46452769569112067,丈育up
3,30.52500,滚动弹幕,25,0xffffff,0,81792d55,46449066957078535,16年
4,7.56000,顶端弹幕,25,0xffff00,0,eaba23a,46441978269270023,1 9 1 9 . 8 .1 0（
5,0.63200,顶端弹幕,25,0xe70012,0,c6262b3f,46437837016924163,1991.12.25
6,34.23100,顶端弹幕,25,0xe70012,0,6eb464bd,46437788297461767,1038-1-7
7,18.92100,滚动弹幕,25,0xffffff,0,e3eeaf44,46435708068429829,??
8,49.84700,滚动弹幕,25,0xffffff,0,47fed4a8,46401389969539077,1916-06-24（索姆河战役）
9,52.89100,滚动弹幕,25,0xffffff,0,b755c701,46396471585538053,2015-09-13
10,8.68300,滚动弹幕,25,0xffffff,0,8ffcc4c9,46384046447525955,2015-6-11
11,43.90500,滚动弹幕,25,0xffffff,0,a4059061,46380350090772487,文化沙漠
12,8.38200,滚动弹幕,25,0xffffff,0,2c631743,46367600294232067,2013-02-09
13,44.83700,滚动弹幕,25,0xffffff,0,21783087,46354309525274629,14-7-29
14,20.99700,滚动弹幕,25,0xffffff,0,98570f83,46352269546881027,？
15,49.10600,滚动弹幕,25,0xffffff,0,7a13b7fc,46348840714371077,2013，，，，
16,39.92000,滚动弹幕,25,0xffffff,0,a25ccd16,46337606909165575,2016-07-05 
17,52.91500,滚动弹幕,25,0xffffff,0,8b79adac,46331571526434823,2014-1.28
18,11.83500,滚动弹幕,25,0xffffff,0,365613ac,46329741078167559,1892
19,54.93900,顶端弹幕,25,0xffffff,0,dab08be,46329313179992067,草
20,51.75400,滚动弹幕,25,0xffffff,0,5d5f0f38,46322219773067271,2016-5-21
21,51.57400,滚动弹幕,25,0xffffff,0,8d7868ec,46311758872707077,2016-7-8
22,38.89300,滚动弹幕,25,0xffffff,0,64e59d57,46301237909389319,16.4.29
23,31.51500,滚动弹幕,25,0xffffff,0,15e8128a,46300120929009671,不是时间戳？老程序员了
24,54.35300,滚动弹幕,25,0xffffff,0,aee8734a,46287857199874051,2019—9—14
25,48.81200,滚动弹幕,25,0xffffff,0,8cb8b77e,46279927027728391,2013-06-06
26,50.81100,滚动弹幕,25,0xffffff,0,5b5d29fb,46267401130999813,17/4/29
27,37.03900,滚动弹幕,25,0xffffff,0,7694a85,46246732718145541,2016-1-09
28,42.30600,滚动弹幕,25,0xffffff,0,d2575909,46242400460865539,17-07-01
29,24.65600,滚动弹幕,25,0xffffff,0,5f4e2089,46229105804836867,time.localtime()
30,26.20700,滚动弹幕,25,0xffffff,0,e0d47aad,46226226321293317,2014 9 23
31,21.68300,滚动弹幕,25,0xffffff,0,b378b16e,46224663293460487,2017-8-9
32,55.45300,滚动弹幕,25,0xffffff,0,9244252a,46219090099961859,2017—1—29
33,34.73900,滚动弹幕,25,0xffffff,0,68325a1d,46211332216717383,脸多大馅饼能掉你脸上
34,16.13900,顶端弹幕,25,0xffffff,0,68325a1d,46211281567875075,768年
35,58.81500,滚动弹幕,25,0xffffff,0,e2fba83d,46204569901334531,2015-9-3
36,10.79700,滚动弹幕,25,0xffffff,0,e1642d9b,46202574486372357,乂
37,37.65100,滚动弹幕,25,0xffffff,0,ddb43ae,46196737473773573,戳（chuo）
38,56.80000,滚动弹幕,25,0xffffff,0,46c20029,46194832871260163,2015-10-7
39,51.32300,滚动弹幕,25,0xffffff,0,d5a08444,46174397241753605,2011-10-07
40,32.12600,滚动弹幕,25,0xffffff,0,fc95996e,46171989969731591,2012-12-21
41,12.59900,滚动弹幕,25,0xffffff,0,a06c4268,46168427997429763,16-03-13
42,6.92300,滚动弹幕,25,0xffffff,0,3998f847,46167950488502275,1145.1.4
43,46.49600,滚动弹幕,25,0xffffff,0,c9013c61,46166516528316419,18年
44,2.59400,滚动弹幕,25,0xf0ab2a,0,d475b8b1,46164691856130051,2018-6-26
45,46.68200,滚动弹幕,25,0xffffff,0,9a09d671,46156857763430407,时间戳谢谢
46,25.63800,滚动弹幕,25,0xffffff,0,e55e7194,46149760720568327,2018-8-23
47,34.62200,滚动弹幕,25,0xffffff,0,d2ad3251,46146177961820165,1895.09.10
48,27.26200,滚动弹幕,25,0xffffff,0,8f57c524,46130483190300677,2016-9-22
49,20.18800,滚动弹幕,25,0xffffff,0,e882cfac,46129419411521543,1453
50,28.93500,滚动弹幕,25,0xffffff,0,2aa743c,46123698123440135,2017-11-26
51,46.55600,滚动弹幕,25,0xffffff,0,cf108fbf,46122574772961349,1996
52,0.00000,底端弹幕,25,0xe70012,0,7213fa0e,46120853617246215,1919.5.4
53,33.43100,滚动弹幕,25,0xffffff,0,98bdf922,46119856650059783,2017-6.22
54,40.89700,滚动弹幕,25,0xffffff,0,d1354a8b,46118830227849221,2018-8-20
