,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,24.77000,滚动弹幕,25,0xffffff,0,541c7549,45930064893181959,9500
2,10.41900,顶端弹幕,25,0xe70012,0,e3d00e46,45624557353041925, 穿脑魔音
3,16.66000,滚动弹幕,25,0xffffff,0,4d3de030,45624154428276739,10367，我聋了
4,18.96300,滚动弹幕,25,0xffffff,0,5265f731,45624031523635207,10000
5,14.82200,滚动弹幕,25,0xffffff,0,eb7b64e8,45623029040414727,16000
6,2.26100,滚动弹幕,25,0xffffff,0,f8c7b03a,45622740736016387,八千多就没了
7,25.23700,滚动弹幕,25,0xffffff,0,d43ad6fb,45622356271955973,八千就听不见了
8,16.80200,滚动弹幕,25,0xffffff,0,375a8db7,45621437362339847,我聋了
9,12.52100,滚动弹幕,25,0xffffff,0,93084170,45621180676177925,我8000就听不到了诶
10,0.27900,滚动弹幕,25,0xffffff,0,fa583e24,45620543095308295,你们能听到后面我不信 手机也发不出来吧
11,29.74200,滚动弹幕,25,0xffffff,0,68b753ee,45620476245966851,14000
12,4.96200,滚动弹幕,25,0xffffff,0,3fae4b4c,45617405676224515,大家在出去的时候一定要把音量调小哦
13,28.27400,滚动弹幕,25,0xffffff,0,4fe01baa,45616955863859205,1.38
14,8.74600,滚动弹幕,25,0xffffff,0,f582d476,45616861882613763,1万4
15,1.81700,滚动弹幕,25,0xffffff,0,1e9003c9,45616605345873923,wr我死了
16,5.80000,滚动弹幕,25,0xffffff,0,3398f7d0,45615877941362691,我就说怎么一开始就听不到，原来静音了，草
17,22.62600,滚动弹幕,25,0xffffff,0,ae4b013a,45614314938695687,一万
18,26.07800,滚动弹幕,25,0xffffff,0,ae4b013a,45614299411906563,9000
19,7.94200,滚动弹幕,25,0xffffff,0,69168821,45614068314669061,9万4
20,15.04700,滚动弹幕,25,0xffffff,0,f6c2c383,45613964949716995,1.6w
21,22.78200,滚动弹幕,25,0xffffff,0,6260fbe6,45612677634981893,听不见了
22,3.17800,滚动弹幕,25,0xffffff,0,a274ac2a,45612568135335941,8k就冒得了
23,13.99100,滚动弹幕,25,0xffffff,0,221f051,45612206120239109,聋了
24,26.09900,滚动弹幕,25,0xffffff,0,2831d5f9,45610901021655043,听到了16000
25,29.06000,滚动弹幕,25,0xffffff,0,9e6a0ffa,45610891336482823,一万八
26,24.42100,滚动弹幕,25,0xffffff,0,5cc212ec,45609581606862855,11000
27,1.63100,滚动弹幕,25,0xffffff,0,924e64f7,45609312344080391,抱歉，我有神经性耳鸣，治不好，有声没声都会响
28,19.81900,滚动弹幕,25,0xffffff,0,2b12d335,45607314800508931,听不见了
29,2.50000,滚动弹幕,25,0xffffff,0,f4830588,45606631057653763,9000后听不见的可以尝试戴耳机声音放最大
30,27.21900,滚动弹幕,25,0xffffff,0,87d458f9,45605542503120901,13000
31,13.95000,滚动弹幕,25,0xffffff,0,79802290,45602030892875779,听不见了？
32,10.81200,滚动弹幕,25,0xffffff,0,1e97e50a,45595697196040195,一万三最好了
33,29.01400,滚动弹幕,25,0xffffff,0,f606fc0e,45594646126526467,16000还能听到一点声
34,8.93900,滚动弹幕,25,0xffffff,0,57d3ee14,45594399106662407,1.7W
35,21.90000,滚动弹幕,25,0xffffff,0,2ae45efc,45593349407113221,13636
36,18.15800,滚动弹幕,25,0xffffff,0,4fd14084,45592578477260805,？听到一万四听不到了，然后鼻子通了
37,14.16200,滚动弹幕,25,0xffffff,0,6276efb9,45591995416051715,8300
38,15.42100,滚动弹幕,25,0xffffff,0,6276efb9,45591964665511939,没了
39,24.29900,滚动弹幕,25,0xffffff,0,abba23f1,45588017414406147,13000
40,6.39500,滚动弹幕,25,0xffffff,0,98dd3465,45587436816826371,20000
41,24.14300,滚动弹幕,25,0xffffff,0,c201cd5b,45586270875811847,9500没了
42,31.02100,滚动弹幕,25,0xffffff,0,aa4f2bd2,45586162079760391,也就9000
43,16.27000,滚动弹幕,25,0xffffff,0,c93670b7,45585558056992775,最高9400
44,17.47700,滚动弹幕,25,0xffffff,0,98bb9123,45584775855472647,已经小消失
45,2.14700,滚动弹幕,25,0xffffff,0,7d9b994d,45584197216632839,音响外放，表示很淦
46,16.30700,滚动弹幕,25,0xffffff,0,273d9554,45583508551761927,9000就没了
47,26.10700,滚动弹幕,25,0xe70012,0,7088945f,45583328081346563,最大16264
48,0.34000,滚动弹幕,25,0xffffff,0,3fb75227,45583303039254531,谢谢，听完之后耳鸣了
49,9.49900,滚动弹幕,25,0xffffff,0,d73e7f07,45583201485193223,我猜你们现在把音量开到最大了
50,16.83800,滚动弹幕,25,0xffffff,0,e0a7c4bc,45582798124744709,9400
51,27.17400,滚动弹幕,25,0xffffff,0,37bd5bd3,45582657365475331,一万四
52,27.26000,滚动弹幕,25,0xffffff,0,24220874,45582058985095171,14000
53,18.26700,滚动弹幕,25,0xffffff,0,11751d91,45578998971367427,9600
54,27.82100,滚动弹幕,25,0xffffff,0,6f972fa2,45578507220156419,已经听不到
55,0.71900,滚动弹幕,25,0xffffff,0,4454827c,45577700445257731,全听到了怎么办 
56,17.73900,滚动弹幕,25,0xffffff,0,5d01bdd7,45577442434744327,我聋了
57,23.21800,滚动弹幕,25,0xffffff,0,f2df7414,45577074182193159,一万三
58,15.10100,滚动弹幕,25,0xffffff,0,fe69b249,45577040079880199,9393
59,21.05600,滚动弹幕,25,0xffffff,0,f41c6c08,45575705236340741,9500
60,18.61800,滚动弹幕,25,0xffffff,0,27f1a191,45575345048911875,115
61,9.90900,滚动弹幕,25,0xe70012,0,6233d900,45574678955687941,一万三之后就聋了
62,19.90800,滚动弹幕,25,0xffffff,0,4f7d7037,45574267725676549,1.3w
63,27.64700,滚动弹幕,25,0xffffff,0,a216f303,45574086476693507,1w左右
64,22.59000,顶端弹幕,25,0xe70012,0,b7044695,45572233819586567,1.3
65,25.13900,滚动弹幕,25,0xffffff,0,c3bb4029,45572037606899715,狗能听见人听不见的声音
66,27.55200,滚动弹幕,25,0xffffff,0,b82fae0a,45571754507108359,聋了聋了
67,17.08500,滚动弹幕,25,0xffffff,0,3a13459,45571646014619655,9300
68,22.82300,滚动弹幕,25,0xffffff,0,66592a2,45569327845343239,一万三
69,12.22700,滚动弹幕,25,0xffffff,0,b1d712f8,45568608878198787,16000
70,0.00000,滚动弹幕,25,0xffffff,0,27efc21b,45568427807473671,耳机党阵亡
71,26.65900,滚动弹幕,25,0xffffff,0,a030ad6d,45568160802799623,1万3
72,24.57900,滚动弹幕,25,0xffffff,0,a030ad6d,45568155716157447,1
73,28.60700,滚动弹幕,25,0xffffff,0,716a8875,45566787031400451,13856
74,10.31900,滚动弹幕,25,0xffffff,0,f5b93c9d,45566481912037381,9200
75,17.38000,滚动弹幕,25,0xe70012,0,b9f76c97,45565617234247687,10000万
76,24.09900,滚动弹幕,25,0xffffff,0,e0344522,45565119305351175,13000
77,19.38100,滚动弹幕,25,0xffffff,0,ef6efa13,45564804445241347,一万一
78,20.04700,滚动弹幕,25,0xffffff,0,ef6efa13,45564795970125829,一万
79,2.15700,滚动弹幕,25,0xffffff,0,fa87e159,45563511238557703,你们听不到吗
80,15.34700,滚动弹幕,25,0xffffff,0,2e353fb5,45561315311747077,能听到多少完全看我的设备能力
81,21.02000,滚动弹幕,25,0xffffff,0,89bf6708,45560657886052357,？没了
82,28.01000,滚动弹幕,25,0xffffff,0,59032452,45560025161662471,9000极限
83,30.95100,滚动弹幕,25,0xffffff,0,9b00048b,45556788177141765,吐了
84,30.95300,滚动弹幕,25,0xffffff,0,3de8e52a,45548601389088771,我的手机喇叭怎么回事？
85,24.26500,滚动弹幕,25,0xffffff,0,c9a4c2df,45547835692679175,一万四左右
86,15.91100,滚动弹幕,25,0xffffff,0,a0075002,45546327878664195,一万三后面就听不到了
87,1.79400,滚动弹幕,25,0xffffff,0,7605c42c,45545823641534471,14000hz
88,17.71000,顶端弹幕,25,0xe70012,0,5392e38d,45544167168802823,没了
89,28.51500,滚动弹幕,25,0xffffff,0,fe16b0bd,45543606230974471,最大音量能到一万五
90,22.52100,滚动弹幕,25,0xffffff,0,fe16b0bd,45543589859033091,一万三？
91,18.32700,滚动弹幕,25,0xffffff,0,5773af6b,45542669771866117,听不见，重来！
92,2.02700,滚动弹幕,25,0xffffff,0,5773d77d,45542573509443589,我就是那5%
93,21.47300,滚动弹幕,25,0xffffff,0,39b9dfbc,45541518888927237,9500
94,22.43500,滚动弹幕,25,0x9843,0,1e019786,45539662977564677,1.4w
95,12.86800,滚动弹幕,25,0xffffff,0,2b98a1d8,45538932759724103,16800
96,22.35900,滚动弹幕,25,0xffffff,0,720e534d,45538794425810949,1.3
97,21.40800,滚动弹幕,25,0x9843,0,72776a61,45538352467804163,流弊
98,24.61900,滚动弹幕,25,0xffffff,0,defa1b71,45537867370332167,9000以后就听不见了。
99,20.57900,滚动弹幕,25,0xffffff,0,eaaf7be8,45537810868338695,到此为止了
100,29.99900,滚动弹幕,25,0xffffff,0,2ed91f3d,45537018263896067,？我为什么还能听到一点
101,29.04600,滚动弹幕,25,0xffffff,0,f7d435d,45536429742227459,7900
102,19.77300,滚动弹幕,25,0xffffff,0,c090bdcf,45536251903737859,不到12000hz
103,26.81900,滚动弹幕,25,0xffffff,0,115ec28b,45535876203151365,"13,000."
104,15.37800,滚动弹幕,25,0xffffff,0,2eb9c993,45535464120123395,9400
105,25.24500,滚动弹幕,25,0xffffff,0,f95c7e11,45530233403604997,兄弟们带耳机
106,11.58700,滚动弹幕,25,0xffffff,0,f5f0997e,45529777280909315,13809
107,28.94000,滚动弹幕,25,0xffffff,0,1fbfc1ae,45528242837258243,1.8w
108,21.56000,滚动弹幕,25,0xffffff,0,c48cf311,45528217591742469,13436
109,25.36500,滚动弹幕,25,0xffffff,0,56674b2,45527874858909703,9500
110,0.57900,滚动弹幕,25,0xffffff,0,9edb8322,45527390024105987,鬼
111,23.31900,滚动弹幕,25,0xffffff,0,278e9e7d,45526730796957699,我听到了14000
112,16.09900,滚动弹幕,25,0xffffff,0,d7b293ca,45525114567524357,1万
113,25.18000,滚动弹幕,25,0xffffff,0,64f9c08f,45524571568734215,15704
114,1.26300,滚动弹幕,25,0xffffff,0,278dd59,45523618392178695,9000多
115,19.75400,滚动弹幕,25,0xffffff,0,bfe6155c,45522867497992199,我都怕我手机炸了
116,16.05800,滚动弹幕,25,0xffffff,0,c6491061,45518002495422469,一万六
117,30.75300,滚动弹幕,25,0xffffff,0,c7ee9f51,45517647723364355,1.0000左右就听不到了
118,11.49900,滚动弹幕,25,0xffffff,0,8e9b242c,45517423618031621,耳朵疼快点跑
