,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,35.13900,顶端弹幕,25,0xf0ab2a,0,d874c4e0,43848132454252547,     贵     族     限     定     
2,55.60700,顶端弹幕,25,0xa0ea,0,8ec31f99,43845587014516739,天王星之前被陨石砸到翻了个头，就再也没正过来，始终是一个方向朝着太阳……
3,67.39000,顶端弹幕,25,0xfef102,0,5c544d57,43843870193614851,敬 请 期 待
4,25.66200,顶端弹幕,25,0xa0ea,0,5c544d57,43843719430406149,年 费 专 属
5,59.10800,顶端弹幕,25,0xe70012,0,5b9a4b49,43822470655901699,苏     联     版     图
6,35.54900,滚动弹幕,25,0xffffff,0,67e9a11a,46673039761342467,太阳好霸气
7,4.33900,滚动弹幕,25,0xe70012,0,f0dc2ad,46669100435374085,火锅
8,69.97900,滚动弹幕,25,0xa0ea,0,aaf2c22b,46662361496944645,路。
9,16.82000,滚动弹幕,25,0xa0ea,0,aaf2c22b,46662329149947911,新年快乐。（祝你吉祥）
10,2.21900,滚动弹幕,25,0xf0ab2a,0,aaf2c22b,46662296358354949,是什么波？（你还走不走）
11,22.58500,顶端弹幕,25,0xa0ea,0,4d4b0a2f,46502280980070405,通关 “流浪地球” 环节即可获得
12,22.66300,顶端弹幕,25,0xfef102,0,4d4b0a2f,46502181222219783,流浪地球限定皮肤
13,23.23600,顶端弹幕,25,0xfef102,0,4d4b0a2f,46502165960720391,解锁流浪地球章节可获得
14,12.15500,滚动弹幕,25,0xffffff,0,1970c631,46488623878504451,bgm一百分
15,48.89400,滚动弹幕,25,0xffffff,0,4ca4f07a,46435548766666755,夺魂之王降临
16,16.64500,滚动弹幕,25,0xfe0302,0,33665011,46397959515930627,武器A
17,10.72100,顶端弹幕,25,0xe70012,0,dd7b9e61,46389831318634503,华晨宇！！
18,47.69400,滚动弹幕,25,0xffffff,0,f0dc2ad,46349400978489349,股海护航火锅
19,62.45900,滚动弹幕,25,0xffffff,0,1949cb4a,46114478309244995,赛德娜歼灭3-1
20,51.09900,顶端弹幕,25,0xf0ab2a,0,a269956,46079820320735239,小屁孩也就知道三体
21,14.82500,滚动弹幕,25,0xffffff,0,c8ff133a,46031612147662853,好美啊
22,13.38900,滚动弹幕,25,0xffffff,0,278c851,45949520616882183,星际穿越
23,19.88600,顶端弹幕,25,0xa0ea,0,d832ee84,45948735736250375,武器A太草了哈哈哈哈哈哈哈哈哈
