,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,3.57900,滚动弹幕,25,0xffffff,0,7592f690,46302098957533187,铣刀
2,6.78400,滚动弹幕,25,0xffffff,0,cf20a528,46125996866273287,草
3,9.16200,滚动弹幕,25,0xffffff,0,deaeebb,46117234605555715,蓝钢嘛
4,10.45900,滚动弹幕,25,0xe70012,0,fd04960f,45941096696512517,亚克力不就是有机玻璃吗？想啥呢？
5,11.26900,滚动弹幕,25,0xffffff,0,3c5ee771,45790309132009479,哈哈哈哈哈 塑料板不是有机给我笑傻了
6,2.26000,滚动弹幕,25,0xffffff,0,773ca5e7,45703302073024517,PMMA
7,12.27700,滚动弹幕,25,0xffffff,0,773ca5e7,45703295090032643,PMMA
8,0.00000,滚动弹幕,25,0xffffff,0,3d7dbb48,45697378911518725,表面淬火 崭新出厂 纯蓝极品嗷
9,9.39700,滚动弹幕,25,0xffffff,0,7fe5e79a,45676909274071043,应该是亚克力板吧
10,3.51700,滚动弹幕,25,0xffffff,0,57b67b47,45626450526076931,6mm单刃铣刀，下面应该是亚克力板，
11,8.36000,滚动弹幕,25,0xffffff,0,be9955a6,45624079251668999,淬火这里刷的是csgo的皮肤，别当真
12,11.15400,顶端弹幕,25,0xffffff,0,120a23da,45573800909078531,环氧树脂不是有机物？PVC不是有机物？说不是有机你上过中学么
13,3.08400,滚动弹幕,25,0xffffff,0,579ed820,45569974311845891,铣的真开心
14,12.55500,滚动弹幕,25,0xffffff,0,a61fb5ff,45488519711817733,亚克力板如果刀不锋利会粘刀，还削不到位
15,0.16500,滚动弹幕,25,0xffffff,0,bd692e24,45283870558388231,亚克力，随便什么刀都可以铣
16,5.10400,滚动弹幕,25,0xffffff,0,dcba77de,45224322334720007,这淬火真蓝啊
17,4.12300,滚动弹幕,25,0xffffff,0,c524ace8,45220118331392003,PMMA
18,8.09900,滚动弹幕,25,0xffffff,0,363ed0bb,45203242357882887,亚克力
19,6.82100,滚动弹幕,25,0xffffff,0,fa583e24,45179768208883715,看见这机床我头都疼
20,3.09100,滚动弹幕,25,0xffffff,0,efc49fe4,45157930857660419,亚克力
21,10.99600,滚动弹幕,25,0xffffff,0,6a100d2c,45127346058952711,聚甲基丙烯酸甲酯 聚甲基苯丙酸甲脂
22,3.00000,滚动弹幕,25,0xffffff,0,6a100d2c,45127321614548995,俗名不叫有机玻璃？？
23,8.39000,滚动弹幕,25,0xffffff,0,b0834114,45123670227025925,就是亚克力之类的塑胶板，有机个鬼
24,5.29900,滚动弹幕,25,0xffffff,0,1ca24473,45091102544887813,烤蓝
25,10.35700,滚动弹幕,25,0xffffff,0,9f19a003,45088520244559939,什么淬火啊，这是涂层
26,13.00000,滚动弹幕,25,0xffffff,0,5c7102b3,45047790035271683,亚克力刀 便宜的
27,6.47400,滚动弹幕,25,0xffffff,0,c31523fb,45020044820742149,淬火
28,1.62300,滚动弹幕,25,0xffffff,0,87a740d2,44996248442765319,这颜色好漂亮
29,6.84600,滚动弹幕,25,0xffffff,0,f649244f,44947803871379461,有机玻璃
30,6.67800,滚动弹幕,25,0xffffff,0,3c865484,44914923631804419,表面淬火
31,10.19200,滚动弹幕,25,0xffffff,0,35b6d007,44773773247250435,亚克力
32,9.34300,滚动弹幕,25,0xffffff,0,6f50dc56,44728069477367811,树脂？
33,12.55500,滚动弹幕,25,0xffffff,0,503c2234,44719321218285575,莫名其妙吹一口
34,3.07100,滚动弹幕,25,0xffffff,0,c40597ba,44710156753698819,表面淬火 
35,4.53900,滚动弹幕,25,0xffffff,0,4630752b,44708870718750727,这能用吗？都这么拉了，退火了都
36,2.86100,滚动弹幕,25,0xffffff,0,4823ff04,44707973885853699,拿块塑料板有啥可说的
