,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,14.17400,滚动弹幕,25,0xffffff,0,5aa7bbdc,46671905553907717,陈玉楼来啦
2,10.84400,滚动弹幕,25,0xffffff,0,5bef1382,46671537737564165,看指甲泥
3,34.63700,滚动弹幕,25,0xffffff,0,9807c6bb,46612775914438659,蛇纹铜鱼？
4,50.05900,滚动弹幕,25,0xffffff,0,ff94a5a2,46609638567182339,蛇眉铜鱼
5,43.80600,滚动弹幕,25,0xffffff,0,d397d29e,46577777831313413,祖传
6,27.71900,滚动弹幕,25,0xffffff,0,9afc4cd0,46478233683623939,七娃
7,13.11900,滚动弹幕,25,0xffffff,0,50e60377,46441000055341063,他姥爷是鹧鸪哨，他姑舅姐姐是雪莉杨
8,12.57900,滚动弹幕,25,0xffffff,0,facc3b13,46432223685509125,倒斗的
9,39.31600,滚动弹幕,25,0xffffff,0,2dc84a3c,46431303717879815,祖宗三代
10,14.05600,滚动弹幕,25,0xffffff,0,6ae35a0d,46428381190815749,看这指甲里面带土，老倒斗的
11,36.99800,滚动弹幕,25,0xffffff,0,d57c0e94,46428140429377541,指甲太恶心了
12,49.88400,滚动弹幕,25,0xffffff,0,303c724b,46303524554276869,怕不是倒斗的吧
13,35.41900,滚动弹幕,25,0xffffff,0,19cdac14,46221312419954693,蛇眉铜鱼？
14,43.66200,滚动弹幕,25,0xffffff,0,4ae70c02,46179949181665287,？？？
15,47.89400,滚动弹幕,25,0xffffff,0,b50440ee,46169073226612739,家传的手艺
16,52.93900,滚动弹幕,25,0xffffff,0,e78157fe,46127988889616391,这个进去了没有
17,17.42600,滚动弹幕,25,0xffffff,0,41f17a03,46111405483491335,哈哈哈哈哈
18,49.72000,滚动弹幕,25,0xffffff,0,4cd59633,46111337838280707,这爹得进去了
19,12.77700,滚动弹幕,25,0xffffff,0,46d5e45a,46079470400962563,哈哈哈哈哈哈
20,25.13900,滚动弹幕,25,0xffffff,0,a60f4bf4,45981432579883015,指甲看吐了
21,16.03000,滚动弹幕,25,0xffffff,0,1c532205,45895101196009475,倒斗的
22,47.27600,滚动弹幕,25,0xffffff,0,ed43f7b,45850020075798533,按年算的真品。小7.8年吧
23,35.19700,滚动弹幕,25,0xffffff,0,11e5389,45836404622098439,秦王照骨镜
