,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,4.59800,顶端弹幕,25,0xe70012,0,150de47c,44900479573426181, “刑，分批申请，注意排队”​
2,31.17900,滚动弹幕,25,0xffffff,0,ec604671,46628006229180421,明牌
3,42.10800,滚动弹幕,25,0xffffff,0,74fdba5b,46616700684599301,？？？？
4,34.34500,滚动弹幕,25,0xffffff,0,74fdba5b,46616696614551557,不应该出
5,18.95800,滚动弹幕,25,0xe70012,0,846ea815,46581832825700359,有点意思，
6,3.55900,滚动弹幕,25,0xffffff,0,2cf6150f,46578715879014403,就一群逗比，这盗墓那盗墓小说看多了吧
7,32.66500,滚动弹幕,25,0xffffff,0,4086a03e,46566661080743939,？
8,32.67900,滚动弹幕,25,0xffffff,0,41288e46,46565890200174597,？？？？？
9,17.53100,滚动弹幕,25,0xffffff,0,8aa44754,46451744076464135,哈哈哈哈哈挺熟练
10,33.31000,滚动弹幕,25,0xffffff,0,2b4d59b6,46445441702166533,？？？？？？？？？
11,29.09900,滚动弹幕,25,0xffffff,0,b842f8bf,46440914797199363,这些盗墓的真的嚣张
12,20.85500,滚动弹幕,25,0xffffff,0,7df82830,46351134379474949,《专业》
13,33.75400,滚动弹幕,25,0xffffff,0,4ca6a680,46329474631336003,？？？？？？
14,46.90100,滚动弹幕,25,0xffffff,0,bc306d3d,46315069497147399,您老师
15,33.46100,滚动弹幕,25,0xffffff,0,22cf542,46309692586590211,？
16,48.59600,顶端弹幕,25,0xe2027f,0,7af2b1ed,46304710018727941,就这一个了
17,31.67500,滚动弹幕,25,0xffffff,0,ef6475e7,46293211512045573,地方？
18,14.22700,滚动弹幕,25,0xffffff,0,a04c632e,46289998577664005,寻宝雅印
19,23.72900,滚动弹幕,25,0xffffff,0,220dc152,46271653553897475,哈哈哈哈
20,29.43900,滚动弹幕,25,0xffffff,0,dc0fce54,46260506212171783,宋元的墓
21,47.90400,滚动弹幕,25,0xffffff,0,acdc2391,46260168487862279,狱友太猖狂了
22,49.39400,滚动弹幕,25,0xffffff,0,c8dab010,46246548741816323,5000块左右啊
23,54.57000,滚动弹幕,25,0xffffff,0,6888a7fd,46221381645893637,劳动仲裁通知书
24,22.39900,滚动弹幕,25,0xffffff,0,97c96bf,46218062963671047,这么熟练？？
25,6.67700,滚动弹幕,25,0xffffff,0,397395fd,46217503548899333,哈哈哈哈哈哈哈
26,29.19900,滚动弹幕,25,0xffffff,0,e0aec8f8,46177347818225671,盗墓贼
27,44.80900,滚动弹幕,25,0xffffff,0,a642e29e,46170662174720003,一线老哥？
28,47.46900,滚动弹幕,25,0xffffff,0,60d286a8,46151741176545283,哈哈哈哈哈
29,2.04700,滚动弹幕,25,0xffffff,0,2de708f2,46120860500099075,哈哈哈哈哈哈哈
30,32.92600,滚动弹幕,25,0xffffff,0,d9262128,46108443971944453,地方
31,3.53900,滚动弹幕,25,0xffffff,0,12422103,46088302144520197,牛哇
32,4.84100,滚动弹幕,25,0xffffff,0,1693603a,46087889806163975,哈哈哈哈牛检察官
33,32.03400,滚动弹幕,25,0xffffff,0,489aea89,46082574923595781,？
34,39.72700,滚动弹幕,25,0xffffff,0,2af883c8,46081400992432133,知识交流
35,34.23500,滚动弹幕,25,0xffffff,0,9859c7d9,46078597098635271,？？？？？
36,38.82500,滚动弹幕,25,0xffffff,0,810d7053,46045586480168963,背景什么仲裁委员会
37,31.01900,滚动弹幕,25,0xffffff,0,560464b3,46040576594280451,？？
38,25.25400,滚动弹幕,25,0xffffff,0,270b3bd5,46038017825570821,专业
39,54.05900,滚动弹幕,25,0xffffff,0,a8a8533,46020552409219075,还好
40,51.06000,滚动弹幕,25,0xffffff,0,806d8eca,46000968799092743,就这一个，其他的出手了
41,15.49900,顶端弹幕,25,0xe70012,0,b7492d93,45996115564167175,发丘印
42,10.71800,滚动弹幕,25,0xffffff,0,4f4def28,45993076614758405,一进来画面我以为是粑粑
43,11.69300,滚动弹幕,25,0xffffff,0,4f4def28,45993067056988163,封面我以为是粑粑
44,3.30000,滚动弹幕,25,0xe70012,0,85eedf4,45988659508805639,牛检察官哈哈哈哈哈哈哈哈哈
45,40.35800,滚动弹幕,25,0xffffff,0,114a4bde,45987220883505157,盗友
46,37.69100,滚动弹幕,25,0xffffff,0,2af883c8,45979782802833413,专业互怼
47,29.05200,滚动弹幕,25,0xffffff,0,a57a74e5,45976186315603975,猖狂
48,24.63800,滚动弹幕,25,0xffffff,0,c49fc7fd,45975479200514051,冉阿让？？
49,51.83900,滚动弹幕,25,0xffffff,0,9b2017ad,45967663790817285,喜提四年
50,53.56600,滚动弹幕,25,0xffffff,0,ff9559d0,45954622264705029,哈哈哈哈哈
51,15.62800,滚动弹幕,25,0xffffff,0,24023130,45949827345809415,哈哈哈哈哈哈哈哈
52,54.57000,滚动弹幕,25,0xffffff,0,bdea28c5,45937251667935239,哈哈哈哈哈哈
53,54.57000,滚动弹幕,25,0xffffff,0,e96012e6,45902827035820039,评估价四年半可还行
54,8.37900,滚动弹幕,25,0xffffff,0,9c486f98,45898547672383493,入坑作哈哈哈哈哈哈
55,34.94400,滚动弹幕,25,0xffffff,0,9e3a0151,45897749533032451,发丘印
56,38.37700,滚动弹幕,25,0xffffff,0,672072ef,45897101273464837,这是真该进去
57,39.14500,滚动弹幕,25,0xffffff,0,f6438819,45885506276294659,倒友
58,40.65700,滚动弹幕,25,0xffffff,0,b5e6ace3,45852988683059203,怎么这么像三木
59,36.91200,滚动弹幕,25,0xffffff,0,4e60fb17,45843809514815491,地方？
60,9.38300,滚动弹幕,25,0xffffff,0,888dbea3,45833142733897735,哈哈哈哈哈哈
61,20.41100,滚动弹幕,25,0xffffff,0,5accf63f,45823817090072579,日子越来越有判头了
62,39.16700,滚动弹幕,25,0xffffff,0,bd31599d,45807235201236995,刑部侍郎
63,15.39900,滚动弹幕,25,0xffffff,0,e9910da,45805147905327109,危 危 危
64,28.30700,滚动弹幕,25,0xffffff,0,e311d22d,45799241473851395,？？？
65,46.30700,滚动弹幕,25,0xffffff,0,5298e010,45789833966649347,满足了
66,43.15500,滚动弹幕,25,0xffffff,0,c2835ae2,45756264781185091,绝对是刚刚上来
67,41.79600,滚动弹幕,25,0xffffff,0,97a80d2a,45749798292684807,相当于现代橡皮章
68,30.43900,滚动弹幕,25,0xffffff,0,1754166d,45748732995567623,？？？？？？
69,13.85900,滚动弹幕,25,0xffffff,0,a078b24b,45741060752146439,寻宝鸦印
70,29.99900,滚动弹幕,25,0xffffff,0,679cc2c3,45739844725374983,？？？
71,2.53900,滚动弹幕,25,0xffffff,0,3864ae3a,45728852794146821,天天坐牢
72,44.65800,滚动弹幕,25,0xffffff,0,7c58a74c,45718322597593093,不应该出这玩意？
73,33.09900,滚动弹幕,25,0xffffff,0,985698da,45710018459205637,这是个青铜蓝牙耳机，我知道
74,32.27100,滚动弹幕,25,0xffffff,0,5b31060e,45707224878678023,好家伙60w粉了
75,2.79300,滚动弹幕,25,0xffffff,0,41d7db02,45698883677847559,不应该是牛提刑吗？
76,21.12800,滚动弹幕,25,0xffffff,0,8c6c2116,45697006707933189,贤宝宝
77,39.14400,滚动弹幕,25,0xffffff,0,98d6fe5a,45692487141949443,盲盒？
78,35.97500,滚动弹幕,25,0xffffff,0,ea8cb4f8,45668631769513989,送
79,31.88800,滚动弹幕,25,0xffffff,0,6b3c2cf5,45663107506241539,？？？
80,31.39900,滚动弹幕,25,0xffffff,0,e73db414,45663072620642307,地方好家伙，老盗墓贼了
81,7.29900,滚动弹幕,25,0xffffff,0,e3ecbed5,45661160127070213,摸金校尉
82,12.20700,滚动弹幕,25,0xffffff,0,d76e34ac,45658184192360453,哈哈哈
83,17.70400,滚动弹幕,25,0xffffff,0,f194a79,45651295852822535,法老？
84,31.50700,滚动弹幕,25,0xffffff,0,1bfc7953,45636275319865351,是个断子绝孙行的
85,30.45500,滚动弹幕,25,0xffffff,0,67db6880,45628258764455943,好家伙
86,5.62800,滚动弹幕,25,0xffffff,0,67db6880,45628245691858947,好家伙
87,35.45900,滚动弹幕,25,0xffffff,0,d42d62d6,45628007422361605,这人估摸着刚上来
88,0.90700,滚动弹幕,25,0xe70012,0,b77c1f19,45618818133262343,看到标题啪的一下就点进来了很快啊
89,31.13900,滚动弹幕,25,0xffffff,0,7a53c5e4,45613353146515459,牙印
90,25.74600,滚动弹幕,25,0xe70012,0,94d49c47,45612409527205893,前方高能！！！！！！！！！！！
91,17.46700,滚动弹幕,25,0xffffff,0,214d6a8a,45611955705610245,死刑起步
92,50.21900,滚动弹幕,25,0xffffff,0,8cab3fca,45608624142155783,就这一个？
93,31.60500,滚动弹幕,25,0xffffff,0,191098fb,45603893681848327,蓝牙耳机
94,27.21400,滚动弹幕,25,0xffffff,0,d74d6b66,45599533072121859,出这个的地方。。。
95,30.09900,滚动弹幕,25,0xffffff,0,7d2ad6de,45585934738522115,？
96,36.05900,滚动弹幕,25,0xfef102,0,eb17fc1c,45585228754321411,你该叫狱友
97,45.16300,滚动弹幕,25,0xffffff,0,5b3773ed,45581257254895623,胆子大
98,9.97900,滚动弹幕,25,0xffffff,0,df36be1f,45579674465075203,官哥，不要嘛
99,51.42000,滚动弹幕,25,0xffffff,0,da78a210,45577523076530183,听懂没 出土
100,48.30200,滚动弹幕,25,0xffffff,0,f0494cc0,45569530154450949,刑
101,45.60600,滚动弹幕,25,0xffffff,0,3becda39,45567391643992069,好家伙
102,7.23900,滚动弹幕,25,0xffffff,0,c1049c71,45556050611929093,哈哈哈哈哈哈哈哈自觉
103,8.22800,滚动弹幕,25,0xffffff,0,1eeab3c2,45536257869086725,好家伙
104,16.41300,滚动弹幕,25,0xffffff,0,c649ef2e,45521812641021957,法老鉴宝
105,21.75000,滚动弹幕,25,0xffffff,0,d8520ea2,45498100862681093,标题离谱
106,8.69900,滚动弹幕,25,0xffffff,0,810bdf5f,45495115425775621,手指头这么短了一看就惯犯
107,5.48100,滚动弹幕,25,0xffffff,0,f69037fb,45488830174199813,好家伙
108,19.25900,滚动弹幕,25,0xffffff,0,aa6cffba,45484270824194053,七七的符！
109,5.33000,滚动弹幕,25,0xffffff,0,d4c788a0,45478050263465987,升职了？
110,5.11900,滚动弹幕,25,0xffffff,0,4569fc63,45460286700781571,又升官了？
111,24.55300,滚动弹幕,25,0xffffff,0,2d90b3c9,45446344858402821,自来水三木？
112,11.76700,滚动弹幕,25,0xffffff,0,3f89227e,45438113823064069,检察官太秀了
113,31.98200,滚动弹幕,25,0xffffff,0,e311d22d,45426811266400261,AirPods哈哈哈哈哈
