,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,26.02000,滚动弹幕,25,0xffffff,0,a8d1aae4,46633683850887175,为什么他们看一眼就认出来了
2,63.24800,滚动弹幕,25,0xffffff,0,ea98b0a1,46618455714562055,总感觉这是jc叔叔创建的频道
3,15.78000,滚动弹幕,25,0xe70012,0,6655f47c,46616038069501955,土特产
4,43.49200,滚动弹幕,25,0xffffff,0,bf32e214,46536971512709127,摸金校尉
5,26.85400,滚动弹幕,25,0xffffff,0,b89bef47,46466934509142019,没错啊狱友
6,65.78100,滚动弹幕,25,0xffffff,0,cab8a867,46450213879021573,从周代传下来的
7,19.71700,滚动弹幕,25,0xffffff,0,d8bacd99,46390464263225349,离谱
8,62.54900,滚动弹幕,25,0xffffff,0,91397b40,46364077649821703,哈哈哈哈
9,74.41900,滚动弹幕,25,0xffffff,0,6f361875,46303008219725831,旧石器时代祖传下来的了，当年轩辕皇帝喝过水的罐子，谁还不是炎黄子孙呢
10,40.16500,滚动弹幕,25,0xffffff,0,af226930,46293695120539653,怎么能看出来是辽代的
11,59.81900,滚动弹幕,25,0xffffff,0,b94f4fc2,46168014918254597,生活越来越有“判头”了
12,61.47600,滚动弹幕,25,0xffffff,0,6b39fbb6,46153654366371847,叠加包
13,19.77700,滚动弹幕,25,0xffffff,0,8f1d5ffc,46151717590925315,天天量刑
14,55.96100,滚动弹幕,25,0xffffff,0,ffe7fa2d,46044078331658245,危
15,24.25900,滚动弹幕,25,0xffffff,0,ffe7fa2d,46044058421821445,卧槽辽代的！
16,49.59600,滚动弹幕,25,0xffffff,0,44d6c8cc,46036847705980933,它是怎么保存的这么完整的
17,59.31500,滚动弹幕,25,0xffffff,0,86a5b2b3,46018880373522439,牢底坐穿
18,17.21900,滚动弹幕,25,0xffffff,0,7a3403e1,45981106742231047,土夫子？
19,36.32800,滚动弹幕,25,0xffffff,0,cd9f2524,45979213570244613,咋看出来的呀 秒看
20,17.41900,滚动弹幕,25,0xffffff,0,e76a8098,45958048917749767,？？？？
21,14.87900,滚动弹幕,25,0xffffff,0,6e9b8630,45903375030026247,新石器哈哈哈哈哈哈哈哈哈哈哈哈哈
22,12.99200,滚动弹幕,25,0xffffff,0,b6dde571,45902395523727363,直接干到史前文明
23,49.94700,滚动弹幕,25,0xffffff,0,744ec2,45880212218445827,手挺好看的
24,44.25900,顶端弹幕,25,0xfef102,0,60be46c3,45860625290100741,狠货啊
25,55.18800,滚动弹幕,25,0xffffff,0,cc9e1888,45840408334303239,摸金校尉鬼都不怕还怕JC？
26,42.42600,滚动弹幕,25,0xffffff,0,8747790a,45834722847227909,好家伙
27,23.06100,滚动弹幕,25,0xffffff,0,a651dcfb,45818009450184707,q
28,44.37900,滚动弹幕,25,0xffffff,0,7b824ec3,45812813309935619,啊这……这俩三足的胖墩墩的我可只在国博古代中国厅见过……
29,65.95500,滚动弹幕,25,0xffffff,0,d1b8eee7,45811844918542343,哈哈哈哈
30,67.49900,滚动弹幕,25,0xffffff,0,30ac9e79,45805277578002435,新石器祖传下来
31,59.11300,滚动弹幕,25,0xffffff,0,b8f71508,45801375198085127,哈哈哈
32,38.48700,滚动弹幕,25,0xffffff,0,ccbf328b,45801247315853319,价值能判多少年
33,11.31900,滚动弹幕,25,0xffffff,0,e311d22d,45798969187500035,新石器？
34,49.89400,滚动弹幕,25,0xffffff,0,6d665c54,45794180442619909,这些不会都是明器吧？
35,67.55200,滚动弹幕,25,0xffffff,0,e69e62af,45775543662018565,祖传。。。
36,59.83200,滚动弹幕,25,0xffffff,0,13e068f7,45770208268779525,hhhhhhhhhhhhhhhhhhhhhh
37,39.63900,滚动弹幕,25,0xffffff,0,a52c4fcf,45769864308588549,老感觉这个鉴宝师和贤宝宝有关系
38,61.84500,滚动弹幕,25,0xffffff,0,52fb7a6f,45769758723801091,祖传也有可能是很久以前别人给的，不一定是一直下来的
39,44.15200,滚动弹幕,25,0xffffff,0,ea941899,45763661326712835,一辈子了
40,70.50500,滚动弹幕,25,0xfef102,0,1a938c43,45760802195505155,谢谢你啊，尤老师
41,49.07000,滚动弹幕,25,0xffffff,0,393ee5d0,45759827382108167,woc
42,47.76400,滚动弹幕,25,0xffffff,0,2ae915e0,45759074204647431,西周？？？
43,49.08700,滚动弹幕,25,0xffffff,0,c3e1e734,45756423236747267,人没了
44,40.45400,滚动弹幕,25,0xffffff,0,cdf97b3c,45753162625712131,摸金校尉
45,57.13900,滚动弹幕,25,0xffffff,0,62f68ba2,45752944762552325,恭喜
46,74.90800,滚动弹幕,25,0xffffff,0,163095ac,45745885753114629,自己的东西为啥要坐牢
47,70.27000,滚动弹幕,25,0xffffff,0,11d4c074,45745179926724615,新石器祖传下来的
48,10.08000,滚动弹幕,25,0xffffff,0,a4c4770f,45740691978452999,哟
49,46.01800,滚动弹幕,25,0xffffff,0,6e173daf,45739170739519491,稀粥的
50,49.25500,滚动弹幕,25,0xffffff,0,6d821067,45735243846516743,我要给你量刑吗
51,57.65900,滚动弹幕,25,0xfef102,0,a4636b42,45728217327730695,罗翔请上身
52,64.73900,滚动弹幕,25,0xffffff,0,e5b993ad,45722043189035011,祖传两千年
53,9.97300,滚动弹幕,25,0xffffff,0,a4c4770f,45717445681348611,哟
54,6.05900,滚动弹幕,25,0xffffff,0,6a5a6770,45716013885423623,呦
55,56.04800,滚动弹幕,25,0xffffff,0,ac09d4e0,45715561430122501,那我家的那个……
56,63.25200,滚动弹幕,25,0xffffff,0,da23824b,45713992921382919,无期徒刑套餐
57,66.81300,滚动弹幕,25,0xffffff,0,64204076,45710480875454467,卧槽，西周还祖传啊，那不得传了70多代了，行啊
58,40.18400,滚动弹幕,25,0xffffff,0,10a0fb00,45709643873779719,盗墓世家?
59,30.12200,滚动弹幕,25,0xffffff,0,eb96ea4a,45709309239099399,牛啊
60,18.94300,滚动弹幕,25,0xffffff,0,eb96ea4a,45709303320412165,？？！！这么！
61,44.37900,滚动弹幕,25,0xffffff,0,7cc9dfbf,45706109164978183,。。。
62,31.08000,滚动弹幕,25,0xffffff,0,33266a14,45700873075556357,多少年起
63,71.25900,滚动弹幕,25,0xffffff,0,65142ea8,45699819449090055,祖传可以啊，前几代得到的，管他是不是挖出来的传到现在都是祖传啊
64,78.08400,滚动弹幕,25,0xffffff,0,4e12442f,45698811511177221,不让估价你就估刑啊！
65,50.97600,滚动弹幕,25,0xffffff,0,e49e8436,45693825481441285,地下工作者
66,52.99500,滚动弹幕,25,0xffffff,0,65e96817,45680672306102279,直接起飞哈哈哈哈
67,49.51100,滚动弹幕,25,0xffffff,0,e2dec3f4,45675852807012355,好家伙
68,47.91000,滚动弹幕,25,0xffffff,0,6d9ac916,45666127455453187,祖传的就是你的啊
69,14.59900,滚动弹幕,25,0xffffff,0,6e9b8630,45654958227324931,新石器就尼玛离谱
70,13.06100,滚动弹幕,25,0xffffff,0,205acce6,45652484820041731,贤宝宝？
71,14.18300,滚动弹幕,25,0xffffff,0,82e9eea8,45632657866358789,新石器？？！
72,21.33000,滚动弹幕,25,0xffffff,0,2b50841a,45630392396414983,卧槽
73,54.63300,滚动弹幕,25,0xffffff,0,623b74df,45627230829150213,十年起步
74,29.56500,滚动弹幕,25,0xffffff,0,72f95e92,45625415877787655,我看成室友了
75,70.84900,滚动弹幕,25,0xffffff,0,e82b1aeb,45621188175069189,哈哈哈哈哈哈哈哈
