,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,36.26400,滚动弹幕,25,0xffffff,0,496cbea9,44543260639100935,去吧，去进我的收藏吃灰吧！
2,3.22900,滚动弹幕,25,0xffffff,0,a1fada74,44542095243345925,ps全能
3,40.71800,滚动弹幕,25,0xffffff,0,a1fada74,44542089625075715,偷懒了
4,35.03900,滚动弹幕,25,0xffffff,0,4cc3938,44541242391396359,雷姆
5,40.41900,滚动弹幕,25,0xa0ea,0,d60b9492,44499327733727235,如果爱有颜色那一定是蓝色
6,9.34500,滚动弹幕,25,0xffffff,0,1525b6a6,44446497146142725,学废了
7,0.00000,滚动弹幕,25,0xffffff,0,7c5303e5,44442924111364103,woc
8,12.29900,滚动弹幕,25,0xffffff,0,df68fac5,44398819632742405,学动画暴怒
9,12.10200,滚动弹幕,25,0xffffff,0,d954fdb1,44382220009865219,？描图
10,43.41500,滚动弹幕,25,0xe70012,0,dae09738,44346933398994951,美琴，美琴！！！
11,14.56200,顶端弹幕,25,0x84c0cb,0,56d17936,44341822288822277,老婆
12,37.49600,滚动弹幕,25,0xffffff,0,fde92d56,44318559739838469,学废了
13,47.27800,滚动弹幕,25,0xfef102,0,6034af5e,44318060849397767,卧槽！
14,19.13200,滚动弹幕,25,0xffffff,0,63974e12,44312263226556421,我点新建动作一点反应都没有，盗版的pscc2020
15,44.70600,滚动弹幕,25,0xffffff,0,4f669ceb,44298888227586117,有龟龟
16,31.94600,滚动弹幕,25,0xffffff,0,427dd513,44298739928006663,靠，干啥呢
17,36.99900,滚动弹幕,25,0xffffff,0,f4e40374,44270665725378563,雕虫小技
18,10.61300,滚动弹幕,25,0xffffff,0,8adfbc5e,44266440756822019,2020？？？
19,46.28800,滚动弹幕,25,0xffffff,0,3804811c,44221580229214211,我信了你的鬼
20,36.47700,滚动弹幕,25,0xe70012,0,f85acba0,44214582976184323,数字图像处理？上学期刚学的。
21,15.12800,滚动弹幕,25,0xffffff,0,dad8a3ab,44204892223438851,学废了，学废了
22,43.12600,滚动弹幕,25,0xffffff,0,8c3c7a8d,44181370067484677,啊，我暂停到了雪乃
23,16.83100,滚动弹幕,25,0xffffff,0,e752857,44178717938286599,收藏比点赞多系列
24,28.86800,顶端弹幕,25,0xa0ea,0,bce88c13,44167481273090053,蕾姆我老婆
25,24.34300,滚动弹幕,25,0xffffff,0,d26f05d,44165090139701251,老板一句话的事，哈哈哈
26,21.42500,滚动弹幕,25,0xffffff,0,fdfed16,44135608609144839,两行代码的事的那位 别丢人现眼了/嘲讽
27,35.84600,滚动弹幕,25,0xffffff,0,488e338d,44127346317852677,我丢
28,10.67400,滚动弹幕,25,0xffffff,0,95635ee5,44125283515629575,眼
29,35.61800,滚动弹幕,25,0xffffff,0,c756e819,44092787686637571,？
30,4.74600,滚动弹幕,25,0xffffff,0,47aecc8f,44080070755090439,为毛我两次暂停都是空白啊啊啊
31,9.41000,滚动弹幕,25,0xffffff,0,446f46bb,44079581006659587,这个牛批
32,37.76600,滚动弹幕,25,0xffffff,0,3ea67215,44027545999900677,6666学到了
33,19.10000,滚动弹幕,25,0xffffff,0,993ec714,44025176941133831,前面的是我小号
34,7.03900,滚动弹幕,25,0xffffff,0,38c4dc9e,44015321636929539,自动画
35,5.10700,滚动弹幕,25,0xffffff,0,6a4dab67,43996129858158597,t
36,31.17000,滚动弹幕,25,0xe70012,0,d63aac41,43938435859218435,RPG
37,19.09200,滚动弹幕,25,0xffffff,0,4bba8a6,43902811711733765,近日，一位外国小哥
38,15.43900,滚动弹幕,25,0xffffff,0,46abfab0,43868791707795463,程序员表示两行代码的事，这么麻烦
39,42.85600,滚动弹幕,25,0xffffff,0,d34af42f,43857202563252229,你们搁这儿搞蟠桃大会呢？
40,6.61400,滚动弹幕,25,0xffffff,0,2387a4dd,43820052588789763,雷姆我老婆后面都是我发的
41,5.49200,滚动弹幕,25,0xffffff,0,ceecccff,43819266079719427,这么容易。
42,44.69600,顶端弹幕,25,0xa0ea,0,5fad8833,43773318750797829,为毛我两次暂停都是空白啊啊啊啊
43,26.62200,滚动弹幕,25,0xffffff,0,c91c9f70,43763094087794693,边沿检测
44,41.08900,滚动弹幕,25,0xa0ea,0,ca0110a2,43748924377268229,蕾打不动
45,21.23000,滚动弹幕,25,0xffffff,0,7a874a93,43720658665865223,你老婆很棒
46,30.49400,滚动弹幕,25,0xffffff,0,6c46c5c2,43718082566291459,这个贼详细 ，比抖音上的好多了 
47,0.39800,滚动弹幕,25,0xffffff,0,2f8278d3,43711669961490439,拼多多有些店家也是这样用的，然后打印出来卖给别人，图片都没授权。。 。
48,32.41900,滚动弹幕,25,0xffffff,0,c9cb7fbe,43692736657227781,?
49,6.25200,滚动弹幕,25,0xffffff,0,aa1be821,43675801786777603,我去
50,22.49900,滚动弹幕,25,0xffffff,0,42598b96,43637097596715015,这是我老婆
51,39.63200,顶端弹幕,25,0xe70012,0,76c45d8e,43595482921959427,截图远老婆
52,15.91900,滚动弹幕,25,0xffffff,0,7dab80b6,43586175644467203,老婆~
53,1.49900,滚动弹幕,25,0xffffff,0,5187386e,43578698699898887,这个牛逼
54,34.23000,滚动弹幕,25,0xffffff,0,d1f75362,43523090566086663,学会了
55,30.34300,滚动弹幕,25,0xffffff,0,eaf4f61d,43344795817476101,学到了
