,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,9.89400,顶端弹幕,25,0xe70012,0,4563947a,45285228229427207,找出图中隐藏的越共
2,63.40000,顶端弹幕,25,0xfef102,0,70d63130,45091535825403907,学会了就用这个办法开黄车
3,198.54200,滚动弹幕,25,0xfef102,0,578c8e83,45080533526904901,《好玩的事情》
4,26.43000,滚动弹幕,25,0xffffff,0,98674584,44984152337416195,我寻思不是更清晰？
5,145.77900,顶端弹幕,25,0xfef102,0,563ced88,44930169919504389,《不明显》
6,85.53100,顶端弹幕,25,0xffffff,0,77b718a8,44903388703358979,怎么会这么巧，电脑刚好就能挑出我掺入的点呢？
7,223.91700,滚动弹幕,25,0xffffff,0,b62d8c48,46663405267845123,老鲁迅了
8,149.83600,滚动弹幕,25,0xffffff,0,b62d8c48,46663366420725767,ohhhhhhhhh
9,43.91600,滚动弹幕,25,0xffffff,0,b62d8c48,46663310890762243,???
10,133.19000,滚动弹幕,25,0xffffff,0,a62145a5,46613010718392323,Blur
11,200.80400,滚动弹幕,25,0xffffff,0,959c21af,46348452642160647,??????????
12,150.01400,滚动弹幕,25,0xffffff,0,959c21af,46348426017243139,ohhhhhhhhhhhhhhhhhh
13,97.41600,滚动弹幕,25,0xffffff,0,959c21af,46348398427111427,卧槽
14,64.43400,滚动弹幕,25,0xffffff,0,4f71f415,46296151991255045,想到了好玩的东西
15,44.65200,滚动弹幕,25,0xffffff,0,33a054fe,46209590184902659,？？？？
16,221.09400,滚动弹幕,25,0xffffff,0,cb19f163,46207528910979079,学习
17,43.87000,滚动弹幕,25,0xffffff,0,f3896f6a,46169895089471495,？
18,217.08600,滚动弹幕,25,0xffffff,0,c47526e,46169300596686855,草
19,128.18000,滚动弹幕,25,0xffffff,0,e8b9f346,46164917866201091,？
20,105.33900,顶端弹幕,25,0xffffff,0,9e1287d7,46164689199038469,哦？！！可以拨打詹姆斯邦德的电话了，有新素材了！！
21,201.93900,滚动弹幕,25,0xffffff,0,a0a0a554,46163040532430851,ohhhhhhhhh
22,225.40200,滚动弹幕,25,0xffffff,0,65b11162,46157199696723971,妙啊
23,233.89900,滚动弹幕,25,0xffffff,0,2e830433,46157112988401667,针不戳
24,225.38100,滚动弹幕,25,0xffffff,0,2e830433,46157105978146821,好家伙(✪▽✪)
25,83.26500,滚动弹幕,25,0xffffff,0,2e830433,46156997736267779,无影坦克吧
26,132.83000,顶端弹幕,25,0xfef102,0,e33b097d,46130246238863363,假说演绎法
27,48.58200,滚动弹幕,25,0xffffff,0,958394a8,46126024371994629,听up主的声音感觉像是在上网课哈哈哈哈
28,61.77800,滚动弹幕,25,0xffffff,0,fc2e621a,46120941191692291,就这？
29,151.49900,滚动弹幕,25,0xffffff,0,34f9d171,46120883470204933,ohhhhhhhhhhh
30,169.01900,滚动弹幕,25,0xffffff,0,4b020593,46117821382393859,现在学编程还来得及吗
31,123.05900,滚动弹幕,25,0xffffff,0,4b020593,46117792660324359,我是来学习的
32,119.21900,滚动弹幕,25,0xffffff,0,c34509ed,46117462249832453,师傅别念经了
33,46.57900,滚动弹幕,25,0xffffff,0,5546faf8,46115970349531139,？？？
34,51.26100,滚动弹幕,25,0xffffff,0,c1a987da,46114424370495495,好家伙
35,98.22600,滚动弹幕,25,0xffffff,0,a2942e76,46113962376822787,卧槽
36,25.94500,滚动弹幕,25,0xffffff,0,37b5aa8e,46111271654260743,锤子
37,52.67300,滚动弹幕,25,0xffffff,0,6ef1dbdf,46111084432588805,滚
38,169.41900,滚动弹幕,25,0xffffff,0,2436059d,46104439896408071,走了
39,95.71800,滚动弹幕,25,0xffffff,0,56b8ec22,46087859795918853,要关闭平滑吧
40,73.23900,滚动弹幕,25,0xffffff,0,920e7778,46087228206612483,谢谢，已经明白了
41,43.89900,顶端弹幕,25,0xfef102,0,584fa05b,46084311894982661,好家伙
42,118.16400,滚动弹幕,25,0xffffff,0,8d1a36c6,46080423676608517,关弹保智
43,89.80200,滚动弹幕,25,0xffffff,0,a7ab0a31,46079797128855619,妙啊
44,41.88900,滚动弹幕,25,0xffffff,0,972652c,46079257378553859,？？？？？？？？？？？？？？？？？
45,225.40600,滚动弹幕,25,0xffffff,0,bc0888bd,46079106760572931,woc？
46,63.03800,滚动弹幕,25,0xffffff,0,fa1a545d,46078237786243075,不想，还没贴吧幻影坦克有意思
47,86.47000,滚动弹幕,25,0xffffff,0,ae3531d1,46077550057226243,卧槽？
48,94.15900,滚动弹幕,25,0xffffff,0,6cc845da,46074864520396805,啪的一下很快啊！蕾姆就出来了
49,9.21900,滚动弹幕,25,0xffffff,0,7ecffade,46070856848244739,蕾姆在越南
50,74.47300,顶端弹幕,25,0xffffff,0,ae5f66af,46060647300464645,卧槽，开始有意思了
51,46.69900,滚动弹幕,25,0xe70012,0,83eebfcf,46047772955115523,我反手就是个一键三连
52,62.31100,滚动弹幕,25,0xffffff,0,d7694e9f,46038500810686471,懂的都懂
53,213.29400,顶端弹幕,25,0xffffff,0,b00a075d,46035519303843843,生动形象
54,89.67100,滚动弹幕,25,0xffffff,0,414c8026,46034395674443779,无影坦克 妙啊
55,41.81900,滚动弹幕,25,0xffffff,0,ac1b0e6f,46031168735281159,？
56,228.55800,滚动弹幕,25,0xffffff,0,33aee648,46031084230541379,深田
57,174.25900,滚动弹幕,25,0xffffff,0,a8ce9752,46026780538568709,好了我可以走了
58,174.27900,顶端弹幕,25,0xe70012,0,a1f5f065,46026405256888327,字幕倒挺简洁的
59,63.53600,滚动弹幕,25,0xffffff,0,6ab1b689,46023074774515715,可以用来开车
60,101.86500,滚动弹幕,25,0xffffff,0,89d68fe9,46022748173500423,换个算法不就抓瞎了
61,77.01900,滚动弹幕,25,0xffffff,0,e3dc4e6f,46020523476385795,像素点?
62,59.83900,滚动弹幕,25,0xffffff,0,1965bfc1,46020058117308419,幻影坦克三代
63,234.21900,滚动弹幕,25,0xffffff,0,8588c83,46016220085878787,md好家伙
64,81.19900,滚动弹幕,25,0xffffff,0,ec24dabd,46015824269410309,这不是以前贴吧那种幻影坦克
65,13.67900,滚动弹幕,25,0xffffff,0,e0125ec6,46015452463759365,niceboat
66,158.10000,滚动弹幕,25,0xffffff,0,deda6ea4,45999405547913223,交易密码
67,118.56100,滚动弹幕,25,0xffffff,0,8b8a0e45,45995393291911173,不完全是卷积，或者说是某个卷积核的卷积
68,19.53000,滚动弹幕,25,0xffffff,0,2c158ebd,45995246495989763,幻影坦克
