,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,269.07000,滚动弹幕,25,0xffffff,0,7038b2be,45272459777146887,这个我用得到！！
2,259.49900,滚动弹幕,25,0xffffff,0,1b2f1740,45262799477145603,感谢up分享，对于有相关需求的人来说，节省了时间也提高了工作效率
3,141.52300,顶端弹幕,25,0xe70012,0,a56fd12d,45262708134117379,有些站点很像webstack 做的。
4,278.33200,顶端弹幕,25,0xe70012,0,c162528f,45262663759429639,这个可以
5,0.00000,底端弹幕,25,0xe70012,0,ae6a50a7,45254885954813957,我还以为是部落冲突的资源
6,21.43200,底端弹幕,25,0xf0ab2a,0,d9110287,45212863971196935,好几个朋友都想了解但没时间
7,156.66100,滚动弹幕,25,0xffffff,0,b54e4920,46696066598830087,呱
8,46.49300,滚动弹幕,25,0xffffff,0,34a3154,46694617758826501,报道
9,161.63700,滚动弹幕,25,0xffffff,0,9f268b85,46677437894885379,呱呱呱
10,160.10400,滚动弹幕,25,0xffffff,0,97f76ce2,46676848888250371,呱
11,36.85000,滚动弹幕,25,0xffffff,0,97f76ce2,46676780223823877,报道
12,217.23200,滚动弹幕,25,0xffffff,0,c0dd71b9,46676366379188227,希望下面有课代表列出所有网站
13,163.54700,滚动弹幕,25,0xffffff,0,c0dd71b9,46676338235408389,呱呱呱
14,155.11100,滚动弹幕,25,0xffffff,0,44ca0acf,46675575657463813,呱呱
15,155.35700,滚动弹幕,25,0xffffff,0,38bdcccb,46675482072055813,孤呱
16,13.97800,滚动弹幕,25,0xffffff,0,bb590a05,46675115222499333,你懂的呀
17,161.42500,滚动弹幕,25,0xffffff,0,1f3735c9,46667021443661831,呱呱
18,160.16800,滚动弹幕,25,0xffffff,0,b8cf9719,46665364829896707,呱
19,35.64100,滚动弹幕,25,0xffffff,0,c834f39b,46665043708739591,来了
20,200.31700,滚动弹幕,25,0xffffff,0,7c0a7c51,46664815634022405,弹幕数量明显减少
21,45.34600,滚动弹幕,25,0xffffff,0,d5f48617,46662525944594435,报道
22,159.85500,滚动弹幕,25,0xffffff,0,8fc38a53,46660050360991751,瓜
23,18.85900,滚动弹幕,25,0xffffff,0,e5fa3084,46656703235620869,b站
24,39.79800,滚动弹幕,25,0xffffff,0,b136b93c,46656615868792839,报道
25,160.97200,滚动弹幕,25,0xffffff,0,75253b89,46654456723931141,呱
26,41.26200,滚动弹幕,25,0xffffff,0,131790de,46653808525180935,报道
27,42.85600,滚动弹幕,25,0xffffff,0,a62ec8dd,46652409481527303,下次丕定
28,155.28400,滚动弹幕,25,0xffffff,0,6be4250f,46651955757973509,呱
29,154.24900,滚动弹幕,25,0xffffff,0,c8c18ef6,46631052124880901,呱
30,174.65000,滚动弹幕,25,0xffffff,0,f9a9114,46629779528482819,呱
31,39.01100,滚动弹幕,25,0xffffff,0,f9a9114,46629708408291333,报道
32,169.88500,滚动弹幕,25,0xffffff,0,c1fc3f6e,46628502719430663,呱
33,161.97400,滚动弹幕,25,0xffffff,0,c1fc3f6e,46628498561826819,瓜
34,158.24000,滚动弹幕,25,0xffffff,0,4ed52dc1,46628407240294407,呱呱呱
35,40.56000,滚动弹幕,25,0xffffff,0,4ed52dc1,46628343005052933,报道
36,34.23900,滚动弹幕,25,0xffffff,0,eb56d926,46627706360561667,报到
37,39.49900,滚动弹幕,25,0xffffff,0,9a6e2b1,46623836506947591,报道
38,157.81800,滚动弹幕,25,0xffffff,0,28b96138,46623798762930183,呱
39,36.79000,滚动弹幕,25,0xffffff,0,28b96138,46623648572768261,报道
40,157.62000,滚动弹幕,25,0xffffff,0,97b10158,46622000106438661,呱
41,142.77900,滚动弹幕,25,0xffffff,0,b4fc1110,46620769466712067,这个好像没了
42,37.39900,滚动弹幕,25,0xffffff,0,c28a4838,46619231023792131,报道
43,50.68200,滚动弹幕,25,0xffffff,0,14e0487b,46619061070069763,报到
44,52.99500,滚动弹幕,25,0xffffff,0,ac82c379,46618274111160323,报到
45,159.51900,滚动弹幕,25,0xffffff,0,37ee34d,46616686323302403,呱
46,36.55400,滚动弹幕,25,0xffffff,0,8f367143,46615695966863367,报道
47,49.59000,滚动弹幕,25,0xffffff,0,e423e0ba,46615016183955461,报道
48,39.02800,滚动弹幕,25,0xffffff,0,26cd49cb,46614176022396933,报道
49,48.03800,滚动弹幕,25,0xffffff,0,a32253b7,46610397069836291,报道
50,161.65800,滚动弹幕,25,0xffffff,0,18ccb81e,46605255122092035,呱
51,28.72900,滚动弹幕,25,0xffffff,3,dcf81bad,46604693312372743,2
52,169.25900,滚动弹幕,25,0xffffff,0,555d08f2,46604260767956995,呱呱呱
53,156.96000,滚动弹幕,25,0xffffff,0,6c54ae73,46602125406896135,呱呱呱
54,47.70800,滚动弹幕,25,0xffffff,0,c7b90ca3,46598744281448451,报道
55,32.36400,滚动弹幕,25,0xffffff,3,bfa5cd93,46585167229222919,1
56,43.02600,滚动弹幕,25,0xffffff,0,3b660a1c,46584538341048325,报道
57,34.18200,顶端弹幕,25,0xfe0302,0,f46f4a4c,46584422621773831,草，上次找片头找了几年
58,44.53100,滚动弹幕,25,0xffffff,0,c157874b,46583169307115527,报道报道报道
