,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,7.50700,滚动弹幕,25,0xffffff,0,8a9ab1ac,46441181046374405,Life of pix
2,9.26500,滚动弹幕,25,0xffffff,0,87de6775,45938915374792707,万物皆可樱花
3,3.33600,滚动弹幕,25,0xffffff,0,4e36fd09,45899291129020421,啊？
4,2.26400,滚动弹幕,25,0xffffff,0,aa7fc6d7,45895028568489987,跪求BGM
5,0.04500,顶端弹幕,25,0xfef102,0,ce0559b9,45894193125523461,没有，懂？
6,0.32500,滚动弹幕,25,0xffffff,0,935f21aa,45878014147297287,就我觉得这是一个正常的视频吗……
7,7.55600,滚动弹幕,25,0xffffff,0,91254fb1,45850901518221319,我就需要第一个
8,10.32400,滚动弹幕,25,0xffffff,0,c01f2f14,45831651365748741,帮我朋友看
9,3.94300,滚动弹幕,25,0xffffff,0,9440e2d5,45828697677103109,你再不给我想要的网站我可点踩了昂
10,10.09900,滚动弹幕,25,0xfef102,0,7c94dc31,45819816883257351,我有个朋友说他想要的网站不是这个
11,1.45900,滚动弹幕,25,0xffffff,0,29db9396,45810285475790853,《资源》
12,7.34700,滚动弹幕,25,0xffffff,0,f12a9e34,45801646093500421,好好反省
13,8.09500,滚动弹幕,25,0xffffff,0,78372b1b,45783414567600135,？？？
14,9.32500,滚动弹幕,25,0xffffff,0,a0b19173,45775919838658565,女团
15,2.68600,顶端弹幕,25,0xe70012,0,879a8e8e,45767445573009415,这个惊人的收藏量
16,8.61200,滚动弹幕,25,0xffffff,0,cc2a4e59,45766898423955463,我很不对劲
17,10.69900,滚动弹幕,25,0xa0ea,0,d398cf5d,45766810783449093,没有我想要的
18,11.75800,滚动弹幕,25,0xffffff,0,d398cf5d,45766798234615877,没有我想要的
19,8.84700,滚动弹幕,25,0xe70012,0,7244e4b3,45760715896127493,收藏是点赞两倍
20,4.87200,滚动弹幕,25,0xe70012,0,d997e0a5,45757719190700039,收藏量说明一切
21,5.52200,滚动弹幕,25,0xfef102,0,db058bd3,45754530202648581,变态之家
22,4.43900,滚动弹幕,25,0xffffff,0,c2dab23c,45747881562865669,违 背 祖 宗 的 决 定
23,4.85100,滚动弹幕,25,0xffffff,0,c243fe22,45742267413037061,藏吃灰
24,4.92500,滚动弹幕,25,0xffffff,0,862d9a3e,45720442789953543,所有？
25,0.06500,滚动弹幕,25,0xffffff,0,21dfc4be,45713926265503747,?
26,3.79900,顶端弹幕,25,0xfef102,0,2a050192,45713796287692805,嗯？？？？
27,2.66300,滚动弹幕,25,0xfef102,0,91241f70,45710043113848837,我有个朋友
28,1.25300,顶端弹幕,25,0xfef102,0,f716142,45705062938836999,18天堂
29,0.00000,滚动弹幕,25,0xffffff,0,6cc169d9,45693984195477509,第二个值得学习
30,1.04000,滚动弹幕,25,0xffffff,0,bad64da8,45690945088782343,Mmm0m00*m
31,0.00000,滚动弹幕,25,0xffffff,0,bad64da8,45690938623787011,M0mm
32,6.60500,滚动弹幕,25,0xffffff,0,ebfa23bf,45684953827508231,变态之家
33,7.58300,滚动弹幕,25,0xffffff,0,8f68d8e6,45673861561188359,没P站，爷青结
34,7.34600,滚动弹幕,25,0xffffff,0,8adb00b5,45665729774616579,这种东西先收藏
35,1.49800,滚动弹幕,25,0xffffff,0,50c04918,45665113426362371,这收藏量
