,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,16.05900,滚动弹幕,25,0xffffff,0,298fda5,46669318318456835,伞兵
2,233.34700,滚动弹幕,25,0xffffff,0,332fafe0,46630255466643463,恐怖如斯
3,254.78000,滚动弹幕,25,0xffffff,0,39fe578c,46486286948106247,1
4,383.12000,滚动弹幕,25,0xffffff,0,adbd9b1e,46468830729338883,八卦图可还行
5,83.50700,滚动弹幕,25,0xffffff,0,b3638203,46465678261616643,空降2:45
6,239.21400,滚动弹幕,25,0xffffff,0,27c0ddb0,46452178767839235,66666
7,355.39800,滚动弹幕,25,0xffffff,0,3e0a9b9b,46447123047120903,666
8,198.12300,滚动弹幕,25,0xffffff,0,c31d163f,46447105257504775,好家伙
9,0.00000,滚动弹幕,25,0xffffff,0,1b02a826,46446061291569157,首页通知书
10,308.81400,滚动弹幕,25,0xffffff,0,2cef9480,46445696328925189,1602
11,298.68500,滚动弹幕,25,0xffffff,0,2cef9480,46445675970822151,12864
12,330.62900,滚动弹幕,25,0xffffff,0,3d1d87c4,46443485705273347,硬核，够硬
13,86.90200,滚动弹幕,25,0xffffff,0,52259594,46442302918361093,⊙∀⊙！
14,36.30300,滚动弹幕,25,0xffffff,0,c1595ce9,46441765541511173,加油呀
15,344.55100,滚动弹幕,25,0xffffff,0,969b8c,46439691125784583,厉害厉害
16,242.89400,滚动弹幕,25,0xffffff,0,84e1c061,46436333775224839,6666
17,59.76000,滚动弹幕,25,0xffffff,0,967bd1dd,46432442889797639,！！
18,175.58000,滚动弹幕,25,0xffffff,0,5abc11fb,46432386411921411,空降成功，感谢总部
19,64.53000,滚动弹幕,25,0xffffff,0,b86b3cdc,46428320956416003,空降02：45
20,378.69500,滚动弹幕,25,0xffffff,0,5cbcbb18,46424830376935427,已三连
21,188.56500,滚动弹幕,25,0xffffff,0,41c2cc2f,46420649376219139,好家伙
22,241.35100,滚动弹幕,25,0xe70012,0,11ebfaa1,46419882535288837,文艺复兴
23,291.71100,滚动弹幕,25,0xffffff,0,edbce681,46419143214235655,三连成功
24,5.51600,滚动弹幕,25,0xffffff,0,465cc4c8,46419050100162565,.
25,302.64900,滚动弹幕,25,0xffffff,0,9055d12c,46418271975505925,6
26,245.67700,滚动弹幕,25,0xffffff,0,1476037a,46417122010595333,补齐两个
27,34.62300,滚动弹幕,25,0xffffff,0,cf958d0b,46411534905114627,。
28,255.33600,滚动弹幕,25,0xffffff,0,9c14b552,46406591586500613,6666
29,219.04700,滚动弹幕,25,0xffffff,0,295cb555,46405824385384455,卧槽
30,184.16400,滚动弹幕,25,0xffffff,0,a7deedcd,46405698801631299,优秀
31,206.82300,滚动弹幕,25,0xffffff,0,9bc8c416,46405189940281347,卧槽
32,198.05800,滚动弹幕,25,0xffffff,0,9bc8c416,46405185370062853,卧槽！
33,79.35400,滚动弹幕,25,0xffffff,0,c313cf48,46403626635100163,红红火火恍恍惚惚
34,334.41700,滚动弹幕,25,0xffffff,0,9b13a73c,46403580172697603,动西
35,93.98200,滚动弹幕,25,0xffffff,0,400cfd57,46401994791845893,两倍速
36,194.89800,滚动弹幕,25,0xffffff,0,b1186cc8,46400660483604485,火钳刘明
37,214.50600,滚动弹幕,25,0xffffff,0,dfc2f655,46400043925635079,666
38,6.33900,滚动弹幕,25,0xffffff,0,2bcd7fcb,46399730151849987,666
39,72.27100,滚动弹幕,25,0xffffff,0,1e29dd05,46399002786660355,肝帝
40,64.52300,滚动弹幕,25,0xffffff,0,e86808e1,46398869888565253,！
41,214.38100,滚动弹幕,25,0xffffff,0,1de0652d,46398534700236805,电学天才
42,170.39200,滚动弹幕,25,0xffffff,0,601ac7ad,46397125040799747,技术宅拯救世界！！！！！
43,242.82000,滚动弹幕,25,0xffffff,0,8aad7d49,46397005194330117,666
44,187.28200,滚动弹幕,25,0xffffff,0,734d4ef8,46394538643685379,牛蛙
45,34.38100,滚动弹幕,25,0xffffff,0,756e410c,46394332755263495,经典老番
46,24.05800,滚动弹幕,25,0xffffff,0,555c1b94,46390155830886405,1
47,226.74500,滚动弹幕,25,0xffffff,0,92d03c6a,46389760856424455,明示投币
48,300.26300,滚动弹幕,25,0xffffff,0,6894ab33,46387275020369923,1
49,11.96000,滚动弹幕,25,0xffffff,0,b975a68c,46378434563670021,先赞为敬
50,29.60900,滚动弹幕,18,0xe70012,0,52b2d8ba,46378304333676551,好家伙好家伙
51,0.00000,滚动弹幕,25,0xffffff,0,32c5d1f8,46377512639397891,首页通知书
52,0.00000,滚动弹幕,25,0xffffff,0,32c5d1f8,46377507060449287,首页通知书
53,163.73900,滚动弹幕,25,0xe70012,0,960e00e6,46371244978733063,牛币
54,230.97000,滚动弹幕,25,0xffffff,0,50aff463,46362908250079237,芙兰朵露
55,317.81300,滚动弹幕,25,0xffffff,0,77e50ede,46360181138259975,够硬！
56,46.43900,滚动弹幕,25,0xffffff,0,e1b49803,46359983684583431,心愿达成
57,17.63800,滚动弹幕,25,0xffffff,0,4840b95f,46358187049746439,小花儿
58,386.00800,滚动弹幕,25,0xffffff,0,765c64b0,46358068350943235,窝巢
59,251.82800,滚动弹幕,25,0xffffff,0,37ec9434,46357829995986951,！
60,187.07000,滚动弹幕,25,0xffffff,0,4bd0c61b,46357061454266375,。
61,245.33000,滚动弹幕,25,0xffffff,0,93ed5e9e,46356620160532487,666
62,239.68300,滚动弹幕,25,0xffffff,0,288bd8f9,46355670344138757,666
63,227.77000,滚动弹幕,25,0xfef102,0,3e184392,46355004581216261,666
64,372.54000,滚动弹幕,25,0xffffff,0,2e41ba7e,46353862725468165,6666
65,358.88600,滚动弹幕,25,0xffffff,0,9d5a0ec1,46353355053203459,滑稽
66,293.72800,滚动弹幕,25,0xffffff,0,92437cc,46352494583349253,牛蛙
67,279.93000,滚动弹幕,25,0xffffff,0,92437cc,46352487458275333,直接三连
68,362.35100,滚动弹幕,25,0xffffff,0,82bdffe8,46351076978851847,求原视频
69,4.09400,滚动弹幕,25,0xffffff,0,c62ab2c3,46349809957208071,旷野之息
70,3.30500,滚动弹幕,25,0xffffff,0,c62ab2c3,46349797276778501,旷野之息
71,222.61700,滚动弹幕,25,0xe70012,0,37f8bcff,46345965589757959,恐怖如斯
72,308.35000,滚动弹幕,25,0xffffff,0,ad3375fc,46345922598141957,卧槽，卧槽
73,22.06700,滚动弹幕,25,0xffffff,0,a5fb7bd8,46344560801480707,。
74,76.61800,滚动弹幕,25,0xffffff,0,8a677c5d,46315167869304837,。
75,136.87500,滚动弹幕,25,0xffffff,0,a122048b,46313668994400263,牛
76,255.67300,滚动弹幕,25,0xffffff,0,6062f823,46313090884042757,卧槽。。。
77,330.95400,滚动弹幕,25,0xffffff,0,4e363087,46310960756424707,好猛啊～
78,214.41200,滚动弹幕,25,0x9b9b9b,0,b9fac259,46310585885786117,6666
79,294.65400,滚动弹幕,25,0xffffff,0,124b78f8,46309436620275717,硬核啊
80,152.18100,滚动弹幕,25,0xffffff,0,5ddf5112,46309076878491655,牛，赞赞赞
81,341.79500,滚动弹幕,25,0xffffff,0,caad9549,46305090376040453,哈哈
82,238.35000,滚动弹幕,25,0xffffff,0,f2d2ee69,46304643487105031,火钳刘明
83,221.99300,滚动弹幕,25,0xa0ea,0,df9e8e43,46304542965891077,牛牛牛
84,177.61900,滚动弹幕,25,0xa0ea,0,df9e8e43,46304508981018629,哇哦
85,139.01200,滚动弹幕,25,0xffffff,0,f863bc30,46304014609416199,收藏夹，吃灰
86,5.70100,滚动弹幕,25,0xffffff,0,75c555d1,46303270115737603,前排出售生发剂
87,45.48100,滚动弹幕,25,0xffffff,0,cff66f56,46302247090388995,空降2：45
88,45.48000,滚动弹幕,25,0xffffff,0,756ded3a,46299873742946311, 哦
89,205.76400,滚动弹幕,25,0xffffff,0,be44b621,46297794379513859,电表倒流系列
90,165.19700,滚动弹幕,25,0xffffff,0,c26060c7,46293723810627591,空降成功
91,60.49800,滚动弹幕,25,0xe70012,0,f689cdb5,46292552116076549,空降02：45
92,281.23900,滚动弹幕,25,0xffffff,0,f3580c87,46287901173481479,恐怖如斯
93,218.94600,滚动弹幕,25,0xffffff,0,a2ac6987,46286885267439619,恐怖如斯
94,215.45400,滚动弹幕,25,0xffffff,0,75a0af7c,46285413124407301,666
95,21.82100,滚动弹幕,25,0xffffff,0,af44d305,46285375697584135,校友啊
96,166.90700,滚动弹幕,25,0xffffff,0,cc44e9c4,46284123252195335,肝帝
97,209.98100,滚动弹幕,25,0xffffff,0,d7b62ccf,46271011038953475,可怕
98,35.23700,滚动弹幕,25,0xffffff,0,9ed140d9,46263188336934919,想得美
99,387.55400,滚动弹幕,25,0xffaa02,0,35b8e095,46262644848459779,三连
100,18.79400,滚动弹幕,25,0xffffff,0,df74210b,46262598568509447,好家伙
101,256.76500,滚动弹幕,25,0xffffff,0,729b591c,46262447460843527,哈哈哈哈哈哈哈哈哈
102,204.38200,滚动弹幕,25,0xffffff,0,729b591c,46262420000210951,好家伙
103,60.92200,滚动弹幕,25,0xffffff,0,38317704,46261292847595525,三连
104,56.39600,滚动弹幕,25,0xffffff,0,c485044f,46258883956047879,好家伙
105,160.76600,滚动弹幕,25,0xffffff,0,f2647cbb,46258638686257159,芜湖
106,256.78900,滚动弹幕,25,0xffffff,0,e88e5e9c,46255731108741125,直接三连
107,239.81600,滚动弹幕,25,0xffffff,0,bdff247,46252853176041475,666
108,239.71500,滚动弹幕,25,0xffffff,0,97d7023,46249331695550469,666
109,65.03800,滚动弹幕,25,0xffffff,0,2cb84393,46249261393772549,666
110,160.52900,滚动弹幕,25,0xffffff,0,660dfda4,46247124005289989,技术宅拯救世界
111,84.17900,滚动弹幕,25,0xffffff,0,80c82998,46246867016089603,02:45
112,72.59600,滚动弹幕,25,0xffffff,0,a9957c6d,46246680066523139,空降
113,246.16300,滚动弹幕,25,0xffffff,0,f23cb4ae,46246291351535623,已三连
114,246.61500,滚动弹幕,25,0xffffff,0,1c0b6edc,46243050569072647,牛
115,238.93500,滚动弹幕,25,0xffffff,0,bf9bb4ae,46239522748366853,想给10个币
116,188.51000,滚动弹幕,25,0xffffff,0,802515d0,46227322088456197,1
117,4.35300,滚动弹幕,25,0xffffff,0,8278a133,46222770529894405,必火
118,292.85900,滚动弹幕,25,0xffffff,0,158b0094,46221639346552839,哈哈哈哈哈哈哈哈哈哈或
119,196.92000,滚动弹幕,25,0xffffff,0,8d3e6fe3,46220691710672899,666
120,39.26200,滚动弹幕,18,0xe70012,0,6f6857a1,46217479360348165,无空
121,288.34100,滚动弹幕,25,0xffffff,0,e980d73c,46216197928648711,1
122,244.37600,滚动弹幕,25,0xffffff,0,6a28cca4,46214520099569667,666
123,9.29100,滚动弹幕,25,0xffffff,0,dc5c4b64,46212767839420419,好家伙
124,7.59600,滚动弹幕,25,0xffffff,0,1b943574,46211398999474183,好家伙
125,342.75600,滚动弹幕,25,0xffffff,0,5f1192b2,46211370605608963,卧槽
126,253.32800,滚动弹幕,25,0xffffff,0,e994f894,46208932589862915,火钳刘明
127,269.25900,滚动弹幕,25,0xffffff,0,5400b951,46208080174120963,6
128,220.25900,滚动弹幕,25,0xffffff,0,64c89796,46202189370621957,史蒂夫 沃兹尼亚克 表示很赞
129,375.64800,滚动弹幕,25,0xffffff,0,62b1bb52,46202183503314951,强烈要求目睹真容
130,269.46100,滚动弹幕,25,0xffffff,0,62b1bb52,46202127843852295,技术宅路过
131,176.64300,滚动弹幕,25,0xffffff,0,62b1bb52,46202079171051523,软硬兼施
132,46.02900,滚动弹幕,25,0xffffff,0,62b1bb52,46202010803372035,优秀
133,231.10700,滚动弹幕,25,0xffffff,0,63d2b081,46199106545647621,信仰
134,31.80800,滚动弹幕,25,0xffffff,0,e75d6378,46195832474566661,嘤嘤嘤
135,360.98800,滚动弹幕,25,0xffffff,0,468702c9,46193762083799047,超纲工程师
136,140.41900,滚动弹幕,25,0xe70012,0,72ee2c3f,46189648281600005,整套数据处理装置
137,338.03700,滚动弹幕,25,0xffffff,0,fe02e28f,46179439788687365,比博燃
138,196.20700,滚动弹幕,25,0xffffff,0,832143c7,46178866664833029,哎
139,353.47000,滚动弹幕,25,0xffffff,0,7915b123,46177539442343941,巨佬
140,182.63900,滚动弹幕,25,0xffffff,0,635119e9,46172000105267203,好家伙
