,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,1.82900,滚动弹幕,25,0xffffff,0,e49d7cb,45361258328752135,剧情都不敢这么拍
2,16.51600,滚动弹幕,25,0xffffff,0,d26d5ebc,45357729506131975,卧槽
3,8.95400,滚动弹幕,25,0xffffff,0,eec71823,45344754456068099,仙术？
4,16.51200,滚动弹幕,25,0xffffff,0,3813e124,45340242591350789,不得了
5,16.51200,滚动弹幕,25,0xffffff,0,9ecf35ce,45339425072742407,动画片诚不欺我
6,0.81100,顶端弹幕,25,0x9843,0,3f0ff012,45315227032485893,泰 拉 悠 悠 球
7,2.15700,滚动弹幕,25,0xffffff,0,af5721dc,45314207761563655,这是人吗？神呀
8,3.67500,滚动弹幕,25,0xffffff,0,3dfc51be,45311822633893893,这么多动漫唯一这个最最真实
9,14.72500,滚动弹幕,25,0xffffff,0,a12b1bad,45310143533416455,？
10,0.41700,滚动弹幕,25,0xffffff,0,e2346b10,45301697506967559,小时候看动画片就觉得够扯了，长大了看电视更扯
11,9.90200,滚动弹幕,25,0xffffff,0,8ac82ac6,45291983593799683,李凭中国弹箜篌
12,2.40000,滚动弹幕,25,0xffffff,0,2e1f5151,45268985971212293,吓人啊
13,9.71000,滚动弹幕,25,0xffffff,0,e0ab20ba,45267879347617797,可恶为什么他买的是正版的
14,12.10100,滚动弹幕,25,0xffffff,0,69d2de40,45265763949871109,我的睡眠天下无敌
15,6.93800,滚动弹幕,25,0xffffff,0,5e0f6109,45215516140765187,动画片总是给人一种超越现实的感觉，直到看了火力才发现现实里的动画片都不敢拍
16,16.38100,滚动弹幕,25,0xffffff,0,20359ce,45202736253239301,抖空竹呢
17,13.70600,滚动弹幕,25,0xffffff,0,b62e74de,45176148709605379,以前看火力少年王想说这破电视剧特效真浮夸，直到我看到这比赛，草率了。保守了
18,8.14600,滚动弹幕,25,0xffffff,0,55177b2a,45173961557803011,火力少年王里面描写的大佬  估计还没出新手村
19,16.51200,滚动弹幕,25,0xffffff,0,bfec41d5,45173365327003651,套球溜溜的汉子，你…
20,8.63300,滚动弹幕,25,0xffffff,0,24b68181,45169414907625477,这个是人玩的？！
21,11.47400,滚动弹幕,25,0xffffff,0,482ce26,45141060014833667,呃
22,12.32000,滚动弹幕,25,0xffffff,0,ade5c052,45136835204087811,是真拍了保守版，真实版过分的要命
23,13.79400,滚动弹幕,25,0xffffff,0,ff5a1297,45123659324456965,卧槽
24,15.62900,滚动弹幕,25,0xffffff,0,35af1508,45093742559887365,？？？
25,0.00000,滚动弹幕,25,0xffffff,0,a1e5b90d,45038742165520391,啵啵啵啵啵啵啵啵哈哈hbhhbvvbbbbbvvvvvvvvvggvggg
26,1.02800,滚动弹幕,25,0xffffff,0,6755a779,45033358167638021,马老师
27,8.36600,滚动弹幕,25,0xffffff,0,a24e294,45026557821452291,小型空竹
28,16.54500,滚动弹幕,25,0xffffff,0,a24e294,45026553322536965,小型空竹
29,3.87000,滚动弹幕,25,0xffffff,0,ec8a898d,45024844679479301,高清？
30,8.93500,滚动弹幕,25,0xffffff,0,e58deaca,45000718493417477,闪电五连鞭
31,11.09400,滚动弹幕,25,0xffffff,0,5f4cff09,44991782442762245, 4a技术
32,14.61800,滚动弹幕,25,0xffffff,0,9a2d17ef,44985428671463429,这是??   哇??!!!
33,12.37600,滚动弹幕,25,0xffffff,0,6de3e249,44971322303840261,动画片还是拍的太含蓄啦
34,3.41300,滚动弹幕,25,0xffffff,0,80d180fd,44960962667085831,合着火力少年王就顶多算新手教程?
35,5.14300,滚动弹幕,25,0xffffff,0,bb8dc6aa,44949984825049093,闪电五连鞭
36,16.08000,滚动弹幕,25,0xffffff,0,9a4a1e53,44949795925131271,？
37,8.28300,滚动弹幕,25,0xffffff,0,25a93d9b,44946992926818311,火力少年王诚不欺我
38,13.67800,滚动弹幕,25,0xffffff,0,382a342e,44939771473035271,闪电鞭
39,5.60500,滚动弹幕,25,0xffffff,0,a805963b,44937367846912005,你说他球里面有灵体，我都信
40,10.96100,滚动弹幕,25,0xffffff,0,8f77aa98,44934688318423043,老番茄
41,0.35500,滚动弹幕,25,0xffffff,0,4c5144dc,44910476448497669,？
42,15.39400,滚动弹幕,25,0xffffff,0,319707e1,44908782260584455,？？？
43,5.67300,滚动弹幕,25,0xffffff,0,90d8a668,44898175700434947,为什么他背后不会发光
44,0.84500,滚动弹幕,25,0xffffff,0,decda2cb,44895065499238403,悠悠空竹？
45,14.62300,滚动弹幕,25,0xffffff,0,e9f728ff,44868263228211205,假的，念咒语了
46,10.68300,滚动弹幕,25,0xffffff,0,7b4a6a61,44864586033659907,松果痰抖闪电五连鞭
47,13.56900,滚动弹幕,25,0xffffff,0,fd1cffd,44863702992158723,这不行啊～都没金龙（doge）
48,5.89800,滚动弹幕,25,0xffffff,0,bcd22589,44863113902161927,火力少年王主要是真人的，演不出来
49,5.95800,滚动弹幕,25,0xffffff,0,f3094281,44861533999071237,TM一弦 超人
50,17.00000,滚动弹幕,25,0xffffff,0,8ad154aa,44859089201135619,我以为火力是从悠悠球玩家里选演员，没想到是让演员去学悠悠球
51,12.00900,滚动弹幕,25,0xffffff,0,c83e9524,44857409344634887,？
52,13.69300,滚动弹幕,25,0xffffff,0,90e1a937,44855947829968899,他的悠悠球是活的！！
53,6.32300,滚动弹幕,25,0xffffff,0,f3cbbf85,44853191304019975,4A这么玩也是牛B
54,8.20900,滚动弹幕,25,0xffffff,0,86da3ff3,44849647236677639,魔法？！！！
55,14.85500,滚动弹幕,25,0xffffff,0,86da3ff3,44849640837218307,魔法？！！！
56,15.06000,滚动弹幕,25,0xffffff,0,f860d2ca,44849156994891783,？？？
57,9.46500,滚动弹幕,25,0xffffff,0,a0e52331,44836355725852679,空竹？？？
58,4.82600,滚动弹幕,25,0xffffff,0,44d9fb9,44778888504016899,这手艺不去套马可惜了~
59,10.87500,滚动弹幕,25,0xffffff,0,7f54cc81,44768235361402887,仙术
60,0.00000,滚动弹幕,25,0xffffff,0,cfcb87ea,44728018327306243,抖空竹是两个手，连着杆接，这个可不一样
61,1.92700,滚动弹幕,25,0xffffff,0,c654fa02,44715211358208005,我怀疑你在使用魔法
62,16.43900,滚动弹幕,25,0xffffff,0,b0c3fd7a,44171307358617607,xiua
