,弹幕
1,知识掌握情况
2,640
3,620
4,中山大学
5,550
6,兰州大学
7,耐心吧
8,考640分以上
9,一模一样哈哈
10,北大考古系
11,其实是中考
12,600分以上
13,福州师范大学
14,给自己加油冲冲冲
15,635！
16,哈工大
17,国防科大
18,600
19,560
20,669分！
21,450
22,620
23,西南政法大学 
24,580以上
25,又要马儿跑还要马儿不吃草
26,650+
27,650
28,那必须北大啊
29,600
30,员额考试考第一
31,520
32,580
33,580
34,120
35,中考700＋
36,清北呜呜呜
37,厦门大学
38,600！
39,680
40,东北师范大学
41,高平一中也是
42,加油加油加油，杭师大，等我!!!
43,浙江音乐生550
44,中山大学
45,杭州师范大学 杭州师范大学 杭州师范大学
46,550
47,真的呜呜呜
48,北京大学
49,370
50,580
51,645
52,清华大学
53,中山大学
54,600
55,安大
56,中国传媒大学
57,500
58,629
59,700
60,我赞成，我现在都不追求写上去好看什么的，只要你做会，管他错题本美不美
61,济南大学
62,济南大学
63,济南大学
64,哈尔滨理工大学
65,480以上
66,华东政法大学
67,670
68,上海财经大学
69,550
70,560
71,650
72,666
73,630
74,北邮
75,努力和心态
76,650！
77,清华大学
78,电子科技大学
79,680谢谢
80,清华金融系
81,若乾坤已定，那么就扭转乾坤！！！
82,580
83,650
84,610
85,580
86,贵州大学
87,安大
88,510
89,666
90,运气
91,心态
92,清华大学
93,580
94,600
95,浙江城院
96,西南政法大学
97,好！！！！！
98,人生太短，要干的事太多，我要争分夺秒
99,坚持
100,640
101,兰州大学数学系
102,620
103,中山大学
104,中南财经
105,中国人民大学
106,550
107,420分以上
108,江南大学
109,心态
110,中山大学
111,550
112,600
113,615
114,湖北大学
115,上海大学
116,两个北大
117,爹
118,620
119,一模一样啊哈哈哈哈哈哈哈哈哈
120,武大
121,670
122,成都师范学院
123,清华美院研究生
124,550分！！！！
125,570
126,福建医科大学！！！
127,300
128,598
129,598！
130,598
131,哈佛
132,650
133,上海外国语大学
134,680！！！
135,清华
136,五百以上
137,560
138,580
139,580
140,天津师范大学
141,400！
142,650
143,500
144,555
145,心态  积累
146,550
147,四川大学
148,600
149,重庆大学重庆大学
150,520
151,老婆我爱你
152,750
153,北大
154,郑大
155,xintai
156,500
157,600
158,南京大学
159,550就OK！！
160,630
161,同济大学
162,我。。。。
163,550
164,600
165,500
166,750以上quq中考满分830
167,集美大学
168,628
169,北京邮电
170,北大
171,上海海事大学
172,610理科
173,西南大学！！！
174,450
175,530
176,550
177,顺利上岸！
178,西安外国语大学考研上岸！
179,600
180,576
181,600！以上
182,湖南师范大学
183,中国人民大学
184,600
185,华南理工冲啊
186,620
187,心态
188,500+！！！！
189,苏州大学
190,620
191,不不不，你可能会考的更少
192,安师大
193,武汉大学
194,自信
195,570
196,心态！
197,对对对
198,480
199,汶上一中
200,560
201,谢谢姐姐！！
202,花里胡哨
203,600
204,400
205,500
206,580
207,600
208,师范
209,师范
210,730
211,500！
212,320
213,635
214,四川大学
215,390
216,拼刺刀
217,610
218,西北大学
219,630
220,中南工大
221,480
222,645
223,688
224,北师大
225,570
226,我懂了！我最棒！
227,澳门科技大学
228,480
229,480
230,480
231,重庆工商大学
232,560
233,590
234,华南理工等我！
235,美术生600+!
236,600+
237,550
238,600
239,687
240,625
241,夏门大学
242,630
243,666分。
244,广州大学
245,600
246,420
247,中国人民大学
248,我就不把考试当回事
249,660
250,不多不少550-580谢谢老杨哈哈哈
251,川大医学部
252,四川大学医学院
253,广东外语外贸大学啊啊啊
254,460
255,上海交大
256,南大
257,600
258,620
259,640
260,610
261,650
262,中考更重要
263,浙大
264,480！！！加油，加油（沾沾欧气）
265,新高考620
266,588
267,680
268,上海交通医学院
269,620
270,600以上！！！！
271,中国人民大学
272,深圳大学
273,389
