,弹幕
1,笑了笑了
2,因为懒，方便连读
3,幺两三四五六拐八勾洞
4,连读吗
5,屁
6,煞笔
7,因为效率，所以老师告诉你记住就行了
8,那5555呢
9,有幺吗？
10,七为什么不说拐
11,！！！我悟了
12,我不信不需要记
13,傻狗
14,44444请你读
15,洞拐栋
16,2个呀
17,一三幺一幺一幺三
18,yao比yi发音清晰，不容易听错
19,我们老师一直说是约定俗成（数学的一些量）
20,妖妖灵
21,张嘴就胡说，你一个学经济的，现在来教语言，才是对效率的最大浪费
22,扯，那为什么4没有别的发音。
23,hour的h不发音
24,刨根问底
25,那2呢？有没有更高效读法代替？
26,但是人们报电话号码也会习惯跟记录的人说明白有多少的1的呀
27,不会的，因为我卡里没有1w1
28,幺幺四五幺四
29,两千两百两十两
30,本来就是习惯，我有个朋友就读1，这有啥好说的
31,更容易接后面单词的开头发音
32,薛之谦
33,当我学习的时候，我奇怪为什么这样用，当我教别人时，很明显发现，这样用更合理，更高效
34,显然是效率，这很好理解
35,快说原因啊
36,废话真多
37,你有教师资格证吗？
38,因为老子乐意呀！
39,是哈哈哈哈
40,哟西
41,你问这种东西就降低效率
42,有的东西就是约定俗成
43,老资本家了
44,离开B站吧。面目可憎
45,做视频，这嘴巴真不容易
46,通信原理学得好啊
47,两万二
48,J
49,因为这是启蒙教育时学到的
50,不对啊 是空号 你骗我
51,好厉害
52,师傅别念了
53,老师英语发音好听
54,这算西化的教育方式
55,我会
56,前面的，老子是其实是被逼的
57,去腰万
58,鹤老师，抱一个
59,大学会教
60,高中老师会教
61,那5呢
62,幺是序号，一是数量
63,大师，我悟了我悟了
64,负能量充值成功
65,因为老师也不知道
66,哈哈
67,扯淡，中学考政治，每一个点都死记硬背。
68,好的教育不用记？我以前英语很好，老师不行，基本算半自学，
69,快说吧，墨迹死了
70,玩音乐的人把这种叫做音头
71,老师不跟俺们说啊
72,学习并非研究！如果任何知识都要钻牛角尖那么几乎每个细节都可以写篇论文出来
73,B站戾气太重了吧，不认同退出去就行了，就好像被踩了尾巴一样乱叫起来。。。
74,取五个亿
75,怎么老给我推这个傻缺
76,???
77,yao.ao.ao.ao.
78,我妈手机号就是15111，三个1
79,好像还有一个是1和7会听混
80,a
81,依妖！南宁人DNA动了
82,洞洞拐
83,老师：明天叫你家长来
84,这不对吧，那5怎么解释？5也是开口音
85,然而除了普通话，几乎都是读入声，短促有力
86,拐爸宫灯
87,没错！要告诉为什么
88,墨迹
89,方便发音 方便使用
90,老师：我昨知道，记就完了
91,表示数学数字的读一，表示文本字符的时候读妖
92,就像7说拐
93,因为爱情
94,hour 中的h不发音，o发元音…
95,我的我的电话是1311116
96,老师也不知道
97,bb了三分之一时间了还没进正题
98,你知道老子为什么写道德经吗？
99,老师让我们别管那么多，唉
100,這就不學了
101,語文要背
102,我读万
103,跟人学的
104,洞拐
105,然而大部分人答不上来
106,显然
107,电话中。一比吆。不容易听。
108,主要是读的比较爽
109,因为我乐意   哈哈哈  滑稽
110,幺鸡二条不打要遭
111,Evh的发音第一个是a是元音音素所以说用完
112,我也这样问过，然后别人说你是杠精
113,因为老师不教，直接说习惯用法
114,德语？
115,洞拐
116,汉语是高语境语言
117,为什么不读鸭呢
118,腰万腰？？？
119,我喜欢杜拐
120,我一直以为妖是我那边的方言
121,连不起来的，你生活中没遇到过吗，对方说yi你不知道说了几个yi，说yao读再快你回过头去想都是记得的
122,粤语就没这个烦恼
123,那0.111呢
124,薛之谦
125,黄字正解，就是一和七容易混淆（尤其是有杂音时）这和up满口蠢话自以为是
126,闭口？a是开口音i是闭口元音（半元音）好吗？书都不读就来骗人了？
127,笑死我了这个貉老尸
128,愚昧无知，哗众取宠，不懂装懂
129,a和才是真正的开口音，类比西班牙语强元音弱元音
130,太恶心了这up主不仅工贼而且还完全不懂专业知识来骗人，i是闭口元音好吗
131,老师说你滚出去
132,我们老师说乌龟的屁股，规定
133,问问题也不会告诉我
134,shishi万shi千shi
135,嘤嘤嘤
136,你知道老子为什么写《道德经》吗？因为老子愿意
137,一读的像七
138,两块 两十 两百 两千 两万 两十万​
139,粤语：ya
140,4是よん，7是なな，9是きゅう。哪里一样了。
141,中国式教育，省事
142,日语4.7.9一样
143,zei才是
144,取11111银行柜员觉得你有找茬的嫌疑嘻嘻
145,为什么7不读拐
146,直接说吧绕来绕去
147,好好理解下为啥人取决于环境。别咬文嚼字了。
148,hour 开头字母不发音啊
149,幺可以让人听得更清楚，说1你就算再用力声音也很小
150,额，不太
151,那也得有途径知道啊
152,Z才是啊
153,老师只会说你是个爱较真的死脑筋
154,无聊
155,因为电话的数字是不关联数字，金额、年份则不是
156,容易和7混淆
157,an hour 要连读，你这口语我觉得怪怪的
158,没用的冷知识
159,下次把手露出来更好一点，更会让人信服，一个心理学的暗示
160,小时候问了，老师说不为什么
161,哇
162,腰马合一
163,。。。。
164,废话
165,番号
166,。。。
167,都学好le，还看你的小视频么
168,顺口吧
169,因为读着顺嘴
170,然后呢…
171,数码读音
172,大爷您电话号多少，yaoyaoyao    ，，，qi。。  qi。  wu
173,应该是音调吧
174,洞拐洞拐洞洞拐
175,那五为什么只读五
176,hour是our的读音，元音音素开头
177,任何知识都有需要记忆的部分——五笔输入法创造人语
178,然并卵
179,但是没人会回答
180,编码的历史
181,hour不是元音字母开头，但它是元音音素，所以用an。
182,因为在语言学中 辅音是用来区分元音的 一是元音 而幺有辅音y 同样an apple 如果变成a apple就会变成无辅音区分了
183,←hour是辅音开头，但不是辅音因素
184,所以为啥
185,先迈右脚还是先迈左脚都不行呗
186,这个逻辑比较清晰虽然你说的有点道理
187,累了，没有求知欲了
188,hour不是辅音开头
189,老师说记住就好不让问
190,有道理啊
191,腰的耗能更多
192,Z才似
193,7呢
194,对
195,前面冗余度的是学了信息论吧
196,四呢？
197,通过增加冗余度降低信噪比
198,就钓鱼
199,毛线
200,文科谈理性?
201,？啊
202,因为我乐意
203,幺幺零
204,"表量时读yi,表数字时读yao"
205,13113
206,岳旸
207,幺两洞拐嘛。
208,我就用腹部发音 
209,我不是这样说的
210,听得懂不就行了，你也可以读yi
211,1+1为什么等于2
212,你讲撒
213,那五呢？
214,不管怎么读，都得有个读音吧
215,广东说宁可一万也不要万一
216,固定搭配
217,知识多了，有些只能背
218,顺口
219,英语呢
220,是这样的
221,不好好讲经济，开始讲英语
222,我取一亿呢？
223,腰比较累
224,什么答案？
225,生搬硬套还是举一反三
226,知其然，而知其所以然
227,5555？
228,美国南波湾
229,消毒水能消灭新冠
230,美国南波湾
231,也会连起来
232,4呢
233,一只猪肉网红
234,？？？？
235,我学英语只是为了更好的学习知识，英语在我眼里只是工具
236,咔咔咔
237,那为什么有万有引力呢？
238,天天讲废话
239,必须点赞
240,牛逼牛逼
241,1+1
242,说了等于没说
243,哗众取宠，完全不需要记忆，呵呵
244,还有一种说法是，因为早期通讯对讲设备音质差，一和七听起来容易混
245,zei才是
246,Z才是
247,五呢
248,这个人有毛病
249,那二呢，也是开口音，为什么不读成两？
250,还有个7
251,我就是读1.三四个数字停顿一下
252,有道理呀
253,哈哈这个角度没想到，本来以为是避免和7混淆
254,强
255,牛逼
256,1+1为什么等于2
257,来了来了
258,老师我英语就蒙选择考总分30分，但我还是选择认真看完了
259,说得好……很多人做不到
260,确实
261,阿尔法 贝塔伽马
262,幺 两 洞 拐
263,洞拐洞拐
264,这也没有闭合啊
