,弹幕
1,zzz（DNA动了）
2,我tm直接关注
3,经典题
4,啊这
5,？？？？？
6,说话时候的电流声有点大
7,经典例题
8,单推了
9,老经典了
10,这种题一般就用合成法或正交分解法
11,这个很基础的啦
12,可以用极限
13,对
14,倒个三角不就好了
15,厉害
16,vup教物理？
17,老熟题了
18,讲的很清楚阿
19,wtf？？
20,？？？？
21,大师，我悟了
22,举报了（doge）
23,f2cos角=f1
24,？？？
25,《平行四边形》
26,晾衣架问题
27,？？？
28,作为一名物理教师，我陷入了沉思
29,我裂开了
30,有意思有意思
31,啊这
32,啊我睡了
33,？？？？？？？？
34,？
35,？？？？？？？
36,？
37,牛逼???!
38,??????
39,？
40,不要一直用极限啊什么的做题，还是学好基本方法
41,？？？？
42,？？？？
43,？？？？？
44,好家伙，来精神了
45,????????
46,？
47,提前害怕
48,妈妈，我爱学习
49,我得提前预习高三内容了
50,图解法还有别的种类哦
51,亲 我记得 图解法分四类哦 相似三角形法是其中之一
52,nb
53,AD
54,？？？？？
55,压lie
56,都在认真听课？
57,我看成腿环了
58,这不比上课有意思
59,不愧是b站
60,？草
61,应该是支持力（弹力）N
62,？？
63,A
64,我艹
65,我一文科生点进来干啥
66,这也太厉害了
67,我在B站学物理
68,我艹
69,？？？
70,啊这
71,直接画个十字
72,惊了，讲的还挺正式
73,我会了
74,好家伙
75,好耶
76,矢量三角形
77,三角形不更香？
78,现在初三，九月份见
79,都在学习
80,？？？？？
81,我一个初中生你给我整个高中的
82,牛逼
83,还有-1379天就高考了，赶紧复习
84,我高中的时候要有这，
85,？？？
86,历史孩子傻了
87,WC
88,我最喜欢老师了（奸笑）
89,哈娜酱！没人知道吗
90,哈娜酱！没人知道吗
91,？
92,？？？
93,妙啊
94,草
95,好家伙，早看见我物理也不至于那么烂
96,我都毕业了？？？？
97,?
98,你说你要是在学校里有这老师还他妈不去学校
99,我都毕业好多年了我进来干嘛⊙∀⊙？
100,虚拟学习区
101,太硬核了
102,面部识别不是很好 啊
103,如果我物理老师这样我也不至于19分
104,没有废话，好棒
105,好家伙没人了吗
106,啊这
107,VTB讲课！i了i了
108,可爱
109,A吧(现学现用)
110,妙啊
111,高一一个力把我整的要死
112,不是，这能学进去？
113,睡觉时间到辣
114,阿巴阿巴
115,妙啊
116,三角形法则 平行四边形法则
117,？我一个学史政还毕业了的老人为什么要点进来？
118,？？？？
119,有内味了
120,？？？？
121,情 景 再 现
122,草
123,刚刚才做过这道题
124,。。？
125,我是来学习的
126,高一的表示听的也津津有味
127,没事儿，刷那么长视频正好来学习
128,？？？？
129,听美女讲课
130,妙啊
131,天呐
132,好家伙
133,这种题，精准作图就成功了一半9
134,吓得我手机都掉了
135,????????
136,效果很好，已经睡着了
137,？？？
138,这。。。未曾设想的道路
139,？？？？
140,？
141,好家伙，初见，单推，结婚！
142,？
143,好硬核，关注了
144,woc
145,初三的我看不太懂
146,高一物理
147,欢迎来到我在B站学物理
148,？？
149,初三物理听的一脸懵逼
150,dd了
151,哈？
