,弹幕
1,牛逼
2,听到了am和fly
3,你放中文我都不一定听清楚
4,毛啥来着？
5,爱喵
6,办公室！
7,啊
8,a
9,？？？？？我不行
10,别凡了别凡了
11,听懂了 走了
12,封面是泰勒斯威夫特？？你可笑死我了
13,弹幕人均8级
14,啊这……高三英语听力……
15,法国人吞音
16,弹幕666
17,只听到了Flyers and posters，其中Flyers没听懂...
18,封面是谁啊
19,"没那么复杂，听得多自然就习惯了，哪怕你是英语渣(﹁""﹁)"
20,同声传译+8.5分以上
21,连读太多了哈
22,土生土长米国人无压力
23,老师的声音真好听
24,老师的声音很好听
25,是节奏的问题
26,啊喵
27,我也是看封面进来的
28,学会了
29,整笑了  觉得有必要在别人不知道的状况下装这个闲B吗   RZ
30,无压力
31,弹幕均人上人高考英语150，大一过专8
32,xswl来看看我的墙头们
33,？。。。
34,真羡慕你们能听明白的。。
35,听的懂就行了，读那么好听干嘛
36,呵呵
37,无压力 完全没听懂
38,何止8级，弹幕人均同声传译
39,完全没问题
40,jim！
41,感觉无压力
42,这个语速已经够慢了
43,我是看封面进来的啊
44,是我不懂了
45,就是说我在外头派传单广告。没问题
46,原来这么简单。
47,唉，不行，那不侮辱弹幕呢嘛，弹幕人均常青藤长老!
48,别价，弹幕人均哈佛
49,我去，弹幕雅思托福个个六级，好羡慕哟
50,没有语境，光一句正常人都还没反应过来就说完了
51,被封面的泰勒斯威夫特骗进来的
52,突然就上课了
53,主演是Flyers posters没明白意思
54,我听了个寂寞
55,有没有英音教学呢？
56,弹幕人均8级哈哈哈
57,？
58,我只听到and
59,？？？？？？？
60,呱呱呱呱呱？呱呱！
61,高考没考听力
62,Jim!
63,听还行，读就跟不上了
64,最烦教爆破 掠夺这种
65,完全无压力
66,害挺简单
67,？？？？
68,？
69,没啥难度
70,布里？
71,比高考听力最后一篇慢多了
72,？
73,"连读吞音太厉害了,我第一遍只听出了poster"
74,有意思
75,还是没听懂我完了
76,？
77,算了吧，中文节目没有字幕我有时候都听不清
78,留学90年无压力
79,主要是单词不认识，语速其实还好
80,话都不会说，爹妈白生了？
81,不是发音问题，单词我不大会啊
82,就只听懂了一个what和poster
83,wo'w
84,flyers and posters?
85,憋尬黑嗷，弹幕人均留学生
86,只能听懂posters
87,Key word is flyers and posters
88,无字幕大概猜对80%
89,托福90都可以听懂，别说你100+
90,外国人说话那么快干啥
91,莫得问题
92,woc我听成了hoster
93,完全没有问题233
94,wtf
95,完全听不懂
96,无字幕全懂了，我好厉害（并不）
97,???
98,？？？？
99,B站无所不有
100,what喉塞音
101,建议结尾那里可以稍微停顿一下下，结尾那里刚准备暂停跟读一下，发现就结束了 
102,我听成hang out了
103,阿喵
104,留学生无压力
105,封面女郎？
106,放弃了
107,这电影都能翻出来
108,很好懂啊
109,弹幕人均6级嗷
110,好棒棒
111,听不懂
112,如释重负
113,这跟封面有什么关系？我要看美女！
114,减
115,太长了 还是国语简便
116,问题是我已经听明白了啊
117,不知道有些弹幕在优越什么…不看划走不行吗
118,就听到flyers posters
119,？？
120,some posters
121,flyers不认识，其他能听懂
122,太棒了
123,听单词练习，透
124,out flyer poster
125,poster
126,不是留学生的我也毫无压力
127,美剧八年观片者表示无压力
128,不用这么没自信，老美听中文语速也会让他们抓狂，说死他们！
129,连句话都不好好说，唉，以后我遇到英语好的我就全给他整轻音
130,就这？
131,就听懂了发传单和海报
132,这有什么难的？
133,？
134,全能听懂
135,这还好啊。。。。留学生表示无压力
136,笑死了我第一遍就听懂一个poster
137,留学第7年无压力
138,其实连读并不重要，单词你够熟，多听听就习惯了
139,？？？？？
140,跳过英译中，不就能听懂了
141,主要两句之间断句有点短
142,啊？～
143,我听不出来……
144,完全OK
145,唉喵唉喵     呜呜呜我不会读
146,被迫学习原来真的存在
147,全部哈哈，意思是：你覺得我在幹啥？站在外面遞傳單和海報？
148,似乎有fly?
149,jim！
150,我是来看封面的
151,完全没问题
152,？
153,我根本就不会英语我为什么要点进来呢
154,handing里面的d不发音了。
155,我就听到一个posters
156,其实很多人只是不会连读 但误以为自己词汇量不行之类的
157,我觉得不快啊
158,英专生狂喜
159,留学生没问题
160,突然想起来我是因为封面的美女点进来的
161,听懂了
162,应许之地
163,啊，第一句话其实语法不对，口语用的
164,我在b站学英语
165,我觉得很好听
166,能听懂啊还能加个倍速
167,这才是 以后能和 老外交流的  真正英语
168,我不认识flyer，而且反应不过来意思
169,…………真有优越感这么强的人 ?轮得到宁打击 ?
170,我在外面做什么呢？发传单或者广告吗
171,这个音质有点。。
172,美国人的英语还是容易懂。那些非英语国家的英语才难懂，口音重得一逼
173,啊啊啊
174,祝你挑战成功吧
175,哈哈哈哈哈没啥打击的呀
176,我们的听力（考试）紧追这个速度。
177,练口语真的很重要！会说就会听了，我着重练了半年左右现在听基本可以接收到说话的人要传达的信息
178,托福115前来挑战
179,无压力
180,??????
181,jim？
182,投币了
183,？我来看封面女郎的
184,·
185,点进来我没想到是个学习视频。淦，有种被迫学了一节课的感觉。
186,难怪我听力听不懂，各种省略连读
187,不需要听懂随便他怎么bb
188,还好经过苏格兰人的严格训练
189,马特
190,别说了，我看马特达蒙都没听懂
191,怎么加入
192,where is dwight
193,jim！
194,马特达蒙什么电影
