,弹幕
1,哦莫尼～哦莫尼～(仁俊语气)
2,哎一古（鹅王语气
3,↓孔苏！！！
4,林在范那个笑死我
5,我是jennie的油炸亲故
6,这太长了！
7,哈哈 噢莫是听到最多的，眼睛睁大 嘴巴也是圆形
8,稀DO！
9,狗骂我？？
10,是是是
11,哈哈哈哈哈哈哈哈哈像煎蛋一样简单笑死我啦
12, 哈哈哈哈我也想到大猩猩
13,two兒
14,skz团妻来了！！
15,这个안녕  只适合和关系亲密合同辈分或者低辈分的人说，不适合所有人。
16,哈哈哈哈哈
17,哟罗本
18,是吗宋雨琦是你吗？？！！！
19,是你吗赵美延
20,@叶舒华
21,@赵美延
22,ne
23,亲♂亲
24,啊～啊～啊～泰泰对果果说的【心空】！！！！
25,酱油瓶h
26,会背汉字词那一套数字但这一套只会背一二三
27,徐文祖我爱你
28,하나
29,有什么奇怪的词混进来了，哈哈哈
30,这几句我仿佛听见了雨琦迪迪
31,莫叽莫叽？
32,哈哈哈哈哈哈哈奶味蓝现身了
33,根本不像
34,不像宋雨琦好吗，这个姐姐声音一点都不粗
35,我的笑狗很渴矮~
36,朴心空
37,哎一古？ 有iu的画面了
38,金米妮小颗粒女士   xswl
39,(G)I-DLE女娃哈哈哈哈哈哈哈
40,奶味蓝哈哈哈哈哈哈哈  neverland
41,哈哈哈哈哈哈哈哈哈哈哈哈哈
42,high five 哈几码⥣
43,金钟云女朋友来了
44,哈哈哈哈哈哈哈哈女神降临
45,欺仁太甚你们
46,不是啊你哟吗
47,中文像吃饭一样煎蛋
48,中文像吃饭一样煎蛋
49,阿尼哦阿尼哦阿尼哦~
50,여덟 
51,일곱 
52,싫어 
53,웃지마 
54,됐어 
55,댔어 
56,머라고 
57,叶波哒~
58,起趴是汉字词啦 这是固有词
59,请回答1988差不多都有
60,阿拉索！ok！！
61,林在范：哈吉嘛哈吉嘛啦du！
62,林在范段宜恩王嘉尔朴珍荣bam bam金有谦喊你呢
63,林在范段宜恩王嘉尔朴珍荣bam bam金有谦喊你呢
64,救命满脑子女神降临wuli优优
65,"灿烈 ，YEOL,电脑打不了韩文"
66,哈哈哈哈哈哈哈哈
67,哦莫尼！哦莫尼！
68,中文像吃饭一样煎蛋！
69,蹲一个蓝人的naga
70,前面的那个金厉旭你笑死我了哈哈哈哈哈哈哈哈哈哈
71,蓝人果然无处不在
72,移动嗨：阿尼哦
73,hive five 哈吉嘛
74,韩国人都是波浪精吧~~~
75,吴世勋女友在此
76,主君的太阳！！
77,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
78,郑号锡老婆来了
79,小芙的姐妹！
80,牛安~
81,西吧
82,西八西八西八西八西八西八西八西八西八西八
83,全都会啊 看了好几年韩剧
84,林在范：哈吉嘛！哈吉嘛啦古！！
85,ㅇㅎㅇ德善
86,哎一古
87,哈哈哈哈哈哈哈哈哈哈奶味儿蓝很充明那个别走
88,茶几呀~
89,诶
90,阿布叽 哦吗
91,怀挺～
92,哎一古金社长！哎一古成社长！
93,阿拉搜
94,无为
95,是我是我哈哈哈哈哈哈
96,祈祷nia
97,哈哈哈哈哈1988里最先学会的一句
98,恶之花学会的
99,哈哈哈哈哈65
100,哈哈哈哈哈哈哈绑架
101,前面的牛安等等我
102,女神降临都听过
103,자기아 
104,能听懂一半
105,我竟然都听得懂
106,李泰民阿冷打我哈哈哈哈哈哈哈哈哈我靠
107,声音真的好像雨琦
108,左声道？
109,哎
110,哈哈哈哈哈嗝，笑死了
111,我是看了某边的鬼屋学会的切拜
112,南加亲故罗渽民 油加亲故黄仁俊
113,鸭肝
114,对不起哈哈哈哈哈哈哈哈哈想起了四姐的饮酒歌
115,哈哈哈哈哈哈前面看四姐的别走，我现在说话也成了ic哈哈哈哈哈哈
116,哪都有安德女孩
117,Do 油价亲故
118,内
119,沙琪玛
120,边伯贤女朋友是我
121,....钠以理解
122,女神降临加一
123,哈哈哈哈哈哈哈奶味蓝很聪明
124,怀挺嘿呀怼
125,how you like that
126,女神降临+1哈哈哈
127,哦莫！
128,这个我熟
129,恭喜
130,我想知道fighting嘿呀怼怎么拼
131,好像德善的声音
132,怎么这么多蓝家哈哈哈哈哈哈
133,奶味蓝很聪明～
134,去我收藏夹里吃灰去吧。
135,哈哈哈哈哈哈哈哈哈楼下
136,竟然没有哟罗本
137,渠古类？
138,学会了
139,哈哈哈哈我也满脑子德善
140,徐文祖来也!
141,马达加斯加
142,金社长！！！
143,德善
144,亲故
145,迷路哈哈哈哈哈哈莫名联想hhj撒娇
146,乌鸡吗！嘟！
147,诶
148,女神降临
149,kys：sk
150,丁輝人女朋友是我了
151,哦jio拉古咋没有哈哈哈哈
152,哦莫耶吧啦
153,沙ji ma【好吃的】
154,耶？？怎么教学了开始哈哈哈
155,啊伯叽！怯
156,DNA动了哈哈哈哈哈哈
157,哈哈哈哈哈蓝人存在感也太强了
158,high five哈吉嘛嘎嘎嘎哈哈哈哈哈哈哈
159,幺儿
160,卡机嘛！
161,哈哈哈哈蓝人无处不在
162,我的笑狗很渴矮！
163,我天天米亚内hhhhh
164,@金廷祐
165,看多了四姐的视频口头禅就变成IC了哈哈哈
166,哦莫～
167,闵玧其：哈几嘛！哈几嘛
168,完全一致
169,EXO老婆！
170,exo夫人来了
171,我不是eigi你也不是
172,金泰亨是我的
173,预测下一个是乌鸡嘛别哭了
174,我在
175,赵美延男朋友在此!!
176,金jisoo：牛安~
177,金jisoo:牛安~
178,金jisoo:牛安~
179,哇～忒八
180,安扭
181,Lisa是我女朋友
182,我去我竟然全都知道
183,我擦我什么时候已经把这些全学会了?!
184,我只会西吧
185,哈哈哈哈哈哈
186,切拜是拜托吧
187,我只知道YeBa
188,can you speak Chinese
189,狐狸待机室被雨琦打：哦妈妈
190,奶味蓝DNA动了
191,哈哈哈哈哈哈哈闵玧其
192,奶味蓝来了
193,有两种读法
194,莫叽
195,我和我朋友每天这样
196,对 没错
197,wo'cai'shi我才是李赫宰老婆！
198,赫宰语气～9周年视频聊天都背下来了
199,小芬女士～
200,难道这是视频是推到蓝家姐妹的主页嘛哈哈哈
201,sj：naga
202,李赫宰的老婆是我！
203,？原来都是安德姐妹吗这里
204,徐文祖来了
205,你的徐文祖突然出现
206,1988
207,西八
208,1988哈哈哈哈哈哈哈哈
209,78难道不是起趴吗……
210,哦多尅
211,蔡亨源女朋友来了
212,哪里都是蓝人
213,哈哈哈哈哈哈
214,我天这个哔嘴太想雨琦了吧！
215,小颗粒！！！
216,奶味蓝的DNA开始转基因了
217,宋雨琦是你嘛宋雨琦
218,还有我经常会说切拜！切拜~
219,牛安
220,Dna动了
221,徐文祖！
222,哦莫耶巴拉
223,内太常用了，而且还是敬语
224,一看见西漏就想起拿渡西漏
225,边伯贤女朋友
226,成德善时间～
227,罗美兰！！！
228,黄仁俊女朋友来了
229,阿一古阿一古阿一古阿一古阿一古阿一古
230,蓝人无处不在哈哈哈
231,闵玧其：哈吉嘛
232,哎一古
233,哈哈哈想到小芙的我们是姐妹
234,奶味蓝来了~
235,欺仁太甚
236,西吧老马笑死我了哈哈哈哈哈哈哈哈哈哈哈
237,田柾国老婆来了
238,黄铉辰女朋友来了
239,恭喜恭喜，公公吸吸
240,诶
241,啊歪~~~
242,宠幸灿烈！（打起精神）
243,还有shake it啊
244,金珉锡老婆在此！
245,大发不应该是拜托吗
246,只会玛喜达
247,徐文祖
248,李栋旭老婆在此
249,边伯贤老婆在这里
250,high five 哈吉嘛和我站住哈哈哈哈
251,头顶蓝家妹子等我
252,满脑子女神降临哈哈哈哈
253,这不是平语吗
254,权志龙老婆在此
255,内
256,这里发音简直太像了！
257,金Minnie
258,哎
259,阿加西  
260,黄仁俊哈哈哈哈
261,李赫宰我的
262,呀前面丁辉人的给我放下
263,中文像吃饭一样煎蛋！
264,东西南北中，好酒在山东
265,空nim~~~
266,啊普及马油
267,撒乌鸡嘛
268,哎一古，金社长
269,국 本来就是国的意思哦
270,珍：中国阿米，漂亮
271,一给闹木戳娃。。对不起走错了
272,曹承衍是李汶翰的妹妹啊哈哈哈哈
273,宋麦！
274,有ic！！
275,好家伙&我来啦
276,啵啵啵亲故
277,我是田柾国的油炸亲故
278,SUHO yeo deolp哈哈哈哈哈平底锅
279,文星伊是我的男家亲故
280,我DNA动了
281,金韩彬老婆在此
282,黄铉辰女友在这！！！
283,闵玧其：哈吉嘛
284,闵玧其
285,闵玧其
286,一直以为这是英语fightinf
287,米亚内米亚内哈几码
288,박찬열的妹子不要走啊哈哈哈哈哈
289,亲故
290,经典收藏比赞多
291,高丽葬的别跑
292,中文像吃饭一样煎蛋！
293,空儿小公主
294,high five 哈几码！
295,安德们好哈哈哈哈哈哈哈哈
296,大发
297,卡机嘛拉古
298,是有点像雨琦也
299,是有点多
300,吴世勋是我的！
301,朴彩英男朋友在此
302,宠幸灿烈！
303,边伯贤女朋友来了
304,徐文祖露头ing
305,MINO！！
306,你的小可爱徐文祖露出了头
307,BTS团妻来了
308,哦妈呀
309,成宝拉
310,奶味蓝DNA动了
311,牛安
312,中文像吃饭一样煎蛋！
313,jungkook+1哈哈哈哈
314,徐文祖的那个别走哈哈哈哈哈
315,ko和go都是对的
316,徐文祖！！！
317,奶味蓝DNA动了！！
318,别吃别吃
319,你也不是aigi 我也不是aiei
320,“我不是eigi你也不是eigi ，雨琦是omleng吗？”
321,＃黄仁俊  高丽葬
322,问你滴呀？
323,blink探头
324,殴斗给殴斗给
325,金泰亨女朋友在这里啊啊啊啊
326,金泰亨女朋友在这里！！！
327,不是阿拉so吗
328,内
329,金泰亨正版女友在此
330,我的左耳
331,哈哈哈哈哈哈哈哈哈
332,莫拉古？
333,徐文祖的DNA动力
334,罗渽民女朋友在这
335,前面女神那个等等我
336,e shak it
337,西巴老妈
338,奶味蓝来了！！
339,奶味蓝来了！！
340,丫蛋儿
341,阿德
342,李泰民
343,为什么要把女神降临的台词扣下来?
344,鲁敏宇我男朋友
345,安德DNA动了
346,前面的，“20岁是eigi！”
347,牛安
348,面姐
349,asahi叫你呢
350,我不读哎呀，我只会giao!
351,哟波 老婆老公都可以
352,哈哈哈哈哈哈哈哈哈
353,奶味蓝DNA动了
354,划粉！
355,韩剧看多了我的口头禅是 阿西吧
356,又搞我小老仁
357,哦哦哦哦莫尼～
358,英文他不香吗哈哈哈哈
359,yibo
360,dei
361,哦莫
362,我天天在宿舍说哈哈哈
363,是真的哈哈哈哈
364,问你哩呀。
365,本本的安妮哟
366,沙琪玛？？？？？？
367,孔灿英~
368,看见心动 想到南柱赫 心空诶so？
369,哦莫
370,欧尼⬆️欧尼新加忒八
371,黄仁俊是我的ya bod
372,忒叭
373,拿能金泰亨的油炸亲故
374,我喜欢说大发
375,好像雨琦
376,牛安
377,我右耳聋了？
378,阿泽最爱说阿拉搜
379,油东sei
380,一叫金有谦在我旁边问干嘛
381,经常听 但是单身狗不配说这些
382,가시마
383,남자친구
384,안녕
385,고마워 
386,泰泰뽀뽀
387,果然是粘着语
388,bts女朋友
389,up声音像雨琪啊
390,田柾国老婆在这里！
391,卡机嘛！
392,鸭蛋儿
393,我怀疑你看的是女神降临
