,弹幕
1,这两个我只认识左边的可可英语，右边是啥，谁来回答？
2,这就下载，然后到手机坏的那一天都忘记打开它（狗头保命）
3,好漂亮
4,欧路翻词典学词 受益匪浅
5,最好的app就是fb ins 找个国外老公
6,西梅！！！！！
7,我就是靠这个过的六级！
8,我也在用这个！
9,我以为不用背...
10,这个也有用！
11,超好用！
12,这个真的超好用！
13,强推默默
14,好想上车学习
15,欧路词典真的绝
16,不背真的好用！！！
17,可可英语我北外老师有推荐过 上课给我们放过 我觉得可以
18,这个超好用
19,为可可英语打call！
20,博主是福建人吗？跟我厦门同学感觉好像
21,我也觉得不背单词最好
22,同感
23,我也用这个
24,好家伙，说的这三个我都用过
25,你好白
26,冲你这个推荐，关注了
27,我个人觉得墨墨比不背好用，尤其里面的助记，网友的智慧啊
28,不背了 不背了
29,每日听力每个语种都有都很可
30,老婆
31,一样
32,都用过
33,每日英语听力太好用了
34,欧路词典也好用
35,真的，不背单词很好用，还会根据遗忘规律帮助复习
36,不背单词巨好用
37,想学英语最好就是去说英语的国家呆上一两年
38,绝了，也用的
39,绝了，我在用
40,这个真的好用
41,哦耶哦耶
42,有时候会不会用日语：以给 以打一
43,我现在也用
44,陌陌也可以背单词？？？
45,陌陌背单词？
46,我也在用这个！！真的很好用
47,欧路词典
48,这是宝藏
49,姐姐好优秀
50,酸了
51,我也！
52,每日英语听力真的棒 我的最爱
53,这个免费嘛
54,看到不背就赞了
55,不背超好用！
56,哇
57,又是收藏比点赞多的视频
58,人间宝藏
59,我有了耶
60,可可，yyds
61,这个好用，没有广告，页面清爽
62,搜狗翻译差不多
63,真的！老师推荐的
64,阿婆真漂亮，大气美！
65,懂了  现在开始不背单词
66,我们大学老师就没推荐过啥子 讲课跟初中老师一样。。。
67,up好白啊
68,可可免费的不多
69,强推，这个名字就有一种反差感
70,永久会员没卖的了
71,听着想睡
72,这个不背单词的语音啊，是真的
73,我也用不背单词
74,666
75,墨墨还是不错的啦
76,不背单词是我的真爱
77,可可英语打call！
78,我也觉得！
79,骨打骨打
80,莫闹
81,对对真的很好用！！！
82,欧路真的好用！！！！
83,去我收藏夹里吃灰！
84,为每日英语听力打call，从高中用到现在研一，贼好用
85,我就在用
86,真的很好用，是很简洁的那种
87,这个app真的很好！安利了很多人
88,neat
89,不背yyds！
90,我老师推荐了这个
91,可可英语 不背单词  西梅  欧路词典  每日英语听力
92,姐姐好强
93,你以为我是来学习英语的吗？我是来看你的
94,只有每日法语听力  这个图标
95,我也挺喜欢用墨墨
96,see more
97,中学生我推荐可可学霸app
98,这个我是只打开两三次
99,我大学英语老师除了放英文电影没别的活
100,我他么全下了 不背单词只打开过一次
101,百词斩表示不服
102,姐姐太好看了
103,百词斩功能比较多
104,每日德语每日西语都好用
105,这个完美
106,收藏大于点赞的宝藏
107,我也超喜欢，这个还是我自己发现的。
108,可可不错
109,我在用墨墨
110,认同！
111,bbc
112,+1
113,西梅真的超好用yyds
114,确实
115,每日英语听力要vip的呀...
116,欧路永远的神！
117,我和up用的都一样！！！
118,用欧陆和每日听力
119,我也在用
120,欧路真的好用！
121,我常用的有四个
122,谢谢美女up主
123,不背单词！！
124,我也觉得！！！
125,一点英语APP
126,一句英语也不错
127,不背页面设计特别好看
128,欧陆出的真的好用
129,欧陆真的好用
130,弹幕呢？
131,我爱不背单词！！！
132,带子能剪了么！！！
133,对真的
134,全都用过
135,墨墨最好用
136,还可以和轻听一起用 超赞的
137,不背真的好
138,同感！
139,我有我有
140,可可英语永远滴神
141,这个真的好用！
142,对对对！其他的都感觉一般…
143,我的宝藏目前全中
144,西语哎
145,这个真的好
146,赞同赞同，兜兜转转，现在只用不背单词！！！
147,up主就是个宝藏女孩啊！我因封面而进来，因内容干货而持续关注！
148,欧路真的好用 还可以导入医学专用词典
149,美女
150,美女
151,华为好啊
152,好棒
153,哇哦
154,哈利波特？！
155,认同！
156,我也是
157,墨墨挺好的！
158,我擦  我全中了
159,我用可可很多年了！
