,弹幕
1,"[""0.99"",""0.99"",""1-0.6"",""5"",""新年快乐❤️"",""10"",""3"",""0"",""0"",""10000"",0,1,""\""Microsoft YaHei\"""",0]"
2,"[0,0,""1-0"",""5"",""2021❤️高考加油！"",""0"",0,""0.5"",""0.9"",""10000"",0,1,""\""Microsoft YaHei\"""",0]"
3,"[""0"",0,""1-0.5"",""5"",""❤️新年快乐❤️"",""1"",""0"",""0.99"",""0.99"",500,0,1,""SimSun"",1]"
4,“丁达尔出现的时候，光就有了形状”你出现的时候，我眼里便开始有光
5,涉江采芙蓉，浮溶游响红
6,再来100亿遍，我也能上清华
7,铝热反应老师当时在教室做的，然后教室全是烟(>﹏<)
8,丁达尔效应出现的时候，光就有了形状
9,暗示白嫖
10,化学我爱你
11,Avicii！！！！！！！
12,◤◢◤◢◤◢◤◢◤◢◤◢◤◢WARNING WARNING WARNING 前方核能 WARNING WARNING WARNING◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢
13,◤◢◤◢◤◢◤◢◤◢◤◢◤◢WARNING WARNING WARNING 前方核能 WARNING WARNING WARNING◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢
14,◤◢◤◢◤◢◤◢◤◢◤◢◤◢WARNING WARNING WARNING 前方核能 WARNING WARNING WARNING◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢
15,镀铜
16,真漂亮
17,这就是传说中属于化学的浪漫吗？
18,浮游熔响红
19,熔而不滴
20,眼花
21,乙酸乙酯和钠
22,A really big fxxking hole coming right up！
23,丁达尔效应可以区分溶液和胶体
24,都是老师没做过的实验
25,出现了！数学公式
26,一定要注视锥形瓶中溶液颜色的变化
27,化学再爱我一次
28,I love  化学
29,这不是初中的吗
30,我只想知道一些多少钱。
31,nb
32,芙蓉游响红
33,oh
34,还有蛋白质的颜色反应也不见了（doge）
35,《比博燃》系列
36,◢ ◤
37,NB
38,BGM:SOS--by Avichii
39,0.5倍速新世界
40,.
41,我只能0.5
42,卧槽，原来银镜反应这么好看
43,比博燃
44,有生成二氧化硫
45,血红色溶液
46,不懂就问，两边白色的是什么？
47,实验室制取氯气
48,这就是我选化学的原因！
49,这不比博燃
50,初中生疑惑
51,白变灰绿红褐色
52,迪迦
53,迪迦
54,浮熔游响红
55,比博燃（物理）
56,3331
57,烟雾是错的，白烟
58,氯气白嫖试纸
59,浮游溶响红
60,我直接0.5倍速
61,爆炸警告
62,让我看看你怎么高燃混剪
63,有机里的取代
64,历政地不知为何点进来了
65, 左边的这个我记得是氧化反应来着……
66,新高一用本尼迪特试剂检验还原性糖
67,乙烯有黑烟，乙炔有浓烈黑烟
68,亚硫酸与品红是结合性漂白
69,质密的Al2O3兜住了熔化的铝液
70,满满的回忆，
71,看成氯气漂白试卷了
72,第一次见收藏比点赞多
73,涉江采芙蓉，浮熔游响红
74,一点点碳酸钠就贼强
75,左边好好看3.
76,开0.5倍速了
77,卧槽，燃起来了
78,最好用氢氧化钠溶液吸收一下产生的二氧化氮
79,剧烈燃烧，发出耀眼白光，生成氧化镁（其实还有少量氮化镁）
80,这不比博人传燃？
81,快的反应不过来
82,同学们一定要根据自己的地区来答题
83,在鲁教版，铝和碱反应生成四羟基合铝酸钠
84,在人教版，铝和碱反应生成偏铝酸根
85,铝具有两性，可以与酸反应也可以与碱反应
86,亚甲基蓝yyds
87,高中已经毕业而且读材料的人回来反思
88,浮溶响游红
89,初中生混入
90,先收藏，等我高中就来学习啦
91,有没有初中生举个爪
92,燃起来了
93,2021高考加油啊！
94,你指尖跃动的电光……走错片场了
