,弹幕
1,吃遍上海的每一家店
2,RICK ASTLEY（幻视）
3,字正腔圆的中国话啧啧啧
4,高情商！
5,面条居然是可数的我是没想到
6,好慈祥
7,可以用 being a*shole
8,Mischievous 呢
9,池面
10,这个有点怪啊
11,毕竟是口语
12,rick astley 草
13,She goofin
14,visit
15,我不信考雅思还very
16,nughty America
17,very后面得加形容词副词
18,FIND ME真的中式
19,高
20,naughty♂
21,hmu
22,太标准了
23,find哈哈哈哈哈哈哈哈
24,wicked
25,参观我哈哈哈
26,小猪佩奇常用词
27,口语可以直接用“for me”吧
28,？
29,失踪了
30,哇塞！帅哥你会说普通话！爱你哦！！！l really love you pretty boy
31,literally
32,looking for
33,吃一根面
34,pick up行吗
35,rough
36,高情商
37,energetic可以形容吗
38,塔诺希米
39,好温柔，呜呜呜呜呜呜呜
40,是口语跟写作的区别吗
41,我就吃一根
42,Find是说你丢了来找你
43,不 三单其实是在语言掌握阶段靠后的一个..怎么说，能力？比其他的语法其实都更迟掌握。弹幕可别秀了
44,特意用高级词会被认为是装逼
45,好温柔哦
46,nasty 哈哈哈
47,老师：lack比need高级doge
48,find？？
49,三个字就能表示这一长句
50,发音好标准
51,find me 还可，来北京找到我
52,never gonna run around~
53,up主这款我太心可啦
54,up主太帅啦
55,这最晚在初中也都会学到了吧…
56,就是要贬她！
57,说像海默的等等我
58,？
59,suckhhhhh
60,Chineglish
61,哈哈哈
62,长寿面
63,see me
64,naughty america
65,探视
66,visit 
67,suck noodles
68,精准踩雷
69,find me哈哈哈哈哈哈
70,耶
71,看封面我还以为是弗莱迪海默
72,Visit是拜访的意思。
73,当然是look me啊
74,高情商：我妹妹很有能量
75,我妹妹经常乱跑
76,我妹妹力大无穷
77,好温柔的语调，好喜欢....
78,naughty stepsister
79,寻人吗
80,我以为look for
81,这就很yzk了
82,ramen
83,哈哈哈哈哈哈
84,我一般说pretty
85,拜访
86,早餐吃面？？
87,《slippery》
88,前面长寿面那个笑死我了
89,中国学生英语都是用来跟中国人说的，能听懂就行了
90,学了这么多，都不用-_-||
91,但是说“缺乏”的时候还是会经常用到吧
92,lack of
93,我爱吃面，吃遍上海每一家店
94,天呐，我们上本书刚学的lack
95,。
96,I amreally 
97,声音好好听 声控一本满足
98,naughty有银秽的意思
99,啊？原来单词表上的词很少用啊
100,好温柔
101,meet行不
102,我的北京来朋友找我
103,为什么不能直接for me呢
104,骨科警告
105,我一开始就读的noodles。结果书上和老师都是noodle我真的要疯
106,变黄
107,哈哈哈哈哈哈哈哈我躲起来了
108,我朋友来参观我
109,哇，好舒畅的语气
110,look
111,中文也很好听啊
112,visit
113,I’m really keen...
114,我以为要用have
115,看起来好像rick阿
116,absence是缺席 
117,学这么久英语才知道盐还有lack这个词
118,哈哈哈哈
119,发音好听
120,"Naughty America, nobody does it better"
121,anticipate不香？
122,找我=看望我
123,啊原来是这样的嘛
124,学到了学到了
125,高情商
126,see me也可以
127,虽然需要更多盐=缺少盐，但是这就好比你笑喜欢用233而不是呵呵一样。
128,Never gonna let you down 
129,naughty多用于搜索
130,完蛋我用过
131,高中英语一直用lack
132,比昂比昂面
133,be lack of
134,f**k me
135,您知道过生日吃的那种一根到底的面条吗 我就吃那个
136,小调皮
137,Lack of use
138,see me在加拿大口语常用，不知道放英式环境好不好使
139,lack经常当名词用
140,黄色用词：naughty 
141,super naughty girl
142,lack_need
143,早餐的话我经常吃面 I usually eat noodles for
144,前面那个说作文不能得高分的是睿智？都说了口语考试
145,真实
146,find me
147,藏哪里了需要找哈哈哈哈哈哈
148,哈哈哈哈哈哈哈嗝
149,eat 牛肚s
150,meet行不
151,有点讽刺的意味在里面
152,noodle永远做复数
153,eat noodles
154,好温柔
155,高情商
156,naughty sister
157,naughty american
158,哈哈哈哈
159,naughty。。。这个妹妹怕不是要加个step的前缀
160,但是作文分就下来了（
161,中文比我都标准
162,有种被听力支配的感觉
163,好温油
164,那吃长寿面（一根）的可以称noodle吗
165,吃遍上海每一家店（dogs）
166,你怎么这么字正腔圆
167,最终他在一个垃圾桶里找到了我，现在归我找了，还没找着
168,我直接变色
169,初中生用find我才能理解
170,find是“寻找”
171,小学英语…
172,像甜茶！
173,因为英语课一直这么教的
174,我在北京丢了哈哈哈哈哈哈哈
175,lack还是当名词用吧？
176,温柔
177,lack of
178,哈哈哈哈哈哈哈这个句子我上学期刚学
179,高情商？？
180,学会了学会了
181,这个初中学了
182,温故而知新
183,闹太套
184,find me这个真是魔鬼用法2333
185,你是把小钥匙才会find你哈哈哈
186,find me 我要笑死了，你是失踪了吗
187,look forward to 是个动作，怎么能用很形容呢
188,陕西那种只有一条的面应该怎么说
189,look for？
190,高情商
191,find是什么用法哈哈哈哈哈哈哈哈
192,哈哈哈哈哈哈哈naughty说不定也可以呢
193,哈哈哈
194,这作文不用点高级词汇得不了高分啊（doge）
195,声音好好听啊
196,哈哈哈哈
197,nasty
198,visit
199,真的有人会用find吗？？？
200,my mom will come to bejing to visit me.
201,我吃长寿面
202,这不就是中式英语
203,小学初中英语吧，这都不会还考雅思
204,find哈哈哈哈
205,这个表达用lack就中式英语了
206,never gonna run around and desert you
207,这不是常识吗
208,aren't salty enough
209,君英语本当上手
210,低情商：lack  高情商：need more
211,高情商
212,这就尴尬了
213,口音很舒服
214,一 条 面
215,na的别走
216,玛卡巴卡的有毒吧哈哈哈哈哈哈
217,这声老公我先叫了
218,看老友记用naughty都是床上用语
219,中文优秀啊
220,好家伙，这中文说的也太溜了
221,就吃一根
222,需要更多盐=缺少盐 吗？
223,hhhh我在北京丢了
224,好温柔啊讲话
225,nasty有sao的意思
226,眼睛好温柔
227,哈哈哈哈哈哈哈哈哈哈
228,长寿面就一根
229,very是副词
230,of
231,never gonna give you up～
232,眼睛好漂亮
233,玛卡巴卡(幻听)
234,naughty这个词好像有点色
235,眼睛的颜色太好看了
236,中国人比较含蓄，一般不直接给建议
237,或者可以说trouble-maker
238,发音好好听呜呜呜
239,energetic
240,淦天雷
241,我可能对这个老师有点想法
242,tanoxi~
243,naughty有sao的意思
244,slippy嘻嘻
245,好标准的发音救命
246,find可还行
247,naughty带颜色
248,明白了，我在北京丢了
249,都懂了的
250,Cute
251,卧槽我猜对了
252,太温柔啦
253,visit 
254,你好帅啊
255,有点帅怎么办。。。听不到英文了
256,翻译成闹腾更贴切
257,早晨起来吃了一碗面
258,好温柔
259,好轻柔的声音
260,American
261,那为什么不用energetic呢
262,那为什么不用energenic呢
263,好好听的中文
264,naughty是黄腔啦
265,很委婉了hhhhhhhhh
