,弹幕
1,佟掌柜
2,不为事事无常而迷惑
3,读书是追求真理
4,农村人，家长是反正你考不上的！去找个对象1吧
5,读书是为了解放全人类
6,从这个女孩身上看出了迷茫
7,银河补习班
8,错，复读也不全是学生的问题，农村的教育水平不高，复读是好事
9,出自，四书《大学》
10,银河补习班
11,老。。。。老版徐涛？
12,不懂就问。问就是谁是“新”
13,物理化学生物吖
14,这不是贤宝宝吗
15,如果我爸爸能这样教我就好了
16,银河补习班
17,真好
18,你是处女吗？我是射手
19,刷到这里就退出去，干自己的事情吧
20,这样的父母真好
21,清华北大只是过程
22,邓超那个是银河补习班
23,银河补习班
24,反弹
25,银河补习班
26,这个是电视剧
27,这是电影
28,这不是濮存昕
29,和格局有个蛋关系
30,什么剧
31,理化生？
32,出自《中庸》，座右铭
33,提及少年两字，应与平庸相斥！
34,经常怀念18岁，有精力的时候没目标，有了目标已经没了年少青春
35,隽永不就是活泼的意思？juan yong
36,少年又不是特指男的，它是指未成年人
37,又搁这放屁
38,噫吁嚱
39,其实看过到现在还是
40,爸爸真的有水平
41,各位，教育儿女，须有文化水平，记住了吗？
42,卧槽怎么说
43,人家在北京，二本打底，像我这样农村人，不努力只能去打工
44,这句话说的太好了
45,对，这就是我现在，没有目标
46,读过书的爸爸
47,我的靶子呢
48,说明不偏科
49,濮存昕
50,赵今麦
51,炸酱面妹妹
52,傻白甜原型
53,麦子太可爱了
54,wdnmd
55,爸爸说的对
56,建议查一下少年的意思
57,这不我吗
58,这父亲好吧？教育就是为了让很多孩子更有机会在未来变成这样的父母。
59,Xuan 鱼翻身哈哈哈，是xian 
60,像极了初中那年的我
61,对！学习不是我的箭靶子！
62,这声音好有磁性
63,加个少女行吗？我他妈是女的
64,带个女朋友回家，结婚，现在小孩5岁了
65,找不到
66,反弹
67,不，那时候的你只会秃顶
68,我要读书，都别拦我，虽然我一天上13-14小时的班，但也不影响我读金瓶梅
69,这大叔太有魅力了
70,屏幕前的少年，你有无限可能。我从不说谎，你一定会是一个有出息的人，一定
71,这个爸爸真好
