,弹幕
1,up好像安妮海瑟薇
2,哈哈啊哈哈
3,就是英文的油腻吗hhhh
4,哈哈哈哈哈哈哈哈哈哈笑死
5,哈哈哈哈哈哈
6,这觉得是机翻译的
7,hhhhh
8,3刷了哈哈哈哈哈
9,哈哈哈哈哈哈哈哈哈哈哈哈哈哈up好可爱
10,哈哈哈哈
11,哈哈哈哈哈哈哈哈
12,确实  他母语就是英语
13,哈哈哈哈哈哈哈哈哈
14,哈哈哈
15,哈哈哈哈哈哈哈哈哈
16,哈哈哈哈哈哈笑死我了
17,哈哈哈哈哈哈哈哈哈哈哈
18,母语人（狗头
19,人家本来就在加拿大长大。。
20,不是会七种语言吗
21,胡哈哈哈哈哈哈哈哈
22,哈哈哈哈哈哈哈哈哈
23,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
24,哈哈哈哈哈哈哈哈哈
25,哈哈哈
26,哈哈哈哈哈哈哈
27,长得好像
28,你们
29,你们
30,哈哈哈哈你也很cute
31,哈哈哈哈哈哈哈哈哈哈
32,哈哈哈哈哈哈哈哈哈哈可爱死啦
33,粤语和普通话都算汉语，只是三门语言
34,哈哈哈哈哈
35,哈哈哈哈
36,哈哈哈哈哈哈哈笑没了
37,哈哈哈哈笑死
38,Up主好帅！！！
39,哈哈哈哈
40,哈哈哈哈哈哈哈
41,ass
42,哈哈哈哈哈
43,他是加拿大长大，英语确实算母语了
44,哈哈哈哈哈
45,哈哈哈哈哈哈哈哈哈哈哈哈哈
46,哈哈哈哈哈哈哈哈哈
47,哈哈哈哈哈哈哈哈
48,哈哈哈哈哈哈哈哈哈
49,他本来就这样哈哈哈
50,哈哈哈哈哈哈哈哈哈哈哈
51,哈哈哈哈哈哈哈哈哈
52,哈哈哈哈哈哈哈哈哈哈
53,哈哈哈哈
54,啊啊啊啊这嗓音好性感！
55,啊啊啊啊啊Henry
56,哈哈哈哈哈哈爱你
57,哈哈哈哈哈哈哈
58,这样算我也会四门语言，哈哈哈
59,哈哈哈哈哈
60,哈哈哈 BGM确实洗脑
61,哈哈哈哈哈哈
62,好帅
63,哈哈哈哈哈哈哈哈哈哈
64,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
65,加拿大人，母语就是英语啊
66,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
67,大华是华裔啊 当然是英语母语者啦
68,Toronto发音发错了
69,？？？？？
70,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！
71,害怕
72,哈哈哈哈哈哈哈哈
73,哈哈哈哈哈哈哈哈 牛批
74,汉语吧
75,他才不是假装哈哈哈哈哈哈哈
76,我最爱Henry
77,哈哈哈哈哈哈
78,哈哈哈哈哈哈
79,哈哈哈哈哈
80,ily too
81,oh 哈哈哈哈哈哈哈哈哈哈哈
82,哈哈哈哈哈哈哈哈哈哈哈哈哈 本色出演
83,oh god babe
84,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
85,粤语是语言，广东话才是方言好不好
86,You can judge him！ 哈哈哈哈哈哈哈哈哈哈哈哈
87,他不是abc他应该是cbc吧
88,ayay captain！
89,哈哈哈哈哈
90,妈呀这个外国小哥好萌
91,You are so real. 
92,Maybe it's an eye twitch. 
93,好喜欢
94,开始了开始了
95,这个bgm太过分了
96,能不能不要用这种bgm 太草了
97,这段我笑岔气
98,最后那一段笑死我了哈哈哈哈哈哈哈哈哈哈
99,哈哈哈哈哈哈哈
100,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
101,只要老外无脑夸中国人，点击量就不会低
102,哈哈哈哈哈哈
103,哈哈哈哈哈哈哈嗝
104,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊啊啊
105,为什么粤语不是语言？多学习一下对你们没有坏处，别作井底之蛙
106,竟然是中国人
107,empire state of mind太洗脑了
108,哈哈哈哈哈哈哈哈哈哈哈哈
109,我是中文母语者
110,网上发言那有啥语法可言哈哈哈哈
111,哈哈哈哈哈哈哈
112,我发现BGM是empire state of mind
113,哈哈哈哈哈哈
114,哈哈哈哈哈哈哈
115,爱了爱了
116,独眼龙
117,好可爱呐
118,哈哈哈哈哈哈
119,哈哈哈哈哈哈哈哈
120,哈哈哈哈哈
121,哈哈哈哈哈哈哈哈
122,救命
123,哈哈哈哈哈船长笑死
124,哈哈哈哈哈哈哈哈哈哈
125,他加拿大人。。。。听他说英语这。。。就跟出视频听我说中文溜不溜。。。哎
126,哈哈哈哈哈哈
127,hhhh
128,哈哈哈哈哈哈哈哈哈
129,针不戳
130,哈哈哈哈哈哈哈哈哈
131,说你的发音有点问题的哈哈哈哈哈哈哈哈哈哈哈哈哈
132,好像断眉啊
133,哈哈哈哈哈哈哈就笑死了
134,哈哈哈哈哈哈哈哈哈哈哈
135,卧槽好好好好好好好教教几年级
136,哈哈哈哈哈哈哈哈
137,哈哈哈哈
138,哈哈哈哈哈
139,哈哈哈哈哈哈
140,Henry是我的，前面的清醒一点！
141,Hhhhh
142,哈哈哈哈哈哈
143,粤语普通话都不是一门语言
144,哈哈哈哈哈哈哈哈哈
145,哈哈哈哈哈哈
146,嚯哈哈哈哈哈哈哈
147,要加s 哈哈哈哈哈哈哈哈哈哈
148,原来粤语算语言？建议全国地方方言都算语言
149,哈哈哈哈哈哈哈哈哈哈哈
150,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
151,哈哈哈哈哈哈哈哈哈哈
152,哈哈哈哈哈哈哈哈
153,哈哈哈哈哈哈哈
154,联合国认可粤语是语言不是方言
155,o o o o o o o o
156,哇哇哇哇
157,哈哈哈哈哈哈哈哈哈哈哈
158,你也好性感
159,哈哈哈哈
160,本来就是英语母语啊 汉语水平差不是母语
161,他就是
162,他确实是啊
163,哈哈哈哈哈哈哈爱了
164,粤语是语言吧
165,哈哈哈哈哈哈哈哈哈
166,粤语不是语言？？？笑了
167,哈哈哈哈哈哈哈哈哈哈哈哈你干嘛！
168,Aya Captain！！！
169,哈哈哈哈
170,哈哈哈哈哈哈哈哈
171,up眼睛简直是安妮海瑟薇翻版！
172,哈哈哈
173,这这这…本来英语就是他的母语啊
174,这这这…他本来就是英语母语啊……
175,哈哈哈哈哈哈哈哈哈哈哈哈哈
176,哈哈哈哈哈哈哈已经开始笑了
177,哈哈哈哈啊哈哈哈
178,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
179,哈哈哈哈哈哈哈哈哈哈哈
180,好帅啊
181,粤语不是一门国语，粤语也是中文的一种！
182,人家说的就是母语
183,我爱刘宪华
184,我爱刘宪华
185,亨利太性感太帅啦
186,亨利真帅
187,阿巴阿巴阿巴阿巴阿巴刘宪华说英语好酥啊啊啊啊啊啊啊啊啊啊啊
188,最后的bgm是什么，哪位告诉我下
189,胸腔共鸣
190,哈哈哈哈哈哈
191,哈哈哈哈
192,他的发音没有什么问题，你的中文发音很有问题哈哈哈哈
193,哈哈哈哈哈哈哈
194,哈哈哈哈哈哈哈哈
195,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
196,还好哈哈哈哈哈哈哈哈哈哈哈哈哈哈
197,哈哈哈哈哈哈哈哈哈哈
198,哈哈哈哈哈哈
199,oh Canada
200,把汉语方言看作汉语族下面的语言就没问题，不懂语言学不要乱跳脚
201,我爱他啊啊啊啊啊啊啊啊
202,章鱼哥。。。
203,i i  captain!
204,哈哈哈哈哈
205,哈哈哈哈
206,吴语闽南话都是联合国认证的语言，真别装了，在中国只有一种语言就是普通话
207,他就是母语者啊，加拿大华裔
208,古川雄辉的加拿大语特别撩
209,哈哈哈哈哈哈哈好笑死了
210,哈哈哈哈哈哈哈哈哈哈
211,hot………我感觉那个人想歪了（doge）
212,哈哈哈哈哈哈哈
213,刚刚那个眼神，有被撩到
214,做作～
215,哈哈哈哈哈哈哈哈
216,哈哈哈哈
217,拜拜
218,哈哈哈
219,哈哈
220,23333
221,好帅哟
222,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
223,哈哈哈哈
224,哈哈哈哈哈哈哈哈哈哈哈
225,本来就是
226,哈哈哈
227,哈哈哈哈哈哈哈
228,哈哈哈哈哈
229,哈哈哈哈哈哈哈哈哈哈哈哈
230,哈哈哈哈哈哈哈
231,他的中文也说得很好啊
232,eyes
233,他本来就是
234,哈哈哈哈哈
235,哈哈哈哈哈哈哈哈哈哈
236,哈哈哈哈哈哈
237,哈哈哈家里人汉语可能不是很准吧
238,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
239,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
240,up长得好像安妮海瑟薇！！
241,哈哈哈哈哈哈哈哈好
242,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
243,up主太可爱了哈哈哈哈哈哈哈哈哈哈哈哈哈
244,哈哈哈哈哈哈
245,哈哈哈哈哈哈哈哈
246,哈哈哈哈哈哈哈哈哈哈
247,哈哈哈哈
248,啊哈哈哈哈哈，看一遍笑一遍
249,哈哈哈哈哈哈哈
250,哈哈哈
251,我的华！！！
252,哈哈哈哈哈
253,哈哈哈
254,Careless whisper
255,Henry的中文已经算是很好的了，只是词汇量不够而已
256,哈哈哈哈Henry的嗓音本来就是这样的啦
257,哈哈哈哈哈哈
258,帅
259,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
260,简介下面推荐就有全篇采访 刘宪华的英语配合表情绝了
261,b站很多大华英语 视频 十几年如一日这个样子 就是苏 妥妥的性感
262,bgm我愛了 吹爆
263,哈哈哈哈哈哈哈哈哈
264,哈哈哈哈哈哈哈哈
265,哈哈哈哈哈哈哈哈
266,只有一只眼睛性感吗23333
267,啊卧槽我一直以为他是韩国人
268,你们是因为什么点进来的啊？是因为标题吗？不，我是因为up主颜值
269,哈哈哈哈哈哈哈哈哈哈哈哈
270,好喜欢这个up
271,好好笑啊
272,哈哈哈哈哈
273,哈哈哈哈哈哈哈哈哈哈做作的气泡音
274,哈哈哈哈哈哈哈哈哈哈哈哈哈
275,哈哈哈哈哈哈
276,哈哈哈哈
277,hhhhh
278,Teochew 潮州
279,哈哈哈哈哈哈哈
280,哈哈哈哈哈哈
281,大华口音好好听
282,想看嘉尔
283,我倒回来再看一遍哈哈哈哈哈哈
284,还有法语吧？
285,哈哈哈哈哈哈哈哈哈哈哈哈哈
286,笑死我了
287,哈哈哈哈 
288,哈哈哈哈哈哈
289,两个eyes哈哈哈哈哈
290,我一直都觉得阿婆主很好看啊。You are so handsome. ，do you know？
291,哈哈哈哈
292,人家就是ABC
293,哈哈哈哈哈
294,哈哈哈哈哈哈哈哈哈
295,哈哈哈哈哈哈哈哈哈哈哈
296,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
297,哈哈哈他真的就是这种嗓音，一直都是这样说英语的，可以去看他早年的采访
298,他真的就是这种嗓音听他唱歌就可以知道，说英语也一直是这个发声部位，不是故意装的
299,哈哈哈哈哈哈哈哈哈哈哈哈
300,加拿大人
301,哈哈哈哈哈哈哈哈哈哈
302,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
303,hi，老公
304,刘宪华的表现很自然，没有一丝丝故作姿态，做自己就好了
305,大华真的很让人惊喜，一会一个炸弹
306,刘宪华真的好帅，气质真好
307,摘什么问题，他是母语，当然找不到
308,他比白人还白吗，他是亚洲人吗不是，怎么那么白
309,太尼玛有才了，还特么长这么帅帅的
310,刘宪华到底有多少面
311,真的好帅呀，刘宪华
312,很好的宝贝
313,哈哈哈哈哈哈
314,我也说wanna嘿嘿
315,hhhhhhhhh
316,就哈哈哈哈哈哈哈
317,哈哈哈哈哈哈哈哈哈哈
318,哈哈哈哈哈哈哈哈哈哈哈哈
319,哈哈哈哈哈哈哈哈哈哈哈哈哈
320,哈哈哈哈哈哈哈哈哈哈
321,来电铃声是这个 吓得我以为电话响了！
322,所以要听一下他的中文
323,哈哈哈哈哈哈
324,必须的必
325,哈哈哈哈哈哈
326,他普通话很烂
327,哈哈哈哈哈
328,哈哈哈哈哈哈哈
329,跟凡哥一样诶（ky致歉）
330,哈哈哈哈哈哈哈
331,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
332,刘宪华还是伯克利的高材生
333,哈哈哈哈哈哈哈
334,哈哈哈哈哈哈哈哈
335,他是加拿大华裔啊，加拿大人
336,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
337,哈哈哈哈笑死
338,他本来就是英语母语者
339,密码正确
340,哈哈哈哈哈哈哈哈哈哈哈哈
341,哈哈哈哈哈哈哈哈哈哈
342,他确实是英语母语
343,哈哈哈哈哈哈哈哈哈哈哈哈
344,哈哈哈哈哈哈哈哈哈
345,up主跟我一高中同学长太像了，他是纯中国人
346,书包精彩线
347,书包精彩线
348,哈哈哈哈哈哈哈
349,哈哈哈哈哈哈哈哈哈
350,哈哈哈
351,怎么感觉他说的比你好听
352,哈哈哈哈哈哈哈哈哈哈哈哈
353,哈哈哈哈哈哈哈哈
354,哈哈哈哈
355,我还以为他就是加拿大人
356,哈哈哈哈哈哈哈哈哈
357,语法错误
358,哈哈哈
359,哈哈哈哈哈哈哈哈哈哈哈
360,hhhhhhhhhh
361,哈哈哈哈哈哈哈
362,哈哈哈哈哈哈哈哈哈哈
363,你这么一说我突然觉得他好油腻
364,哈哈哈哈哈哈哈哈
365,哈哈哈哈哈哈哈
366,哈哈哈哈哈哈哈
367,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
368,长的好像安妮海瑟薇，像亲生弟弟一样
369,哈哈哈
370,我电视剧看多了也是这口音哈哈哈wanna
371,哈哈哈哈哈
372,家庭真的牛
373,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
374,好喜欢
375,哈哈哈哈哈哈哈
376,哈哈哈哈哈哈哈哈哈哈哈哈
377,哈哈哈哈哈
378,他普通话发音还是不错的，就是词汇量少
379,Henry宝贝！
380,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
381,啊啊啊啊啊啊啊Henry！
382,喜欢听henry说英语
383,Henry
384,Henry！！！！
385,太帅了！！！！！
386,Henry太帅了
387,太帅了
388,好帅啊
389,Henry好帅！！！
390,加拿大人呀
391,本来就是母语呀
392,我家Henry
393,安安老脸一红
394,这两个人怎么这么像。。
395,be动词?
396,怪不得哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
397,是啊，母语
398,感觉美国人都不太喜欢加拿大
399,up主安妮海瑟薇兄弟吗
400,这是在套娃
401,哈哈哈哈哈
402,哈哈哈哈哈哈哈
403,哈哈哈哈哈哈哈哈哈
404,You are so cool
405,You are so cool！
406,哈哈哈哈哈哈哈
407,哈哈哈哈哈哈
408,哈哈哈哈哈哈上头了
409,刘宪华好可爱
410,刘宪华的发音很清晰
411,刘宪华好帅
412,哈哈哈哈哈哈哈哈哈哈哈哈哈
413,哈哈哈哈哈
414,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
415,哈哈哈
416,哈哈哈哈哈
417,哈哈哈哈哈哈
418,哈哈哈哈哈哈哈
419,哈哈哈哈哈哈哈哈
420,哈哈哈哈哈哈哈
421,哈哈哈
422,阿哈哈哈哈哈哈哈哈哈
423,阿哈哈哈哈哈哈哈哈哈哈哈哈
424,哈哈哈哈哈
425,哈哈哈哈哈哈
426,哈哈哈哈
427,哈哈哈哈哈哈哈哈哈哈哈
428,哈哈哈哈哈
429,哈哈哈哈哈
430,哈哈哈哈哈哈哈哈
431,哈哈哈哈哈哈哈哈哈哈哈
432,哈哈哈啊哈哈
433,哈哈哈哈
434,？？Henry比霉霉大的吗！！
435,哈哈哈哈哈哈
436,哈哈哈哈
437,你俩头发真像
