,弹幕
1,为什么这个角度像林更新？？？？？？？？
2,听成周一生活了
3,英国的贵族观念挺强的，比较影响发音
4,哪里是亲戚。。。别造谣。。。
5,这是东北发音
6,外国人能直接认出来拼音？
7,王思聪做过字幕组的。水平当然OK啦
8,哈哈哈哈哈哈突然学习起来
9,王思聪出来教英语吧
10,日式发音マスク
11,人家在英国上的大学，这不就很正常吗
12,mundane life
13,GRE词汇
14,哪里说的不好 指教一下
15,突然变成英语教学视频
16,他再不好都对不起他爹
17,shi，hhhc
18,突然发现我现在学的英语发音都混起来的
19,来福
20,大连孩子英语都很好的，更别说家里条件好的了
21,mundane 还以为他说Monday…
22,思聪几乎是最早一批干字幕组的
23,schupid哈哈哈哈哈
24,新加坡的瑞士公学
25,东北的
26,声音好小
27,德语哈哈哈
28,因为他有钱，所以你觉得地道
29,英式英语太高级了
30,感觉从小学学的都是英式英语
31,哲学？？？
32,我透伦敦音我真是小看他了
33,考研英语一
34,想让他听听Leslie张国荣的英式发音
35,Monday我也会，ok?
36,哲学？
37,突然觉得英音挺好听的
38,UCL的当然了
39,哈哈哈哈哈可爱安安
40,安安头发好可爱哈哈哈
41,然而没毕业
42,牛B
43,果然哲学只有有钱人学的起（doge
44,平庸就高级了
45,王校长
46,哭了我的单词发音有时候美式有时候英式(其实是中式)
47,我就感觉一样哈哈哈听不出差别
48,美音 儿化音 很重
49,啊他是大连人！老乡我去
50,从小送英国正常阿
51,喜欢美式
52,卧槽，感觉在看英剧
53,哈哈，up一惊一乍的
54,一口英国口音
55,早就轮回北欧了啊
56,这记者好看
57,中国人大部分都学的英式发音
58,德语生哈哈哈哈哈哈哈哈哈哈哈
59,那么有钱送出去个国谁说不了英文
60,刚学了
61,stupid真的好British
62,哇
63,感觉 没你说的好
64,他英语还是很厉害的
65,等等 他不是没个单词都r音很强吗？
66,我晕这个英音好好听
67,英式英语就是好听哈
68,王思聪说的这些，在那个国家都一样，美国你不符合国家的主流意识，一样只能浑浑噩噩
69,yep，nop
70,王思聪这发言 不错喔
71,不亏是富二代
72,原来是这个方向上的共鸣区别。。。不是单纯口型上的区别啊
73,mundane
74,德语专业的狂喜！
75,怎么突然骂我
76,munda ne
77,看个视频被骂了
78,马上记下。
79,我都光听你说发音了，他说啥我都不知道哈哈哈哈哈
80,伦敦大学学院
81,ucl的 
82,他不是外国留学回来的吗
83,英语老师都是这么教的
84,俚语
85,救命真的跟林更新好像哈哈哈给哈
86,人家留学
87,从小教材都是英式，结果生活中接触到的都是美式
88,不就是钱嘛
89,人家英国留学啊！
90,考研词汇
91,英国上学的可不是
92,就是更喜欢美音
93,吞音很重 好听
94,学霸
95,王思聪不是英国留学的吗
96,up有点像暮光之城的男主
97,up好像我小叔
98,亚鹏
99,学到了学到了
100,高级！
101,prosaic都是老GRE词汇了
102,他在英国读这么久书，地道很正常
103,剑桥个pi
104,哈哈哈好可爱
105,那我就是美英混搭omg
106,王思聪还是留学生……
107,你的英语也不错呀
108,学哲学的 
109,好家伙 我美英混读了
110,英式发音听起来有酷酷的感觉
111,说不好英语有啥丢人的？英语是工具又不是来炫耀的
112,哲学系懂的都懂
113,最好的私立学校读书没法子
114,为啥感觉他像断眉
115,在英国从小留的学肯定好啊
116,？？？？？
117,弹幕教外国人怎么发音牛逼了
118,爷
119,6666
120,语言是用来交流，抠这点发言区别显得你高级吗？
121,中文干哈比干什么地道
122,王生读的可是哲学系。
123,没钱学不了哲学
124,他说的很有道理
125,高级吗，研究生词汇
126,best video
127,中式发音
128,哦了我。
129,ucl不叫伦敦大学谢谢
130,GRE词汇
131,《哲学》
132,8好意思 因为颜值关注了
133,BGM-Empire state of mind
134,他可以背稿啊
135,哲学～啊～
136,每次都说一样的话佛了
137,我同学有时候装一下也说yep哈哈哈哈
138,？哲学
139,英式发音我爱了
140,哈哈哈哈哈哈
141,哈哈哈背的老熟了除了mundane还有mediocre哈哈哈哈
142,现在教科书都是美音（加拿大音）的
143,好可爱哈哈哈哈
144,聪哥竟然学过哲学
145,up英语真好
146,哈哈哈哈哈哈
147,欧福口耳丝
148,At
149,你怎么辣么可爱！
150,哈哈哈哈哈
151,哇
152,你好搞笑哈哈哈哈
153,monday
154,有哈利波特那味了
155,从小教材都是美式发音的，至少初中人教版都是，小学记不太清了
156,他本科ucl的啊
157,大连
158,那个and很有那味
159,亲戚肯定多少像
160,先把自己中文说标准，人说的标准与否你凭什么指点
161,别舔那里脏
162,你再骂？
163,从小教材就是教的牛津英语啊
164,好凡
165,英音好好听
166,王思聪给伏地魔配过音吗
167,我小时候学的英音
168,伦敦大学的好吗？不会说英语？
169,好帅
170,我可能就是只是喜欢你的美式口音
171,人可是国外长大的
172,Schtupid
173,马云来一期
174,up表情好迪士尼
175,了不起敢选哲学
176,他ucl的吧
177,他十几岁就去英国了
178,这个纪录片我看过，被禁了
179,人家留学生
180,想听何同学采访库克
181,哲学♂已经落寞
182,yep是上流说的
183,mundane
184,广东学的都是英式发音多
185,哲学！？
186,美国人才卷舌
187,从小就是英文教学的了
188,他就是很早去外国的呀好像
189,河南口音
190,东百人
191,喜欢美式
192,shi丢北
193,mundane
194,有钱砸钱进的英国名校 不奇怪这口音啦
195,之前从没听王思聪说过英文，今天见识了
196,最后一期
197,温彻斯特能被称为“算好学校”吗？全英国的公学，除了曼彻斯特就是伊顿吧……
198,wsc不是雅思8分吗……
199,monday
200,我能做视频评价你的中文吗
201,穷人才学那些实用的专业
202,真的很像林更新这角度
203,弹幕护体
204,伊顿公学
205,卧槽
206,♂
207,人家就是在英国念的书
208,温彻斯特公学.....牛逼
209,王思聪是ucl毕业啊
210,没想到王思聪英文这么好
211,英式发音很高级，聪聪英语真不戳
212,英式发音好高级，聪聪发音真不错
213,校长的这几句发言很流畅很舒服啊。
214,他嘴不够大 鼻子大哈哈哈
215,人家故意的哈哈哈
216,到处都是大鼻子哈哈哈
217,没人觉得说话内容才是最值得关注的嘛
218,英式英语
219,表情笑死
220,他在新加坡读书的
221,卧槽
222,UCL 伦敦大学学院 英国G5名校之一
223,英国贵族很多是德裔，所以英式口音和德语发音是有相似之处的
224,王思聪以前还混过字幕组哈哈哈
225,他英语水平还是没得黑的吧……雅思九分还当过雅思老师
226,或许是因为他是东北人哈哈哈哈哈
227,你会不会鉴定英式的high class和low class？
228,他从中学开始在Winchester college 上的，大学在UCL（给大家科普一下）
229,mundane我今天上午刚背完这个单词
230,这一期视频感觉怎么跟麦克老师的有点像 是因为都差不多的分析么
231,Yeah of course he’s richest so of course his English ....doesn’t need to be graded 
232,shu……
233,哪有。。。
234,他还干过字幕组呢
235,美剧看多了 自然就开始yep了
236,这个不是很多中国人都会说吗。。。
237,已经确定我英式美式混合的了
238,啊，我听成了just
239,英式英语真的好好听
240,mundane平庸的
241,确实 很多单词发音没有儿化音
242,莫名可爱
243,哈哈哈哈哈哈
244,schewpit!!
245,好家伙 完全不认识
246,哲学?
247,留学生啊
248,美音好土，狗头
249,你再骂！哈哈哈哈哈
250,王思聪这是被国外自由思想荼毒了
251,伊顿公学
252,mundane
253,花那么多钱，如果还说的不好，他爸该让他回万达上班了
254,友所
255,安安好帅
256,送在国外读的书，不是很正常
257,哈哈哈同大连
258,厉害了
259,哲学
260,应该是很浓的英式发音 不是很强hhh
261,studio
262,英音才不卷舌，不要误导谢谢
263,突然发现我英式英语和美式英语都听得懂[滑稽][滑稽]天呐，真的太NB了[滑稽][滑稽]​
264,我去，伦敦大学
265,mundane 
266,标准的英伦腔
267,有哈利波特那味
268,热乎
269,茅斯
270,什么金钱的力量 你当剑桥是有钱就能上
271,他在英国念书的
272,卧槽
273,哈哈哈哈哈
274,中式英语多好玩，可以在英式美式直接再加个中式英语
275,Winchester好像很牛
276,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
277,人上人
278,刷牙了
279,德语哈哈哈哈哈哈
280,王思聪讲起来 真的还挺像英国贵族的 
281,牛逼
282,去英国留学当然啦
283,口音还是很强中国人说英语，但是毕竟有留学经历，学历还可以，他以前好像还去过字幕组
284,美国人不卷舌
285,英国人卷舌
286,是不是英式偏平舌，美式偏翘舌
287,很有用啊，多谢安安，纠正了自己一直以来错误的发音
288,喜欢这个外国人哦～
289,高中已经确认是在学英式英语
290,这个单词和他有半毛钱关系吗？
291,别人不是在英国读的大学
292,英式
293,有点像幻视口音
294,咩咩咩
295,我看你的中文说不太地道 该学学
296,长的跟哈利波特似的
297,越来越喜欢英式发音
298,地道
299,英国音
300,嗨
301,嗨
302,英式英语
303,他的英语真的非常好
304,我已经听过很多遍这个了
305,有钱人留学跟富豪留学还是有差别的
306,这里听成Monday的小伙伴请你们乖乖站起来
307,学到了学到了
308,扯淡吧
309,这个口语水平吊打国内大多数人吧
310,记的雅思有9分吧
311,都这样的语言环境了要是口语不地道反而很奇怪
312,德语h h h h h h
313,私立高中，大学，那么多年，你们想啥呢？北上广深，有无数这样的家庭
314,撕葱雅思满分.
315,留学过的
316,他说的确实是如此
317,stupid有内味儿了哈哈哈哈
318,supid地道
319,有钱人都学哲学去了
320,没想到王思聪有两把刷子
321,英音
322,人家外国留学，不会差的
323,mask我是英式的发音诶
324,我们英语老师给我们放了这个视频hh
325,发音靠后
326,王思聪和林狗是亲戚
327,王思聪和林更新是亲戚
328,德语生狂喜+1
329,我听出了他一丢丢亲切的singlish 
330,混乱hhh
331,这就是金钱的力量
332,他在剑桥
333,你学的不像 一听就不是英国人
334,哈哈哈可爱呀 siu
335,听不懂 
336,stupid
337,果然，英音
338,英音
339,你再骂！！
340,哈哈哈哈哈哈
341,vulgar
342,王思聪敢说
343,哈哈哈哈哈哈
344,哈哈哈好可爱
345,哈哈哈哈哈
346,英音nb啊
347,我怎么觉得像姚安娜？！
348,哈哈~敢说敢放啊~~
349,德语生哈哈哈哈哈哈
