,弹幕
1,干部：我怀疑你在挑拨我们与群众的关系。
2,说消极怠工是不了解那个年代，人的觉悟和积极性都很高
3,太棒了！
4,怎么没有
5,卧槽，一个美国人说英语有中国口音可还行
6,说的好！
7,你工人爷爷来了
8,哈哈哈哈哈
9,说得对
10,不是配音，是从小出生并且生活在中国。
11,不是配音，他从小（1952）出生生活在中国，后来在美国呆了几年然后2007
12,最后说的是大实话
13,他母亲是核物理学家，他在中国出生长大
14,哈哈哈哈哈哈哈哈哈哈哈
15,你的奖金只跟自己的工作成绩挂钩
16,提升效率不止生产积极性
17,太好了
18,茅塞顿开
19,哈哈哈哈哈哈哈哈
20,这是一位真正的布尔什维克灵魂的教授
21,卧槽，真实
22,没有
23,我们当年有过理想的美好时光，只可惜都没了
24,太对了
25,哈哈哈哈哈哈哈哈哈
26,说的对
27,哈哈哈哈哈哈哈哈哈
28,汉化版美国人
29,这京片味儿太足了
30,？？？
31,听了一遍又一遍
32,6666
33,生产资料公有制
34,想家！！
35,这位上过央视
36,人家是长大了才来中国的，不是土生土长的，不过心比在座的90％赤诚
37,说得好
38,厉害
39,老爷子是华籍美人
40,这视频加快了？
41,哭了
42,说效率低的 你怎么知道效率就低了 谁说的 怎么得出的结论 你去了解过没
43,说的没错
44,哭了
45,我趣，灵魂发问
46,泪目
47,阳先生就是脸长得像外国的，但人事土生土长的中国人
48,老中国人了
49,能发展经济就算成功
50,泪水止不住的留下来了啊！！！！
51,这是真的同志！！！！！
52,底下听懂没，瞎笑
53,现在我也会磨洋工了
54,我哭了
55,太对了
56,哈哈哈哈哈
57,哈哈哈哈哈哈
58,这是中国人啊
59,灵魂反问
60,哭了
61,看的透彻啊
62,缓存
63,说得对
64,好
65,说得好
66,说得好
67,说得好
68,好
69,灵魂拷问
70,看看现在
71,这哥们太厉害了
72,对吧。。这个对吧
73,猪性
74,对！！！！！
75,哈哈哈哈哈
76,英语挺溜啊。
77,公有制私有制
78,你为你自己干活，你跟我说没有积极性？！
79,确实
80,额
81,确实
82,哈哈哈
83,哈哈哈
84,认真摸鱼
85,真好
86,哈哈
87,这才叫积极性
88,好啊
89,气节
90,哭了
91,对
92,深刻
93,骨气
94,对
95,说得好！
96,醍醐灌顶
97,直接升华
98,透彻
99,明白人！
100,原来我们是美国啊
101,听哭了，原来我在美国
102,呵呵
103,尊严
104,哈哈哈
105,幸福指数 生活激情 对未来的憧憬 自我的觉悟 越超如I
106,实话
107,实话啊
108,大爷看得真明白
109,太对了
110,确实
111,我以为配音
112,破防了
113,盲猜有人提“积极性”
114,老山东人了
115,好
116,眼睛里进沙了
117,"那时的农民一天不到两毛钱,但是不用到处逃难躲天上的炸弹"
118,但是不是每个人素质都这么高
119,信仰坚定
120,我去
121,声音和长相不符
122,主观能动性
123,绝了
124,泪目
125,对
126,绝了
127,你币有了
128,明白人！
129,说美国公会的笑死爷了，你真美国公会什么都帮你啊
130,有道理
131,好！
132,说的太真实了
133,太接地气了
134,哎
135,刚刚就想到这句话：人活着就是一口气
136,出生且成长在中国
137,阳早与寒春的儿子
138,老先生父母都是共和国功臣
139,日本躺枪
140,摩登时代
141,说得好
142,厉害了我
143,这儿化音
144,现在，有个锤子地位
145,说得好！太对了！
146,好！
147,对！
148,这必是收了拜登的钱（观方说法）
149,醍醐灌顶
150,说得好
151,？？？！！！！
152,666
153,做好流血牺牲的准备
154,说得好
155,？？？？？？
156,现在我们都是美国了
157,和国内说我们这里不是慈善机构有的拼
158,说得非常好！
159,好纯正
160,币给你了
161,太是了
162,哭了真的
163,对
164,哈哈哈哈
165,在理！
166,我哭了
167,确实
168,只要是说好的，就行，有饭吃
169,我懂了
170,你再骂
171,敢说实话，佩服
172,nb
173,说得好
174,现在是卑躬屈膝
175,现在以是这样了
176,慕了
177,泪目
178,对
179,他妈妈好像有共和国勋章de，已经一百多岁了
180,老师好
181,慈禧太后TM哈哈哈哈
182,摸鱼合理
183,是科技
184,哈哈哈
185,大力发展国营企业，实现民进国富
186,国有企业才是民营企业
187,牛批
188,精神满足才是最大的幸福
189,那时候的工人是主人
190,人，要有骨气！
191,农民不受到威胁，饭碗是绝对稳的
192,夏天没空调
193,？
194,我们也有工会，不信去市民服务中心看看，别张口就来
195,不说工厂学校这个教书育人的地方都是这样了
196,哭了
197,就是
198,对
199,真正的工人
200,先赞为敬
201,没有
202,哈哈干得漂亮！
203,敬佩老爷爷
204,那时候才叫自由平等
205,注意，铁饭碗
206,透彻！觉悟很高！
207,精神富有
208,透彻！
209,那时候是精神富有
210,老爷子和蔼可亲啊！
211,老爷子
212,磨洋工真实
213,但是效率低怎么办
214,他是中国人民的儿子
215,点赞
216,确实如此
217,志气
218,真实
