,弹幕
1,然后写着写着你妈就让你做家务去了[doge]
2,好家伙没有擅长科目
3,然后我就漏题了
4,我是课代表 答案已经在我手上了
5,2
6,2
7,略！
8,2222
9,2
10,本人表示250人学校40名作业不带写的
11,222
12,我是拖到最后一天
13,2
14,2
15,我都是开学前一天写作业的
16,贴心
17,2
18,2
19,2222
20,这得分学科
21,好家伙，我一切过去，回不来了hhhh
22,3，我就算这种的……吧?
23,2
24,抄答案连题都不看的举个爪子
25,2222
26,我靠，真实，后天开学，，，，
27,222222
28,2
29,2
30,2
31,2
32,明明是看答案没有过程先放一边有选择写选择
33,什么说的一点都不对
34,2
35,亿视同仁
36,可惜我只剩一天了
37,最后一刻做作业动力加200％
38,2
39,2
40,2
41,2
42,最后3天
43,2
44,普通初三学生，600页左右作业，超个der（doge）
45,2
46,1
47,2
48,2
49,1    1
50,2
51,草，真实，想哭
52,222
53,2
54,111
55,2222222
56,2
57,2
58,人间真实
59,222222
60,我还会用脑子？
61,22222222
62,111
63,22222222
64,2
65,22222
66,《提升》
67,全不会
68,《好》
69,2
70,222222
71,好家伙，寒假刚好剩三天
72,2
73,222222
74,2
75,12
76,1
77,1 2（doge）
78,2
79,11111
80,222
81,1
82,大神竟是我自己666
83,大神竟是我自己
84,2
85,2
86,22222222
87,1
88,2222
89,2
90,2
91,2
92,2
93,2
94,2
95,22222
96,2
97,12
98,贴心
99,贴贴
100,2、
101,1
102,难道考试刚好是寒假作业的题目？？？
103,111
104,今天是二月22号，距离开学还有不到一周时间……（痛苦面具）
105,贴心
106,2
107,2
108,小丑竟是我自己
109,12
110,贴心
111,来了
112,真少
113,u
114,我宁愿写卷子我也不宁愿练字
115,2
116,2
117,别别别，太像了
118,120张卷子
119,2
120,1
121,学霸竟是我自己
122,2222222
123,2222222
124,最后一晚再做
125,没有解析过程只有答案怎么解
126,1
127,2
128,2
129,2
130,12
131,11111
132,1
133,我随缘
134,2
135,贴心
136,集合
137,2
138,2
139,贴心
140,某对作业 
141,2
142,2
143,我们也就发了10本作业
144,不不能做到第一步就行，没准都不动作业-_-||
145,2
146,2
147,22222222
148,寒假的最后一天
149,寒假第一天
150,3
151,2
152,这三天完成有点够呛啊
153,1
154,夸克
155,我也是
156,2
157,3
158,2
159,2
160,签到
161,抄写呢
162,2222222
163,真实
164,略
165,全都要想好久
166,2
167,2
168,2
169,2
170,2
171,3
172,2
173,2
174,2
175,22222222
176,贴心！
177,我们卷子都是一套一套发
178,2
179,一百六十三张我想哭
180,21212
181,22
182,数学答案放那给你抄都头痛
183,肝肝肝肝
184,边肝边看
185,2
186,222222
187,我们每天都检查
188,我是人在教室思想在教室原在家里思想在手机
189,♡
190,1
191,难道不是都发答案吗？
192,是我了哈哈哈
193,贝占惢
194,2
195,2
196,2
197,2222
198,2
199,2222222
200,提前开学了，哭死
201,2
202,2
203,2
204,2222
205,666
206,2
207,12
208,2
209,2
210,2
211,2
212,222222
213,2
214,22
215,最后一天
216,真实
217,1
218,222222
219,111111
220,1
221,贴心
222,2
223,2222
224,2
225,我我们光数学就12张试卷
226,11111
227,咱读书笔记也就100多张
228,贴心
229,2
230,22@
231,2
232,2
233,2
234,2
235,2
236,2
237,贴心
238,《错题本》
239,自 由 主 义
240,。。。。。
241,作业帮小猿搜题广告空位
242,半小时？？？？
243,每天写一道题，然后最后一星期疯狂补
244,2
245,从头跳到尾怎么办
246,贴心
247,2
248,一天了，还有救吗
249,这还要教？不会抄？
