,弹幕
1,朱广权！
2,表白小撒
3,康帅康帅康帅康帅康帅！！！
4,撒贝宁撒贝宁撒贝宁撒贝宁
5,芳心纵火犯
6,撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒
7,芳心纵火犯撒贝宁
8,董卿
9,我觉得应该是“还记得今年已高考676分报考北大考古系的钟芳蓉吗？”
10,董卿女神！！
11,表白撒老师
12,好评
13,音乐也很走心天哪
14,心有诗书气自华
15,瓜即！
16,董卿董卿董卿董卿董卿
17,朱广权
18,董老师！
19,广权
20,都爱！！
21,爱死董卿老师啦！
22,注脚？
23,董卿呀
24,小撒
25,撒撒撒撒撒撒撒撒撒撒撒撒
26,芳心纵火犯
27,超级喜欢撒老师
28,撒老师
29,撒贝宁
30,撒撒撒撒撒撒
31,撒撒撒撒撒撒撒撒撒撒撒撒撒撒
32,喜欢撒老师
33,撒撒撒撒撒撒撒
34,撒撒撒撒撒撒
35,芳心纵火犯
36,表白撒撒
37,撒撒撒撒撒撒撒撒撒撒撒撒
38,小尼
39,撒贝
40,见卿进
41,杀乌鸡
42,董卿.
43,这句被我的同学写在黑板上了！
44,撒撒
45,BGM太好听了
46,撒撒
47,撒撒
48,表白董卿姐姐
49,董卿好美！！！
50,……
51,表白我撒撒
52,原来这是董卿姐姐说的！
53,表白撒撒
54,撒老师
55,撒老师！
56,给sls排面！！！！！！！！
57,月考考题
58,董卿永远的神
59,芳心纵火犯！！
60,见卿进！！！
61,撒撒撒撒撒撒
62,董卿！！
63,董卿老师美人
64,撒撒……
65,撒贝宁和尼格买提！
66,尼尼！！
67,美哭了
68,小撒啊啊啊
69,董卿姐姐！！
70,表白我撒撒
71,撒撒撒撒撒撒撒撒撒撒
72,撒撒撒撒撒撒撒！见封面上的我撒就进！爱死他了！
73,表白董卿
74,撒撒
75,尼尼！！！
76,小孩子才做选择，我都要
77,表白董卿
78,腹有诗书气自华
79,好！
80,撒撒!
81,董卿我爱你
82,见封进
83,撒撒撒
84,嘎嘎嘎
85,广权排面！！
86,广权！！
87,我去牛！
88,！！
89,！！！
90,金句！！
91,撒撒！
92,很难不一键三连
93,撒撒！
94,你币有了
95,卿姐真爱！
96,我们期末考就考的这个材料作文
97,示例也好好
98,撒贝宁！
99,撒撒！！
100,撒贝宁！！！
101,熠熠生辉，照我心扉
102,表白康辉
103, 啊啊啊啊董卿老师！！！
104,董卿女神!!!!
105,撒贝宁和董卿！
106,卿卿卿卿
107,朱广权第一啊
108,哈哈
109,青柠(卿宁)我爱了！！！！！！！
110,月朗风清心亦情，万中无一撒贝宁
