,弹幕
1,结果研还没考，房子塌了
2,潮汕妈妈必备粥+火腿肠！hhhhhh
3,2
4,真实
5,真实
6,真实
7,但是好痛苦啊
8,真香
9,111
10,真实
11,2
12,哈哈，我根本起不来
13,22222
14,真实真实真实
15,10分钟复10分钟，10分钟何其多
16,简悦儿
17,豆浆加糖最好
18,真实
19,林俊杰毛不易朱一龙何运晨蒲熠星
20,222
21,举手
22,深深啊啊啊啊啊！！
23,1
24,真实
25,时代少年团 于贞
26,周杰伦
27,3点 我起床了
28,2
29,真实
30,GIDLE BP IU 大华 TF！
31,豆浆油条
32,真实
33,真实
34,想见TFBOYS和时代少年团 TT
35,真实
36,许奕
37,可是尿意超管用
38,1
39,20分钟解决化妆
40,真实
41,1111111
42,真实
43,真实
44,无 早上吃空气
45,2
46,2
47,2222222
48,真实
49,辫儿，我轩
50,真实
51,举手
52,真实
53,稀饭
54,我的同桌九点睡觉。。。
55,2
56,时代少年团
57,IU
58,2
59,2
60,举手...
61,中国boy
62,毛不易
63,严浩翔
64,妹妹
65,我说米饭你信吗
66,面包牛奶
67,2
68,姚琛姚琛姚琛姚琛
69,222222
70,手
71,手
72,手
73,记得开美颜
74,真实
75,Blackpink!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
76,2
77,22222
78,真实
79,真实
80,起不来
81,雷姆
82,这是
83,周深！！！老公啊！！
84,我要去见周深！！啊啊啊我要好好努力！拼命！老公我来啦！
85,2
86,2
87,是早饭
88,lee thanat，tay，offgun，bkpp！！！冲冲冲高考完考得好就飞泰国！
89,lee
90,我就没见过早餐店老板卖的早餐
91,我没醒
92,摸下手机刷几条视频就醒了真的
93,告诉你（不可能）
94,真实
95,没有目标
96,猪起了我都没起
97,不吃
98,2
99,每早刷一遍康康
100,太冷了又缩进去
101,dei
102,手
103,真实
104,这个特别有用
105,1
106,真实
107,真实
108,周杰伦演唱会！！
109,肖战王一博！
110,不吃
111,2
112,真实
113,真实
114,真实
115,是我了
116,有的，宿舍十多个人聊天，越聊越兴奋，刚开学的时候忍了一个星期，忍不住了就直接开吼了
117,2
118,真实
119,2
120,iKON!!!
121,真实
122,雷姆雷姆雷姆雷姆雷姆
123,空气
124,空气
125,1
126,IU
127, IU 
128,李洙赫!
129,王一博!
130,胡辣汤
131,真实
132,2
133,煎饼果子
134,唉得劲
135,真实
136,玩到一点了Ծ‸Ծ
137,煎饼果子yyds
138,戳爷！！！！！
139,对对对这样真的超好吃！！！！
140,2
141,真实
142,zzh
143,我想见康康
144,22222
145,真实
146,纸片人
147,空气
148,222222
149,举爪
150,真实
151,有有有
152,2222222
153,1.5
154,同款
155,真实
156,我都是换完衣服继续睡
157,早饭=午饭
158,22222
159,2
160,2
161,可不就是现在的我吗
162,我是醒来时闹钟已经被关了完全不记得自己关过闹钟像断片了一样
163,迪丽热巴
164,真实
165,2
166,真实
167,连闹钟都听不见
168,想去泰国见MEWGULF!!!!
169,我
170,真实
171,zsc
172,刘昊然刘昊然
173,刘昊然
174,实锤了
175,真实
176,道枝骏佑
177,真实
178,王嘉尔
179,22222
180,真实
181,真事
182,2
183,可以放一段音乐，然后去洗漱
184,豆浆
185,28na
186,小学可乖了看完天气预报就睡觉...
187,为墨香
188,TFBOYS
189,真实
190,哈哈哈
191,好好学习，一起回家
192,是一个普通的stupid
193,22222222
194,真实
195,麦片
196,真实
197,真实
198,真实
199,比伯，戳爷
200,2
201,陈小纭
202,白开水
203,我直接不脱衣服
204,2
205,阴阳怪气！！！！
206,蔡徐坤
207,蔡徐坤
208,2
209,前面同款听不见闹钟声音
210,下次一定
211,易烊千玺
212,再骂再骂
213,bkpp！
214,凯里欧文
215,22222222
216,粥
217,真实
218,海味馄饨
219,李斯丹妮！！！
220,华晨宇！！！
221,蔡徐坤
222,稀饭油条
223,222
224,我小学九点半就睡了
225,222222
226,真实
227,真实
228,煎水饺
229,张艺兴！！！
230,2
231,真实
232,饅頭
233,2222
234,22222
235,真实
236,为自己努力，加油！
237,海胆
238,ak！！刘彰
239,1
240,时代少年团
241,时代少年团
242,TNT等我！！！
243,2
244,真实
