,弹幕
1,妈妈
2,不是徐涛的冲刺背诵笔记吗
3,考研词汇闪过呢
4,今年的共创不错，和考场上感觉很像
5,21基础好，今年数二题随便120+
6,今年疫情在家和学校反复横跳，寄书总共花了200多
7,妈
8,妈！！！！
9,晕了
10,妈妈！
11,要！
12,百词斩呢
13,默默
14,要
15,妈妈我爱你
16,这时候我要是叫姐姐是不是多多少少有点占便宜的嫌疑
17,红宝书从考完研的学长那顺了耶！
18,卡子姐好可爱呀爱你！！！
19,要要要
20,要哭了
21,我真的蒙了，太多了
22,妈
23,妈
24,好舒服的感觉
25,妈妈！
26,卡子的大题 背的我快乐 
27,好！
28,永远不会过气
29,要要要
30,妹子 我爱了
31,快开学了买，直接寄学校
32,！！！
33,妈！
34,这么说吧，妈卡爸卡yyds！
35,我的妈
36,你的卧蚕，我爱了
37,要！
38,可以讲一下管理类联考吗
39,我是21的，
40,妈
41,考研真相答案是哪个
42,去年疫情回家一本书没带 九月上学扛了一箱子书回校的
43,要要要
44,妈卡爸卡
45,拼夕夕
46,妈妈o(≧v≦)o
47,不会过气我们挺你
48,头晕，怎么这么多卷
49,6块钱5本书
50,妈
51,妈！
52,中公9.9别买，排班一塌糊涂，完型来回翻页，里面夹杂着二维码，越写越烦躁。推荐加两块钱买新东方的字又大有舒服
53,妈妈
54,虽然汤神人特别好但是我感觉还是李永乐团队更靠谱
55,要要要要要要要要
56,不考数学
57,宇哥呢
58,汤老师不配吗？
59,妈！
60,妈！
61,完了完了，买了绿色
62,我直接一声妈
63,妈妈！！！
64,卧槽，你整容了吗！！
65,好家伙，原来竟是如此
66,多
67,有点像天使萌
68,妈妈
69,完了完了买了绿色的了
70,多多多多多多多多多
71,妈！！！
72,我也不背单词
73,要
74,好！
75,要！！
76,你不会过气。
77,求！
78,咸鱼不香吗？
79,妈
80,要
81,武忠祥真的好好
82,妈！！！
83,妈!
84,妈妈妈妈妈
85,妈妈妈妈妈
86,妈！
87,妈！
88,880 9.9
89,牛逼
90,111
91,非得说人家长相 无语
92,好好听 。不好吗
93,是我没错了
94,爹
95,玛卡巴卡
96,妹子真好看 嫁给我吧
97,不过期！！！
98,加一，知米真的挺不错的
99,别人在分享考研的东西 bb脸干什么 有病你们这些人
100,突然觉得自己一定要考上研究生
101,书单
102,泪目
103,好好好哈哈哈
104,妈妈再爱我一次
105,妈妈再爱我一次
106,空卡好细心
107,被黑？透题算“被”黑？
108,我看的时候9块钱全套，一直在促销
109,攻击up长相的祝你考不上
110,老婆老婆老婆
111,太可爱了吧。统一都给我三连
112,爱学姐
113,赞赞
114,每年考完研新东方都会8.9甩卖当年的单词书
115,老婆
116,感觉眼睛有点奇怪
117,宇哥不可吗
118,妈妈
119,卡子牛皮
120,你币有了
121,nice 开头讲真棒！
122,妈妈！！！！
123,爱了爱了
124,老婆
125,老婆我爱你
126,老婆
127,好假，一直在说李永乐，其他优秀的老师都不提
128,妈！
129,姐姐  专业课是数学应该怎么学啊  学校自主命题
130,哈哈哈哈哈
131,_，，，，，
132,wok觉得可以
133,shu sue
134,shu
135,我很吃姐姐的颜！！！
136,我很吃姐姐的颜！！！
137,妈妈
138,妈妈
139,妈！！！！
140,卡子姐长得有福，想捏脸
141,妈
142,人家看书单你看开眼角，牛啊
143,www脑瓜好疼
144,880不错
145,妈！
146,我买完了 我哭了
147,化妆要体面！
148,要要要要要
149,是真的看不进去大堆文字
150,要啊！
151,没过四级都能考研吗
152,爱你！！
153,姐姐好美
154,五钟祥好评
155,太真实了
156,妈！
157,完了，我搜索出来的书本有黄又绿
158,要要
159,妈！！！！
160,真实
161,武忠祥，永远的神
162,空妈太暖心了
163,妈妈我爱你！！！！
164,妈妈！！！！
165,妈
166,真实
167,绝对不会过气！！！
168,哈哈哈好！！！！！！
169,可惜不考数学
170,妈妈！我爱你！
171,谢谢卡子姐
172,妈！
173,冲田杏梨仿妆
174,可以的！不会过气的哈哈哈怎么可能
175,妈妈！！
176,妈妈
177,是黑眼圈还是眼影
178,强推墨墨真的
179,没必要
180,已经买了呜呜呜
181,妈
182,妈！
