,弹幕
1,我想静静
2,我看的书上面没有啊（手动痛苦面具）
3,牛逼。
4,戳你
5,步入正题
6,老婆
7,小猿搜题
8,作业帮
9,下载个小站托福不比这方便
10,我想静静
11,我不想
12,。。。就这啊呃
13,不会下载的
14,好麻烦 看着都不想用
15,那我能想你一下么
16,啊啊啊啊啊啊 我也爱 东野圭吾！！！！爱死了
17,作业帮
18,静静是你了
19,直接不可能
20,我想静静
21,没有用的
22,全能王没有office lens好用
23,冲着白夜行我给好评
24,付费用的
25,令人心动的offer2！
26,主要我看的书那个软件上不一定有啊
27,这个软件要钱的
28,？
29,我想静静了
30,高考听力都考完了我才看见。。。
31,我想静静
32,看书跟任务一样……
33,学习？不可能
34,？
35,………
36,欢迎回来
37,这个照的好清楚！用了一年左右了！
38,这个真的超好用！每次阅读都在记录！
39,？
40,同款卫衣
41,王者荣耀
42,没必要吧
43,同款卫衣
44,没电脑
45,扫描全能王下了没开过几次（虽然我用来扫描画的）
46,？？？就这
47,oh
48,不是我真的不想读
49,白夜行！
50,瞧不起谁呢
51,没特别之处啊
52,抱歉没有
53,心动了，想下载
54,震惊  b站不是学习软件？！
55,没电脑
56,好
57,我靠，post it这个真的好棒
58,收藏比赞多系列
59,口语100
60,初三狗默默流下了眼泪。
61,我把小说记录了，就能发现两天一本的速度不间断的前进着
62,妈呀东野圭吾，我的娘嘞，
63,同款卫衣
64,就这？
65,找不到阅读记录app下载
66,BGM牛啊
67,宝藏up主
68,戳戳
69,抖音和b站原来能同时做视频啊，还以为不让
70,请问伪装学渣可以吗
71,啊offer
72,offer!!!
73,同款卫衣！
74,时光序更好用，功能更多，阅读记录要钱
75,时光序更好用，不要钱，阅读记录要钱
76,时光序也可以
77,同款手机壳
78,好麻烦
79,oh，是新闻学概论啊...
80,直接用掌阅不行吗？
81,b站
82,收藏比赞多系列，哈哈
83,同款衣服啊，我身上这件就是啊
84,哇哇
85,这个BGM是团子唱的！！！！！
86,吹爆白夜行
87,云书签
88,我有用这个
89,喔喔这个好棒
90,同款手机壳。哇咔咔
91,师父别念了
92,白夜行！！！
93,我想静静
94,有的搜不到
95,头何在？
96,我已经有了
97,同款卫衣耶
98,宝藏up主
99,重要的不是书中的内容
100,记录这个干嘛？
101,你说呢
102,时光序也有
103,这个我有用 很好用的 推荐
104,阅读记录
105,电脑哪里送
106,软件有了
107,要会员就算了
108,听说要会员？
109,戳你
110,要会员……
111,我买一本新的资料，然后用这个软件每一页拍下来，再把那本资料退了。不就等于白嫖吗？
112,还是白描好用。
113,白描也不错
114,这个真的好用！
115,为啥我啥书也找不着？
116,果断划走
117,我想静静。
118,这个我有!
119,很实用！
120,终于找到你了，好多人都在想你
121,读书的时候打开手机，然后阅读就结束了
122,这个我一直在用
123,新闻学概论都有……
124,你清醒一点
125,正在用。这个蛮好
126,及时雨啊
127,哪个静静，睡前消息的哪个嘛？
128,同款综艺
129,救星！
130,谢谢 up 厉害了
131,戳戳，最近就在找怎么做听写的视频，无奈b站关于这方面讲的up主太少了。
132,来了
