,弹幕
1,我要报清北，因为做了清华北大的题
2,江苏考生表示也是见世面考试
3,大一狂喜
4,大一狂喜
5,事实上地理这次很简单
6,大一狂喜
7,大一狂喜
8,上大学后学过，在日本山茶花是赠给si人的
9,对福建考生表示考完后裂开
10,高三哭了
11,大兴机场:就你也配上大学？
12,听力分数24
13,24听力分数
14,山东听完了
15,圣都高四
16,大一狂喜
17,结果发现垃圾也要分类！
18,卧槽我装的食物
19,减压考试？我不配是个河北人
20,高一瑟瑟发抖
21,大二来了
22,河南人狂喜
23,山东幸灾乐祸（
24,高一一脸懵逼
25,高三哭泣
26,大一狂喜
27,哈哈  都吐槽成这样了还做广告啊
28,大一狂喜
29,山东考生请求出战
30,山东考试请求出战
31,河北减压考试
32,高一恐慌
33,哈哈哈哈哈哈哈哈哈哈
34,高一疯了
35,大一狂喜
36,大一狂喜
37,辽宁呢，辽宁呢！？陪跑辽宁我哭了啊
38,哈哈哈哈哈哈广东真实
39,哈哈哈哈哈哈哈哈
40,曲率是真的损
41,大一狂喜
42,大一狂喜
43,嘿嘿嘿我考得日语
44,我比八省联考更恨小猿搜题
45,哈哈哈
46,哈哈哈哈哈哈
47,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
48,我没了
49,广东初见
50,英语听力我做感觉还可以，认真听很简单（江苏高二学生）
51,英语听力靠直觉比听简单
52,高三崩溃呀
53,来听听今年山东今年听力
54,高二发抖
55,哈哈
56,大兴机场
57,高一沉默
58,研究生狂喜
59,卧槽 我英语续写就是这么写的 但是也把钱写了哈哈哈哈哈哈哈哈哈哈哈哈
60,高二惶恐
61,重庆高三学生表示太真实了
62,其实湖北物理大题还好
63,高二瑟瑟发抖
64,安徽高三吃瓜
65,大一狂喜
66,笑着 看完
67,哈哈哈哈
68,66666
69,衡水减压啊 河北其他哭死
70,这里说的不是题目同时出现在试卷上，是福建两题都考没有选做
71,呵
72,高一新生英语听力就错一个
73,大一狂喜
74,草福建最牛逼了两个全考
75,大一狂喜
76,哈哈让我笑的鱼尾纹都出来了
77,我写的装钱还回去哭了哭了
78,大一狂喜
79,经历了大联考还好
80,啊啊啊
81,高二考生笑容消失
82,江苏常态
83,恨江苏人吧
84,太对了！！！
85,湖北考生
86,hhhhhhhhhh
87,看戏
88,高一害怕
89,福建哭了
90,大一狂喜
91,猝不及防
92,哈哈哈哈哈哈哈
93,河南狂喜
94,大一狂妻
95,高三懵掉
96,辽宁何德何能跟福建一张卷
97,鲲哥带你学数学
98,也许我这辈子都不会考上清北，但是我可以做清北的题
99,初一围观(←←)
100,高三面对！
101,大一狂喜
102,广东大一来凑热闹
103,奈斯装的是Q
104,高三被支配的恐惧
105,大一狂喜
106,河北狂喜
107,大一狂喜
108,哈哈哈哈哈哈哈哈哈哈哈哈
109,哈哈哈哈哈哈哈哈哈哈
110,大一来凑热闹 哈哈哈哈哈哈哈
111,大一狂喜
112,哈哈哈哈哈哈哈
113,paper bag，是钱包不是纸袋！草！
114,和我合租的高三生考完物理回来就吹自己全会
115,大一狂喜
116,求求你了河北不是只有石家庄和衡水
117,大一狂喜
118,当时看到题我就傻了
119,扔地上踩一脚那个，这是我们英语老师经常说的
120,是啊我不配
121,福建落泪
122,福建哭晕在考场，虽然我是高二的
123,就因为八省联考我一初中生搬了三天的书桌 手都废了
124,大一狂喜
125,江苏考生非典型河北人狂喜
126,高一狂喜
127,湖北的物理！
128,大一狂喜
129,大一狂喜
130,高二慌张
131,高三大哭
132,湖南适应性考试
133,为什么啊这是
134,对啊为什么！
135,福建省考生再次哭泣
136,福建考生落泪
137,高二害怕
138,哈哈哈哈哈哈哈哈要哭了
139,大一狂喜
140,深圳考生狂喜
141,不 考号也有可能不对
142,哈哈哈
143,湖北表示陪跑
144,痛苦流泪
145,英语听力
146,是啊
147,不会
148,荣幸
149,大兴机场我不配
150,湖北不是秋雨
151,高三哭了
152,江西高二学生笑出了声哈哈哈哈哈哈哈哈
153,大一狂喜
154,大一狂喜
155,大衣狂喜~
156,高三落泪
157,大一狂喜
158,大一狂喜
159,高三落泪
160,三卷狂喜
161,大一狂喜
162,好家伙现在续写要教别人用千斤顶？？
163,噗哈哈哈
164,高一狂笑。
165,坑爹考试是什么意思呢？
166,喉咙卡痰。。。
167,猝不及防
168,福建真是又菜又爱玩
169,高一卑微
170,措不及防
171,念Rap真实了
172,措不及防
173,大一狂喜
174,好家伙钉钉子，直接给我送走
175,大一狂喜
176,大一狂喜
177,这里初中生，表示做八省联考英语听力只错了4道
178,湖南考试再此
179,哈哈哈，
180,害，我都没看懂
181,江苏大一狂喜
182,好家伙
183,大一狂喜
184,还有人以为纸袋里是千斤顶哈哈哈
185,大一不请自来
186,大一狂喜
187,江苏考生表示你们真的不是在陪跑
188,江苏考生哭了，其他省真的不是在陪跑
189,哈哈哈哈哈高一旁观！
190,福建
191,福建落泪
192,河北江苏适应性考试 湖北见世面考试
193,大一狂喜
194,福建考生很赞同
195,高一看戏
196,？？？？？？
197,大一狂喜
198,本来就是物构和有机全考啊
199,大一狂喜
