,弹幕
1,《你能六秒说出8句英文吗？I can！》
2,好的我知道了安妮海瑟薇
3,你可以谷歌一下咕噜咕噜（狗头）
4,这个乡村教师很有水平了，这些孩子都是高原那边教育相对落后的那一带，已经很厉害了！
5,这里视频剪了一下，看来海瑟薇老师还是笑场了哈哈哈哈哈哈哈哈哈哈
6,印度的英语是最正宗的（doge
7,我tm笑死
8,姆爷
9,慢？
10,其实老师可能都是fendi哈
11,砍优踹?
12,哈哈哈哈哈哈哈哈
13,rap god
14,哈哈哈哈哈
15,哈哈哈哈哈哈
16,哈哈哈哈哈
17,终于来了
18,哈哈哈哈哈哈哈哈
19,艾米阿姆
20,视频里的那个男的他笑了
21,i want you bro
22,好帅呀
23,you looks like an actor 
24,说实话姆爷没她快（狗头）
25,来了，这个笑死
26,你好帅啊
27,good boy？？？
28,姆爷媳妇儿？
29,我听不到啊啊啊
30,《初音未来的消失》
31,哈哈哈哈
32,哥哥好帅
33,我就是来看帅哥的
34,茶道赛高
35,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
36,哈哈哈哈哈哈哈哈哈哈嗝
37,我没听懂
38,埃米纳姆哈哈哈哈哈
39,安妮海瑟薇你回来了
40,师傅别念了
41,姆爷笑死
42,怎么有点咖喱味!
43,师傅别念了.jpg
44,哈哈哈哈哈哈哈哈哈哈 哈哈哈哈
45,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
46,还真像安妮海瑟薇
47,哈哈哈哈哈哈哈哈哈哈哈哈
48,哈哈哈哈哈哈
49,哈哈哈哈哈哈六六六
50,up好可爱
51,哈哈哈
52,好可爱
53,青出于蓝胜于蓝
54,哈哈哈哈哈哈哈哈哈哈哈哈哈
55,就问快不快吧
56,哈哈哈哈哈哈哈哈哈
57,哈哈哈哈哈哈哈哈哈
58,ahhahahahhaahahahahahaha
59,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
60,砍油揣？
61,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
62,前方高能
63,I CAN
64,哈哈哈哈哈哈哈哈经典围巾
65,美国人真不行
66,脑子疼
67,哈哈哈哈
68,可爱
69,我指定是不行了
70,哈哈哈哈哈哈哈哈哈哈
71,这位老师好温柔
72,您好可爱
73,哈哈哈
74,什么哈哈哈哈
75,Can you try
76,BGM：Talk-khalid
77,rap god
78,哈哈哈哈哈哈
79,哈哈哈哈哈哈哈
80,rap god？？
81,rap god
