,弹幕
1, 举     足    轻    重
2,哈哈哈哈就是
3,哈哈哈哈哈哈哈
4,哈哈哈哈哈
5,哈哈哈～
6,花儿~
7,哈哈哈哈哈哈夺笋
8,餐厅都这样，是前菜，有时候甚至前菜不拿这个
9,《可亡也》
10,给大熊猫留口口粮吧
11,姐姐好飒！大眼睛眨呀眨，说的真好！
12,俺们过年过节请客吃饭都是上鸡鸭鱼肉，谁上泡菜呀
13,东北酸菜就是泡出来的
14,哈哈哈哈哈
15,绝了哈哈哈哈哈哈哈哈哈
16,杀伤力不大，侮辱性极强
17,哈哈哈哈哈哈哈哈哈
18,哈哈哈哈哈哈哈姐姐
19,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
20,先笑为敬
21,哈哈哈哈
22,哈哈哈哈哈哈
23,杀人诛心！
24,还有关乎森林的肉蛋奶，淦
25,哈哈哈哈哈哈哈哈哈
26,赞！
27,虾仁猪心
28,谁专门给淹大白菜弄一冰箱啊
29,就是腌白菜咸菜吗
30,下次发出来怼他们
31,哈哈哈，我们家的泡菜要不是放犄角旮旯，要不就埋土里，还真是
32,格局小了啊
33,格局笑了啊
34,哈哈哈哈哈哈哈哈哈哈哈哈
35,爽！
36,棒
37,哈哈哈哈哈哈哈哈
38,韩国棒子就是屑
39,文化人
40,哈哈哈哈哈哈哈哈哈哈哈
41,姐姐太给力了！
42,姐好会啊
43,正道的光
44,哈哈哈哈哈哈哈
45,因为它自己没有所以就想多占点
46,哈哈哈哈哈哈哈笑死我了
47,靠着山东才能满足泡菜需求的棒子真可怜
48,哈哈哈哈哈哈
49,解气啊解气哈哈哈哈哈
50,哈哈哈哈哈哈哈解气解气哈哈哈哈哈
51,哈哈哈哈
52,哈哈哈哈哈哈
53,极度舒适！
54,韩国：你的文化很好不过很快就是我的了
55,怼人排面！
56,再来一遍
57,哈哈哈哈哈哈哈哈
58,凡尔赛？？？
59,66666
60,妙啊
61,哈哈哈哈哈哈哈
62,酷毙了
63,说得好
64,哈哈哈哈解气
65,杀人诛心，姐姐好棒
66,正道的光
67,哈哈哈哈哈哈哈哈哈
68,伤害性不大但是侮辱性极强
69,虾仁猪心
70,说的好～
71,再来一遍
72,酸菜鱼？
73,哈哈哈哈怼的好
74,夺笋呐
75,却是如此，哈哈
76,牛逼哈哈哈哈哈
77,虾仁猪心
78,爱了爱了
79,伤害性不大，侮辱性极强
80,泡菜不是埋地下的吗。光头强如是说
81,哈哈哈哈
82,哈哈哈哈哈哈
83,哈哈哈哈哈哈哈
84,哈哈哈
85,哈哈哈哈
86,中国有朝鲜族  所以！韩国的东西就是中国的！当然了泡菜是中国原产的
87,保护
88,舒服了
89,无礼而侮大邻可亡也。
90, 味儿太大
91,哈哈哈哈
92,56个星座，56支花
93,56个星座，56支花！
94,即兴评述
95,再来亿遍
96,文化人
97,家庭环境不一样哈哈哈哈
98,姐姐好飒
99,虾仁猪心
100,哈哈哈哈哈
101,哈哈，厉害
102,好狠
103,“虽然不懂，但是这句话肯定是我们韩国的思密达”
104,的确不能当正菜
105,哈哈哈哈哈哈哈哈
106,哈哈哈哈哈
107,杀疯了姐姐
108,高
109,你这个眼真大
110,妙！
111,文化人就是不一样
112,他们听不懂啊哈哈哈
113,侮辱性极大
114,喜欢
115,对对对
116,降维打击。。
117,哈哈，对对对
118,对呀
119,怼舒服了
120,nb
121,翻译 上不了台面
122,哈哈哈哈哈哈哈哈哈哈哈
123,哈哈哈哈哈哈哈哈哈哈哈哈怕
124,姐姐厉害哈哈哈哈哈哈哈哈哈哈哈哈哈哈
125,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
126,犄  角  旮  旯
127,举   足    轻   重
128,太会了
129,牛
130,哪有地方搁那玩意儿
131,哈哈哈哈哈哈哈哈哈
132,可不是嘛
133,对呀对呀
134,《没地方》哈哈哈哈哈哈杀人诛心
135,《放不下》
136,上不了席面
137,哈哈哈哈哈哈哈
138,没有冰箱不正宗那是不是说韩国泡菜历史没有冰箱长
139,哈哈哈哈哈哈哈哈哈哈哈
140,真痛快
141,太帅了
142,没地方
143,韩国穷哈哈
144,韩国穷罢了
145,落后的国家啥都是宝贝哈哈哈
146,？？？
147,这叫辣白菜
148,哈哈哈哈哈
149,妙哉
150,家庭环境
151,也不一定在四川这就是下饭的神菜
152,我们这边不叫泡菜
153,哈哈哈哈哈哈哈哈哈哈哈
154,姐姐厉害
155,哈哈哈哈
156,霸气
157,学到了
158,可亡也
159,泡菜不都是饭店免费赠送的吗……
160,这不是拍桌子走人了，是被指指点点骂好几年
161,哈哈哈哈哈哈哈哈哈哈哈
162,哈哈哈哈哈哈哈哈哈
163,对啊
164,上不了席面
165,降维打击
166,你敢惹我们的带寒冥国?你没了doge
167,反复鞭尸
168,哈哈哈哈哈哈哈哈
169,姐姐，你太美了！
170,xsw
171,666
172,韩国人没几个脑子正常的
173,没毛病
174,哈哈哈哈
175,哈哈哈哈哈哈好的
176,哈哈哈哈哈哈
177,牛肉普通韩国人都吃不起吧
178,就是就是
179,好漂亮的主持人
180,哈哈哈哈哈哈哈
181,好漂亮的主持人
182,那确实！
183,哈哈哈哈哈哈哈哈哈
184,妙啊
185,哈哈哈哈哈哈
186,韩国，无礼，还侮大邻，可亡也
187,给力
188,hhhhh
189,哈哈哈哈哈哈哈哈哈哈哈
190,哈哈哈哈哈哈哈哈
191,哈哈哈哈哈哈哈哈哈哈哈哈哈
192,韩国的泡菜就是咱们的咸菜，都上不了桌
193,犄   角   旮   旯
194,哈哈哈哈哈哈哈
195,哈哈哈哈哈哈哈哈哈哈哈
196,哈哈哈哈哈哈哈哈哈哈哈哈哈
197,粉了
198,哈哈哈哈哈哈哈
199,噗哈哈哈哈哈哈nb
200,hhhc
201,虾仁猪心
202,牛牛牛
203,家庭环境
204,投币了投币了
205,nbnb哈哈哈哈哈哈
206,哈哈哈哈哈哈哈哈哈
207,解释不了了哈哈啊哈哈哈哈哈
208,对了
209,是真的，在家里的犄角旮沓一个两个大坛子
210,杀伤力极强
211,这波嘲讽我给满分
212,爽
213,哈哈哈哈哈哈极度舒适
214,哈哈哈
215,真是！
216,丸子！
217,虾仁猪心
218,酸菜缸子都只能放走廊外屋地
219,真的哈哈哈哈哈我家腌的泡菜都放在阳台储藏室里
220,哈哈哈哈哈哈哈哈哈哈
221,哈哈哈哈哈哈
222,哈哈哈哈哈哈
223,哈哈哈哈哈哈
224,欧
225,成千上万种菜难道都特别研制个冰箱？
226,哈哈哈哈哈哈哈哈哈
227,牛逼
228,全文背诵
229,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
230,哈哈哈
231,韩国人：今天捡了坛泡菜，我是不是要发了，得去买彩票
232,差你一个泡菜
233,别，宇宙大爆炸起源于韩国（狗头）
234,哈哈哈哈哈哈哈哈
235,哈哈哈哈
236,拿我当小菜
237,哈哈
238,泡菜坛腌放房间或者厕所角落里
239,不太理解，韩国人用简体中文？
240,虾仁猪心
241,没地方
242,哈哈哈哈哈哈哈
243,哈哈哈哈哈
244,哈哈哈哈哈
245,朱门酒肉臭，路有冻死骨（bushi）
246,确实
247,哈哈哈哈确实
248,出书吧
249,我们家没有冰箱
250,哈哈哈哈哈哈好啊
251,思密达~的朋友哈哈哈
252,哈哈哈哈哈哈说得好
253,妙蛙
254,八大菜系
255,哈哈哈哈哈哈哈哈哈哈哈哈哈爽了
256,支持！！！
257,哈哈哈哈
258,哈哈哈还真是
259,好活儿当赏
260,hhhhhhhhh
261,杀伤力极高，侮辱性极强
262,哈哈哈哈哈哈哈哈哈哈哈哈
263,侮辱性强上加强哈哈哈哈
264,泡菜一般都是犄角旮旯的大缸里面，有时候我妈不说我都能忘了还泡着泡菜呢
265,我老公就是朝鲜族
266,妙啊
267,妙啊
268,极度舒适
269,凡尔赛大师级选手
270,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
271,《举足轻重》
272,偏偏这些在韩国贵的要死，这波讽刺666
273,哈哈哈哈哈哈哈哈
274,《没地方》
275,《新鲜的水果蔬菜》
276,《犄角旮旯》
277,《冰箱从不放泡菜》
278,《差你一个泡菜》
279,《不正宗》
280,《思密达的朋友》
281,《天大的事》
282,《啥也不是》
283,《举足轻重》
284,《围碟》
285,666
286,哈哈哈哈哈哈哈哈哈哈哈
287,哈哈哈哈哈哈哈哈哈哈哈
288,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
289,哈哈哈哈
290,韩国人在世界上不也就是个围碟吗哈哈
291,哈哈哈哈哈哈哈
292,哈哈哈哈哈哈哈
293,嗯我们白菜也都放犄角旮旯，有都是
294,笑死我了
295,哈哈哈哈哈哈哈哈哈哈哈哈哈
296,《没地方》
297,《没地方》
298,老韩非子了
299,这就是个破咸菜
300,哈哈哈哈哈哈哈哈哈
301,牛逼哈哈哈哈哈哈
302,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
303,哈哈哈哈哈哈哈哈
304,有泡菜谭子
305,《家庭环境》
306,哈哈哈哈哈哈！
307,我没有哈哈哈哈哈
308,哈哈哈，思路清晰，口齿伶俐！
309,看把你骄傲的
310,真实
311,是的
312,哈哈哈哈哈哈哈哈哈哈
313,泡菜在我们这就是咸菜啊
314,虾仁猪心
315,虾仁猪心
316,帅
317,说得好
318,哈哈哈哈哈哈哈
319,哈哈哈哈哈哈哈哈哈
320,哈哈哈哈哈哈哈哈哈哈
321,韩国:朝鲜和我有什么关系思密达
322,辽宁都市频道新北方！！
323,666
324,家 庭 环 境
325,哈哈哈哈哈哈哈哈哈哈哈哈哈
326,我家冰箱有泡菜哭了
327,哈哈哈哈
328,有心了。
329,哈哈
330,家庭环境
331,干得好
332,好爽
333,哈哈哈哈哈哈哈哈哈哈
334,哈哈哈
335,干得漂亮
336,哈哈哈哈哈哈哈
337,说的对
338,全程舒适
339,真好看
340,确实
341,哈哈哈漂亮
342,哈哈哈，漂亮
343,漂亮！
344,就是呀
345,咱都不是一般家庭
346,就是，谁吃亚硝酸盐啊
347,虾仁猪心
348,哈哈哈
349,杀疯了
350,虾仁猪心
351,哈哈哈哈
352,因为穷
353,阴阳师
354,是的，可以有个小碟装点，但是不能算正菜
355,连德国都有著名的酸菜呢。。。
356,666666
357,666666
358,主要他们有了冰箱才有的泡菜
359,牛了牛了哈哈哈哈
