,弹幕
1,三 十 五 个 知 己
2,完了，老师的手被502粘住了
3,前进！不择手段的前进！
4,《受  骗  守  恒  定  理》
5,祖国的小黄花
6,那我怎么知道他来我家是为了做什么呢（小声
7,《长 得 真 精 彩》
8,更大级别的官职我想不到谐音梗了
9,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
10,讲 述 犯 罪 过 程
11,7.8光年?光年不是长度单位吗（不懂）
12,人才
13,边看边动就不乏味
14,自己决定有趣的就不乏味
15,厚大哲学
16,现 身 说 法
17,xiam
18,话题一转
19,膜 拜
20,好像不对
21,这波水时长 我服气了
22,凡学
23,一个
24,三十五个知己？
25,冲冲冲
26,正常人谁从头看到尾啊（狗头保命）
27,买罗老师的（句号）
28,老轻小说都刷到这来了哈哈哈
29,谁不快进啊？
30,研究研究，博士研究题目有了
31,DVD都让你折碎了扔集装箱了吧
32,是穷保护了我
33,预言家请睁眼
34,小丑竟然是我
35,我是穷人
36,卧卧卧
37,网抑云
38,谁笑了
39,精妙断句
40,演60年
41,正义的伙伴
42,说实话，我思考不出来。我不知道为什么我要出生。
43,.
44,听罗老师讲课
45,哈哈哈哈哈哈哈哈哈哈
46,懂了，我这就不写了，我让老师写
47,老师好
48,他偷了我的救命钱怎么办？
49,实践验真理
50,太过自我，自私自利，不就是情商低咩
51,哈哈哈哈哈哈哈
52,跳过片头的话能少几年吧
53,那就是得等对方捅我一刀 我才能防卫？
54,那怎么知道那人是来偷东西还是杀人的？
55,实践
56,哈哈哈
57,懂了
58,知世故而不世故
59,哈哈哈 
60,典型的会计算但脱离实际
61,这光盘什么形状的啊
62,你知道大半夜一个人闯入你家是要干嘛的吗？
63,老师挺懂的吗，师娘知不知道啊
64,还有这种理解
65,八嘎
66,我没开弹幕？
67,你不快进的
68,有个按钮叫快进
69,一般超过400元就算赌博，把领导的钱不到400？
70,可以快进啊
71,66666
72,哈哈哈哈哈哈哈哈哈哈哈哈哈内行
73,那可真是太幸福了
74,666
75,哈哈哈
76,老师好
77,哈哈哈哈哈哈哈哈挺身而出
78,哈哈哈哈哈哈
79,亲身经历233333
80,罗老师你也眨眨眼睛呗
