,弹幕
1,指说这三种动物比人聪明的营销号还没动物聪明
2,“蚊子灭绝计划”〔doge〕
3,↑只学数理化不学英语的后果
4,哈哈哈，当爷爷了
5,在逻辑上击垮他
6,好家伙，达尔文估计因为他这种结论，估计整个进化论都要重写
7,达尔文：？？？？？
8,好家伙，舔都能舔到外星球是不是过头了
9,？？
10,主不在乎
11,身处二向箔的罗辑敲了敲棺材
12,233333
13,为了大计划！
14,蜥蜴人：TMD烦死了，你们怎么什么事都tm赖我
15,我相信，因为我男朋友的男朋友正在屠龙
16,真没错
17,星爷
18,黑暗森林》
19,东山在起
20,好家伙
21,黑暗森林
22,主不在乎
23,我不怕
24,降维打击
25,因为我们被智子封锁了科技
26,因为它们怕黑暗森林法则
27,赡养上帝
28,大自然真的自然吗
29,先 行 者
30,智子无处不在
31,哈哈哈哈哈哈哈哈好哈哈哈哈
32,c语言？那我js呢
33,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
34,女少口阿！！！！！！！！！
35,女少口阿！
36,"hhhhhhhhhhh,不行了，真的笑死了"
37,呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵
38,哈哈哈哈哈哈哈
39,上面的，这个世界充满了书包
40,植 物 大 战 僵 尸
41,口型都对上了
42,赡   养   上   帝
43,鲁迅：这个我熟、
44,霍金：？？？？？
45,祖安霍金
46,不，是沙福林的阴谋
47,老阴谋论了
48,？？？？
49,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@我
50,wocwocwocwoc
51,中  国  文  化
52,霍金：？！我不是我没有！！
53,下次一定
54,捞尸人
55,尿啊
56,你再骂
57,超级加辈
58,主不在乎
59,主不在乎
60,逻辑鬼才
61,宇宙就是一片黑暗森林
62,嫖之呼吸，一之行，下次一定
63,不nc，营销号（手动狗头）
64,"""基本""？还有不是的？"
65,不信谣不传谣
66,妙啊，棒极了
67,贴吧的那张图
68,主不在乎
69,你不是人
70,赡 养 上 帝
71,反客为主
72,三句不离zz 
73,？ 
74,有道理
75,下次一定
76,哈哈哈哈哈哈
77,哈哈哈哈哈
78,石巨人直呼内行
79,。
80,因为主不在乎
81,主不在乎
82,好家伙，你妈飞月亮上去了
83,壁人表示很淦
84,我amazon想杀你
85,泰伯瑞共生者
86,什么意思啊？
87,绝了
88,哈哈哈
89,黑暗森林威慑
90,下次丕定
91,17.3万
92,真实
93,蚊子？
94,放个trip效果更好
95,老三体了
96,反客为主
97,哈哈
98,在哪呢？我去采访采访他
99,反客为主
100,说得好
101,干的漂亮
102,赡 养 上 帝
103,???????
104,哈哈哈
105,笑死我了
106,Nb
107,《瞻养上帝》
108,骂得好
109,孽蜥的老D5了
110,哈哈哈哈哈哈
111,漂亮
112, 制杖？？？
113,卢—基—诺——
114,明   示   白   嫖
115,卢   基   诺
116,真实
117,好家伙
118,哈哈哈
119,23333333
120,干的漂亮
121,精蜥震怒
122,借你吉吉
123,？
124,那太好了
125,哈哈哈哈
126,ggg
127,这个其实不太那啥，以整个种族来看是靠的自然资源
128,哈哈哈哈哈哈哈哈哈哈哈
129,哈哈哈哈哈哈哈哈哈哈哈
130,思路清晰
131,上面麻瓜的老哈利波特了（麻瓜指的是普通人类）
132,超          级          加          辈（确信）
133,主 不 在 乎
134,角角表示很淦
135,火钳刘明
136,哈哈哈
137,超          级       加          辈
