,弹幕
1,滚
2,间谍
3,滚
4,军用密码好像是全部人员一个一人合起来的
5,哈哈哈哈哈哈哈哈哈哈哈活该
6,那个破译，最后发现北斗官方有公布，方便民用企业接入
7,狗玩意
8,清华里的败类
9,滚
10,自作自受
11,哈哈哈哈哈哈哈哈哈
12,，
13,那就好那就好
14,妙啊，活该
15,哈哈哈
16,她敢回来我就杀了她
17,好公派
18,懂了，挺向往中国的监狱的
19,你回来一个试试？
20,厉害
21,，
22,回来当卧底，再卖给美国人？
23,哈哈  又是清华
24,狂徒啊，不要脸
25,牛B
26,新冠:今天去这一家
27,瘤 学 生
28,还典范典范个屁，就是让他回来了。美国那么好，病毒给我弄死他。
29,不愧是清华
30,要是我女儿，我可能会揪她回国送进教育改造
31,up的每一个视频开头，都是，脸呢？笑哭
32,老婆，别生气
33,这货小心在美国被打黑枪
34,不愧是清华北大的高材生，真是优良的传统
35,这个人真是有够厚颜无耻的
36,中科院？真敢说啊
37,这要是敢回来不得直接军事法庭了
38,丢高家人的脸
39,清华啊
40,哈哈哈哈，干的漂亮
41,我们首要的是培养一个真正的人，而不是没有教化的野兽
42,我很好奇，人为什么为了利益可以抛弃道德和尊严
43,克格勃就做掉她了
44,别别别 来了她就更方便偷机密了
45,又是公排
46,手鼠两端
47,典犯
48,典犯
49,回来是要变成50万吗
50,别国为什么要帮中国培养人才，你这逻辑也是说不通，这种风险是必然会存在的
51,疯了吧
52,中国：鬼l
53,回来是会被终身监禁的，或者死刑
54,慕洋犬
55,真的？假的？
56,枪毙可不可以导航枪毙
57,他真的给很多留学生做了榜样
58,高杏欣的父母怎么教育的三观
59,打她
60,王八
61,破个屁
62,到美国的确上天堂了，天堂都上不了，下地狱吧
63,那你说啥 
64,啥待遇
65,不正当指控说啥了
66,挺好
67,去你大爷的，
68,又是公派，都公派点什么东西
69,正道的光
70,然后过了几年，美国发现她就是个垃圾，啥作用没有 就把给她的东西都收回了
71,出卖自己国家的贼，在哪里都被人瞧不起
72,你还有脸回来？？
73,不枪毙吗
74,杨舒平
75,no
76,《天堂》
77,侮辱姓高的人
78,我呸！没人到美国去赏你颗子弹就算便宜你了！！
79,上什么天堂?撒旦看了它都恶心
80,这弄死她不过分吧
81,榜样
82,"国家用资源培养它,它就这样回报祖国?"
83,怎么一脸贝戈戈样
84,大脸 姐哪
85,活该
86,老子的95呢，拿出来，给她头上按颗痣
87,她咋不死呢
88,一个字，滚
89,回家没工作（doge）
90,会不会是碟中谍
91,公派我靠
92,清华风评受损
93,是真的美国人去天堂了。
94,清华耻辱
95,本来就是假的，标题党！
96,让他回来啊，直接死刑
97,我想起了衍圣公
98,干      得     漂      亮
99,她什么时候死
100,清华北大百分之八十都去国外发展了
101,真尼玛“要脸”
102,欢迎回来，我拿板砖去机场接你
103,所以它破译了个寂寞，hhhh
104,那就好，那家伙
105,她父母：抱歉，我们太幽默了。才生了这么个笑话
106,新冠病毒：需要我暗杀一波吗？
107,美国这天堂哈哈哈哈哈哈，那新冠多少人了哈哈哈哈哈哈
108,下辈子吧
109,这我就放心了
110,哈哈哈哈哈哈
111,德智体美劳
112,he~tui!
113,脸呢？脸呢？！
114,W D N M D
115,哈哈哈哈哈哈
116,小丑竟是她自己hhhhh
117,小丑竟是她自己
118,hhhhhh被打脸了
119,清华北大表示不背这个锅
120,清华不背这个锅（微笑）
121,这在苏/联就应该被拉到西伯利亚种土豆去。
122,说实话第一眼看她长得像凤姐，第二眼我觉得她长得像郑爽，第三眼我tm直接眼瞎
123,？
124,我上我也行系列
125,典      范
126,想什么呢
127,孝死我了
128,真不要脸
129,不错不错
130,叛徒吃里扒外
131,从未见过如此厚颜无耻之人
132,叫她滚回美国我们中国不欢迎吃里扒外的叛徒
133,杀了她
134,小 丑 竟 是 我 自 己
135,就破了个寂寞呗
136,人品要在才华面前
137,公派
138,鬼！
139,哈哈哈
140,下飞机直接带走
141,还想回来？ 
142,公派留学生……
143,说人话
144,主持人你罵人的樣子好醜啊
145,美國沒有牆
146,可笑至极
147,我沒有鼓掌，你要砍了我嗎？
148,祝她今年感染新冠死在美国！
149,还不够惨
