,弹幕
1,外交斡旋（指拿100多个飞行员和间谍换他一个人，美国当时还觉得小赚）
2,这才让我们有了能在未来追赶高新科技甚至自我创新的基础
3,这猫的花色好漂亮，就头背尾巴有颜色，其它是白的
4,我在交大看这期视频
5,但是我们的教育不重视艺术
6,his.story
7,又失踪了吗？
8,我要继续关注你，因为你长的和我弟弟一毛一样
9,猪猪猫
10,致敬
11,我已出舱，感觉良好
12,最强的毕业论文就是用引用自己的理论
13,我也想吃钱老打食物
14,爷青回
15,爷青回
16,爷青回
17,我就是二炮的，怀念以前是名字。
18,致敬钱老
19,爷青回
20,爷青回
21,爷请回
22,奶奶太好看了
23,名言出处
24,看过钱老的考试试卷，简直无敌
25,爷青回
26,爷青回
27,大衣的腰线赞
28,就去
29,这不比青年大学习燃？？？
30,科学不是物，谁学会了就是谁的。但是科学家有国界。
31,时长我的生日！
32,致敬
33,爷青回
34,国士无双，钱老永存
35,伟大的钱老
36,钱学森图书馆
37,爷青回
38,钱先生居功至伟民族脊梁
39,致敬
40,爷青回
41,艺术就是爆炸？
42,bgm哭了
43,.
44,他  的  母  校
45,骁哥好帅呀呀呀呀呀
46,你哪儿去了？
47,看着和河南大学 差不多啊，留学欧美预备学校
48,真家伙
49,暴力
50,我是王骁的爷爷
51,爷轻回
52,爷轻回
53,爷青回
54,我已出仓，感觉良好
55,二炮
56,致敬钱老！
57,弹幕这么多！你的人缘真好啊！我也来挤个热闹！
58,爷青回
59,单飞啦
60,爷青回
61,航天祖传BGMＢＧＭ
62,失踪人口回归
63,资本家和钱学森比
64,原来这是真的
65,哟，这不是我母校嘛
66,大佬的发型，我变秃了，也变强了
67,前两名是要多dio我的天
68,人应为热情所驱使，追求优秀的激动人心的产品。不关心无聊的事情。无聊的事情不值得我关心
69,爷青回
70,不容易啊
71,钱老千古啊
72,回来了
73,爷青回
74,后面照片能动
75,？？？？？
76,我爷爷那个时候还住的茅草棚吃的吃的树皮
77,这是老校区，我们现在在闵行校区
78,钱学森的家其实在杭州，他回国后还专门回了一趟老宅
79,你还在啊
80,钱学森：重生之我是马前卒。
81,爷青回
82,爷青回
83,自己单干把，我还会支持你的
84,爷青回
85,回来了？？
86,爷青回
87,我的母校
88,青年大学习
89,爷青回
90,清北复交
91,原来第三名能这么牛
92,，
93,瞧我发现了谁
94,但是现在上海交大就是比西安牛逼啊
