,弹幕
1,姜二嫚小朋友的诗真的超有灵气！
2,《 李 荣 浩 》
3,真是难为他们了
4,黠慧
5,呵呵，你们吹“专家”时又是说的啥
6,哈？
7,砖家啊
8,？？？？
9,祖安都是大家
10,？
11,真tm酸，酸文人
12,J先生是贾平凹嘛？
13,？
14,太恶臭了
15,恶臭！
16,专家，呵呵了，有点逼格的谁去当专家
17,现代诗就觉得高中那几篇好
18,细节
19,朗朗上口
20,躺枪
21,一帮捧臭脚的
22,朗朗：我一个钢琴师惹你啦？
23,她跟朗朗有多大仇啊？
24,给的实在太多了
25,有点浪漫
26,《专家》
27,危
28,正道的光
29,编辑给评论也不容易啊
30,卧槽
31,我的文豪父亲
32,袁华
33,贾平凹本来就是个黄暴狂徒，哪有啥晚节？？？
34,贾平凹本来就是个黄暴狂徒，哪有啥晚节？？？
35,是的
36,？
37,砖家都哭了T﹏T
38,瞎   秽
39,说我我都信了
40,？
41,高情商
42,长得倒挺粗狂
43,高情商
44,余秀华诗写的还不错，不过三观就。。。
45,《黠   慧》
46,哇气得我想把家里人民文学出版社的书都扔出去
47,是不是福祸不分的那个出版社？
48,我为祖国献石油。
49,归来的农药
50,第二句写的也太好了吧
51,三渣？
52,哈哈哈哈哈哈
53,好湿透了
54,xswl
55,本人叫晴晴，表示有被冒犯到
56,阅读理解不就这样吗哈哈哈哈哈
57,其实还不错
58,？
59,就这？
60,诗是强烈情感的体现
61,余秀华就算了吧
62,牛批
63,拍马屁一流
64,果然专家
65,大清
66,yue了yue了
67,冰心直呼内行
68,制造方方的流水线
69,主要是那个跌
70,带文豪
71,专家比他写的好
72,哈哈哈
73,哈哈哈哈哈
74,？？？？
75,我的球长父亲
76,是说中国男人配不上中国女人的余秀华嘛
77,哈哈哈哈哈哈哈
78,它爸也没啥才华
79,？？？？
80,？？？？？
81,好
82,英雄联盟祖安区各各都是大文豪了
83,？
84,学阀
85,厉害了我的哥
86,大舌舔
87,我的作家父亲
88,？
89,这话说的比里面的诗有水平
90,孩子都这么成熟了？  哎，我是fw
91,说文豪的收多少钱？
92,这就离谱
93,毕导
94,好家伙
95,什么附庸风雅的名字
96,姜二曼好评
97,各路舔狗集合
98,跟他妈有病
99,这是整容了吧
100,我至今记得一棵稗子提心吊胆的春天
101,开始拍卖了吗
102,啊这
103,别读了
104,光刺痛了黑暗
105,？
106,？
107,啊这，老三天两觉粉了
108,好诗
109,行行行别念了
110,全文背诵
111,哇擦
112,是不懂，可是雨巷为何那么美？
113,郎朗？
114,好湿好湿
115,人名文学社，记笔记
116,专家
117,双眼皮一看就是割的
118,世界的参差
119,《人民》
120,朗朗 ？？？？？
121,我也反对，我觉得我不行，写不出啦
122,我吐了
123,哈哈哈哈哈哈
124,和古典美学和现代美学都不想干，评论没毛病啊
125,我们考试的语文题
126,副教授
127,好使
128,哈哈哈哈哈哈
129,666
130,她不配
131,我吐了
132,张宗昌
133,《好诗》
134,黠慧…
135,生活细节？我们键盘侠就让你见见什么叫生活细节
136,？
137,李荣浩是无辜的
138,脏话不重要，主要是爸爸
139,竖中指
140,捧杀
141,what
142,“好诗”
143,好诗好诗
144,这是日本作家的诗照抄的不脸红吗
145,当代鲁迅啊
146,低俗
147,我想知道说这话的叫什么名字 是个人才
148,牛逼
149,哈哈哈哈哈哈哈哈
150,拍马屁的狗专家
151,草
152,阅读理解 作者本人上去都不会写 
153,阅读理解满分 当代语文现状 
154,？？？？哈哈哈哈
155,啊这
156,学阀
157,才华的高度遗传到了脸皮上，
158,呸
159,这都能解读出来，语文阅读理解莫不是这编辑出的题吧
160,世界的参差
161,丑
162,？？？？？
163,看见世界的参差
164,55开
165,好诗
166,哈哈哈哈哈哈哈
167,这bgm闹鬼了啊
168,杨振宁也不懂
169,钻假
170,高情商
171,人啊
172,副教授
173,恶心
174,我的母亲中国。
175,什么玩意？
176,滥俗
177,真会舔
178,全靠同行衬托
179,哈哈哈哈哈哈哈
180,舔p
181,吐了
182,好诗好诗
183,真实废都再现？
184,资本
185,哈哈哈哈
186,6666
187,哈哈哈哈
188,？？？
189,专家给自己玩魔怔了
190,拍马屁
191,你们看过多少余秀华的诗啊，，知道她丈夫是个什么破人吗，整天带节奏
192, 笑死了
193,精神有问题吧
194,？？？
195,回车的神
196,好湿好湿
197,卧槽好湿
198,我的区长爸爸
199,哈哈哈，
200,看到标题，我想到了袁华
201,确实
202,世  界  的  参  差
203,乐死我了
204,卧槽好ex
205,哈哈哈哈哈哈哈哈
206,高情商
207,？？？？
208,当代张宗昌
209,我也能写
210,？
211,〈〈    词    语    优    美    〉〉
212,？？？？
213,这和赞美师娘，哪个更恶心
214,归  来  の  王
215,？？？？？？
216,丑八怪
217,小丑一个
218,这编辑才是夹缝中生存吧。我想看这个编辑出书，贾浅浅写序
219,。。。。。
220,呕爷吐了
221,说话的艺术
222,高情商说的话
223,高情商
224,朗朗表示很淦
225,？
