,弹幕
1,小沈阳退出小品界，说不喜欢现在清一色的喜头悲尾
2,德云社的新一代尤其搞爱豆那一套！天天喊角儿，你那什么水平
3,好家伙内核现在让你整成外放了
4,小沈阳就算了吧，他本来就不会写作品，给自己找个借口罢了
5,小沈阳就算了吧，他本来就写不出作品，给自己找个退出的借口罢了
6,哈哈哈哈哈
7,哈哈哈哈哈哈哈哈哈哈哈
8,哈哈哈哈哈哈
9,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
10,哈哈哈哈哈哈哈哈哈哈哈哈哈
11,徐涛老师直呼内行
12,确实恶心到了
13,哈哈哈哈哈
14,哈哈哈哈哈哈哈
15,哈哈
16,哈哈！哈哈！
17,哈哈哈哈哈哈
18,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
19,哈哈哈哈哈哈哈哈哈哈哈哈哈哈形容的太对了自己没实力搞笑把责任推这句话上
20,哈哈哈哈哈哈啊哈
21,喜剧的外表不该是悲剧
22,恍恍惚惚哈哈哈
23,你好李焕英，结尾太尬了
24,《男孩》
25,比如白凯南
26,这句话就是放屁！喜剧是喜剧，悲剧是悲剧
27,+1
28,哈哈
29,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
30,张雪峰笑了
31,前漂亮国，五颗星
32,笑喷了
33,李莲英进来挨打
34,你就是找借口再黑一次爽子姐吧，哈哈哈哈哈
35,1
36,贾玲
37,哈哈
38,乔 诗 语
39,哈哈哈哈哈哈哈哈
40,、4
41,《不善言辞》
42,《不善言辞》
43,hhhhhc
44,rnm，退钱！
45,！我们也是
46,哈哈哈哈哈哈哈哈哈哈哈哈
47,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
48,一步之遥
49,你把珂朵莉怎么啦？
50,弔图一堆
51,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
52,索福克勒斯，埃斯库罗斯，阿里斯托芬表示很淦
53,新年快乐
54,我当时哭应为我妈没来
55,憨豆
56,人如果没有梦想
57,哈哈哈哈哈哈哈哈哈
58,地府通用
59,就说一句化学方程式有问题。
60,我觉得是贾冰带的风气
61,骂的一点都不过分呀！！！
62,可以看看《我要反三俗》
63,哈哈哈哈哈哈哈哈哈
64,卧槽！这个停车！
65,卧槽
66,有一说一确实
67,不如叫谭sir去
68,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
69,确实
70,哈哈哈哈哈哈哈哈
71,哈哈哈哈哈哈哈哈哈哈哈哈哈哈或
72,哈哈哈哈哈
73,哈哈哈哈哈哈哈
74,《欢乐喜剧人》你直接念我身份证得了
75,据树这个笑死我了
76,哈哈哈哈哈（这是标准的五个哈）
77,赵本山说过这事
78,2021春晚后回来看
79,kmkl
80,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
81,2倍速 新世界
82,上课铃响了
83,我当时也哭了，操场算是哭的
84,这车神吧
85,那是她自己爆出来的吗你可真能扯
86,我觉得你跟半佛声音一模一样，为什么？
87,新年快乐
88,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
89,别爽了别爽了
90,哈哈哈哈哈哈
91,哈哈啊哈哈啊
92,太难了
93,就是因为我们温和，才把世界拱手相让。
94,谁告诉你姜昆带偏的。。
95,这不比欢乐喜剧人好笑？
96,蚂蚁竞走了十年了
97,哈哈哈哈哈哈
98,这是陈佩斯说的
99,你就是《欢乐喜剧人》红红火火恍恍惚惚h
100,我看他们哭也觉得莫名其妙
101,保护
102,哈哈
103,哈
104,哈哈哈哈哈哈
105,赵本山：1，2，3，哭
106,我们语文老师真做了
107,不过分，很准确
108,小蘑菇
109,哈哈哈哈哈
110,一模一样
111,逼悲剧去演喜剧
112,李焕英
113,硬要煽情
114,啊对，我也想说
115,李焕英风评被害
116,先搞笑吧，不搞笑就太搞笑了。
117,这车…
118,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
119,脱口秀真的是一股清流
120,哈哈哈哈哈哈哈
121,内核是让你细品的，现在的作品还内核呢？就差把纸钱撒你脸上了
122,23333
123,不愧是小号！！！
124,哈哈哈哈哈哈哈
125,全班被逼着哭，我们男生还乐了，然后挨骂了
126,爽
127,哈哈
128,神威无敌大将军炮【不是】
129,反抗越弱，****就会越严
130,哈!？
131,哈哈嗝哈哈哈哈嘎嘎嘎
132,退票窗口在国外
133,半佛？
134,哈哈哈哈哈
135,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
136,哈哈哈哈哈哈哈
137,sans?
138,宋浩
139,会员制餐厅
140,骂得好
141,别杀了别杀了再杀爽子姐人傻了
142,ha
143,哈哈哈哈哈
144,草（双语）
145,哈哈哈哈哈哈哈哈哈
146,233333
147,哈哈哈哈哈哈哈哈哈哈哈
148,哈哈
149,说的太对了！
150,一点也不过分
151,制片人活该，真想好好拍剧就不会找她了
152,祖安的好！
153,新年快乐
154,不要温和的走进那个良夜
155,珂朵莉呜呜呜
156,马大帅的剧情
157,黑色幽默看完你还会笑
158,理解个蛋！
