,弹幕
1,今天就算是姐姐死了我也要出道，耶稣也拦不住
2,二公主要是把她姐换回来，我就当她的铁粉
3,没有不喜欢你，只是大家都认识你姐姐但跟你不熟…
4,你姐姐现在是大国博弈的筹码，作为人质扣在外国几年了
5,这经纪公司该不会是友商派来的吧？！
6,虞书欣：正是在下
7,低情商：唱跳辣鸡，风评阴间   高情商：有很大进步空间
8,还有老赖
9,哈哈哈哈
10,周震南说你呢
11,说庶子的估计是因为母亲秘书出生让人浮想联翩 很像小三上位
12,格格呵呵哈哈哈
13,？轻小说
14,开除经济公司！
15,呦吼
16,哈哈哈
17,哈哈哈哈哈
18,好家伙
19,高情商
20,《儒雅随和，不善言辞》
21,哈哈哈哈
22,哈哈哈哈哈哈哈哈
23,对
24,进步空间
25,？？？？？
26,哈哈哈
27,对的
28,你这个吸猫会所的卡片再给我一张
29,我靠
30,不是一个级别
31,泪目了
32,对hhhhh
33,？？？？
34,up为什么这么多草图哈哈哈哈哈
35,为什么任正非的女儿没一个姓任？
36,好湿好湿
37,巨人耶
38,男的这么有钱，就一个女人，用屁股想想，可能吗没看过新闻联播吗？
39,哈哈哈哈
40,天浩盛世敢这么把姚老师当工具人！？ 公司还想不想要了…
41,！
42,红红火火恍恍惚惚哈哈哈
43,我已经听不出是嘲讽还是夸奖了
44,哈哈哈哈哈
45,出道就出道吧，只要她以后演的剧通稿不要尬到我眼睛 我完全可以把她当成一场没进场的话剧
46,我突然明白几个亿的大生意什么意思了！
47,老赖之子也是富二代
48,哈哈哈哈哈哈哈
49,谢谢姚老师
50,懂了 这就去当姚安娜粉丝
51,哈哈哈哈哈哈哈哈哈哈哈哈
52,哈哈哈哈哈哈哈哈哈
53,哈哈哈哈哈哈哈哈哈哈
54,哈哈哈哈哈哈哈哈哈哈
55,2233
56,就只剩下空间了
57,我的二字偶像都被黑惨了，就为了那点资源
58,前面的，是她先自称公主的好吧，有公主没有嫡庶？
59,哈哈哈哈哈
60,哈哈哈哈哈嗝
61,坑爹
62,哈哈哈哈哈哈哈哈哈哈
63,说的没错哈哈哈
64,是我粉的偶像
65,有道理
66,哈哈哈哈哈哈哈哈
67,半佛老师？
68,这不是半佛老师？
69,？？？这声音！
70,感谢姚老师！！！
71,感谢姚老师！！！
72,关晓彤
73,哈哈哈哈哈
74,哈哈哈哈
75,哈哈哈哈哈哈
76,哈哈哈哈哈哈哈
77,哈哈哈哈哈哈
78,哈哈哈哈哈哈哈哈
79,哈哈哈哈哈哈
80,hi哈哈哈哈哈哈哈
81,现实蒙太奇
82,哈哈哈哈哈哈哈哈哈哈哈哈
83,啊。。。这。。但确实不吸粉这人设，实力，看着真的令人不爽
84,有没有可能 她是来救她姐的 只要她越闹腾 她姐就越受关注
85,这不是半佛吗？
86,这个好
87,可能他们不敢纠正姚老师
88,贾浅浅硕士就能当副教授就离谱
89,十本
90,有道理
91,有道理啊哈哈哈哈哈哈哈
92,哈哈哈哈哈哈哈哈
93,我雾了
94,哦呼，你说的有道理
95,最后一期
96,厄斐琉斯
97,姚老师和真正的公主是校友
98,卡尔文循环
99,或许这就是人生吧
100,正道的光
101,广告卧槽
102,老赖之子老赖之女们
103,很多不是富二代，而是老赖
104,老阴阳怪气了
105,老婆说得对啊
106,？？？？
107,半佛是你吗？
108,突然发现这是我校校服样式
109,？？？
110,还是钱不到位啊
111,ennnn有道理
112,仔细思索 确实有点问题
113,哈哈哈哈哈哈哈哈
114,姐姐姐姐
115,霍 起夜级公关
116,二代们直呼内行
117,好家伙 我华为手机直接黑屏了
118,老预言家了 哈哈哈哈 浅浅
119,哈哈哈
120,爱了爱了，感觉这个粉丝很省心
121,高情商
122,比较大的进步空间
123,这才是高级茶艺师！
124,吓
125,有道理！！！！
126,山东人没听说过姑父姨夫是叔叔大伯这个说法
127,半佛
128,哈哈哈哈高情商
129,哈哈哈哈笑死了
130,哈哈哈哈哈哈哈哈哈哈哈哈好
131,哈哈哈哈哈哈
132,给我一百万我天天打榜
133,哈哈哈哈哈笑死了
134,ysx
135,老赖之子
136,up主咋那么多搞笑gif(*• . •*)?
137,阴阳怪气
138,@伊丽莎白鼠
139,火化
140,哈哈哈哈哈
141,任 二声
142,哈哈哈哈哈哈哈哈哈哈哈哈哈
143,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
144,哈哈哈哈哈哈哈哈哈哈哈
145,我觉得虞书欣和赵小棠没有装富二代吧？那啥周震南才是装吧（严格来说也不算装）
146,哈哈哈哈哈哈哈
147,哈哈哈哈哈哈哈
148,太牛了
149,哈哈哈哈哈哈哈哈哈
150,哈哈哈哈哈哈哈哈哈哈哈哈
151,哈哈哈哈哈哈哈哈哈
152,哈哈哈哈
153,PH？  孙哥前妻？
154,哈哈哈哈哈哈哈
155,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
156,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
157,哈哈哈哈哈哈哈
158,难得的人间清醒
159,半佛老师
160,高级洗脑师，jump
161,哈哈哈哈哈哈哈哈
