,弹幕
1,差点信了
2,说北湖公园的站住
3,看的的我面膜差点干脸上
4,66666
5,一本正经胡说八道哈哈哈哈哈哈哈
6,坂田哈哈哈哈哈哈哈，深圳啊
7,共享单车确实是个问题
8,《逃离》
9,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
10,这里不是龙华区，白石龙嘛。
11,《一个朋友》
12,哈哈哈哈
13,哈哈哈，这很BBC
14,有意思
15,专业专业
16,专业专业
17,哈哈哈哈哈
18,哈哈哈哈哈哈
19,哈哈哈哈哈哈
20,大型BBC和CNN抢人现场
21,前方高能
22,《无中生友》
23,哈哈哈哈哈哈哈哈哈
24,哈哈哈哈哈哈哈哈哈哈哈
25,哈哈哈哈哈哈哈哈哈哈哈
26,无中生友
27,滤镜不太黑
28,才华
29,哈哈
30,专业
31,好家伙
32,牛皮
33,666
34,《无中生友》
35,haha
36,哈哈哈哈
37,666
38,这是邓超吧
39,邓超？？？
40,哈哈哈哈
41,你赢了，投币
42,这个场面都有啊，哈哈哈哈
43,反正听不懂中文是吧？
44,大清早的有人才怪吧……
45,这不就是你自己吗？
46,本帝赐你高手高手高高手打遍天下无敌手
47,片头很专业啊
48,哈哈哈哈哈哈
49,哈哈哈哈哈哈哈哈哈
50,哈哈哈哈哈哈哈哈哈
51,笑容逐渐变态
52,专业
53,你在我家门口hhh，龙华星河
54,哈哈哈哈哈哈哈哈哈哈哈哈
55,哈哈哈哈哈哈哈
56,哈哈哈哈哈哈哈
57,我学了假中文
58,完了，军队来抓你了
59,我笑yue了
60,经典逃离
61,草绝了
62,哈哈哈哈哈哈哈哈淦
63,好家伙
64,没有滤镜和bgm不够味啊
65,我家门口？？？？哈哈哈哈哈
66,漂亮
67,注意手里的手机
68,开始搞
69,他拿的什么手机？
70,猝不及防
71,良心是黑的
72,哈哈哈哈哈哈哈哈
73,hhhhhhhhh  笑死了
74,哈哈哈哈哈哈
75,哈哈哈哈哈哈
76,哈哈哈哈哈哈
77,良心不要了
78,全天连线，白天入夜，牛！
79,哈哈哈哈哈哈哈
80,哈哈哈哈哈哈哈
81,哈哈哈哈哈哈，为什么我看的想笑?
82,Comrade James笑死
83,开始整活
84,深圳龙华？
85,哈哈哈
86,成华大道！！
87,走成华大道，去二仙桥玩
88,靠
89,龙华惠鑫公寓对面？
90,力哥没来？？？？
91,你是干介个的
92,绝了
93,哈啊哈哈啊哈哈
94,bullcast
95,牧马人鼠标
96,加密通话哈哈哈哈哈哈
97,哈哈哈哈哈哈哈
98,创作团队好多人啊
99,哈哈哈哈哈哈哈哈哈哈哈哈好
100,哈哈哈哈哈哈哈哈哈哈哈哈好
101,专业
102,专业
103,专业
104,哈哈
105,废品回收广告费给了么哈哈哈哈哈
106,专业
107,哈哈哈哈哈bullcast
108,哈哈哈哈哈哈哈哈哈哈 
109,哈哈哈
110,不是说好耍的地方吗哈哈哈哈哈哈哈
111,closed，从昨晚到现在
112,哈哈哈哈哈哈哈
113,BBChina
114,同款笔记本电脑
115,厉害啦，我都听不懂，真能编
116,哈哈哈哈哈哈哈哈
117,哈哈哈哈哈哈哈
118,CNN啊CNN
119,CNN就是个笑话
120,哈哈哈哈哈哈哈
121,哈哈哈哈哈哈哈哈哈哈哈哈
122,单 口 相 声
123,哈哈哈
124,啊？哈哈哈哈哈
125,说的我都信了
