,弹幕
1,不  知  为  何
2,曲有误，傅雷顾
3,说句实话我看家书的时候看了很长一段以后才发现原来傅雷有两个儿子而不是只有一个
4,这不是人非圣贤，是一个超过18岁的熊孩子
5,他对儿子的爱不过是感动了他自己
6,好家伙《傅雷家暴》
7,哎不幸的童年要用一生来治愈 甚至要迁怒于下一代
8,我读家书的时候也觉得有点奇怪为什么家书大多数都是跟傅聪的信件而傅敏的却很少
9,卧槽
10,卧槽
11,真实
12,静 步 刀 人
13,老师要求买这玩意
14,封建社会的文人，严重腐朽的思想
15,疑惑
16,时代的悲哀
17,66
18,可怜
19,？？？好爸爸好父亲。呵
20,标准开局
21,啊这
22,书里写了傅雷管傅聪挠头（（
23,？？？？？？？？？？？？
24,我人傻了
25,？？？
26,七个我的剧情有点像
27,gp
28,像极了我自己
29,老钱，揍他！
30,？？？
31,终于找到合适的读后感了doge
32,好父亲？
33,钱钟书先生提刀赶来
34,好父亲
35,傅雷号怒庵
36,?好家伙，那我抄的读后感不是抄错了吗？
37,讲过笑话：中国父母
38,？？？？？？？？？？？？？？？？？？？？？？？
39,就这教育局还他喵的让必读？？
40,我们寒假作业也要读，开学还要考试。笑S，根本没买
41,干！
42,中 国 好 家 长
43,可怕
44,还好我从没看过
45,唉！一切都是有根源的
46,老初二了
47,人设崩塌
48,人设崩塌
49,太压抑了，学不来学不来
50,傅雷家书好讽刺
51,3
52,捅他一刀
53,好爸爸
54,我裂开了
55,好父亲
56,真.夫妻
57,真.夫妻
58,666
59,？？
60,典范
61,？？？？
62,《好父亲》
63,对！！
64,害怕
65,输     不    起
66,对，我还在想为啥写的都是傅聪，不是有两个孩子吗
67,啊这
68,对！看书就可以读出来！
69,《 教 育 典 范 》
70,《罪恶轮回》
71,罪恶的轮回
72,正在写读后感的我
73,恶性循环
74,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
75,？？？？？？？？？
76,。。。
77,《好父亲》
78,啧啧
79,傅聪好像还说过自己都没怎么仔细看
80,一脉相承
81,《一代大教育家，中国父母的典范》
82,玩不起
83,见缝插针
84,是的，傅雷家暴
85,《她》
86,傅雷曾说过自己在四十多岁才真正明白如何做父亲
87,乔家传统
88,《好父亲》
89,打开弹幕我吓到了
90,感觉敏好惨
91,？？？
92,？
93,希望傅聪傅敏的孩子不被这样对待
94,对对对当时看到插手恋爱时就感到不适
95,杨绛先生好惨哈哈哈哈哈
96,当时在看的时候就觉得博敏在家里好卑微
97,对对对当时我就感觉就是区别对待，很纳闷为啥敏对小提琴有天赋又想学不给学，聪对钢琴有天赋想学就给了
98,我还以为是什么缺少沟通
99,《好丈夫好爸爸》
100,卧槽
101,《好父亲》
102,《好父亲》
103,我也不懂
104,我刚看几页感觉他管得好多
105,对对对就前几封信一堆在教儿子恋爱我看的一脸懵逼
106,杨先生快跑
107,惯的?
108,家暴是会传染的
109,这简直是封建男性的再现啊……小说都找不到这么符合刻板印象的人
110,不要因为错误讨厌一本优秀的书 不要因为优秀的书洗白一个人的错误
111,？？
112,？
113,卧槽
114,中国老家长
115,啊这
116,好家伙
117,偷袭！
118,那为啥要看啊啊啊还要写作文
119,好父亲
120,真  实
121,正在看到
122,瓦  西  里  神  父
123,???????
124,初二必读＋1
125,然后还要我们认真阅读
126,牛逼阿
127,好父亲
128,杨绛：我谢谢你
129,假的一匹
130,在看这本书的时候，就觉得三观很不对劲。
131,写过了，译林p103，被邮局遗失了
132,我天
133,不 知 为 何
134,看《博雷家书》之前再复习一遍这个视频
135,寒假要看…
136,我看这是名著那些 那里明明说给儿子女儿写的 然后看完发现她女儿只是字面说一下 重男轻女 无语了
137,看过书吗？？？？
138,？？？？？
139,？？？？？？？
140,温儒敏看到了吗
141,《好 父 亲》
142,热情
143,寒假作业
144,DHHHHHHHHHHHHHHH
145,？？？？
146,额
147,必   读
148,刚看完
149,呵，就这样
150,这并不矛盾
151,卧槽
152,？
153,？？？？？？？
154,好父亲
155,┻━┻︵╰(‵□′)╯︵┻━┻
156,真好父亲
157,666
158,✓，小时候可懵逼
159,双押
160,没读过（）
161,最近要写10篇读书笔记，都是《傅雷家书》的
162,我爸就这样。。。。。
163,？
164,？？？？？？？
165,这不是社会渣子？
166,那么为什么我们还要看？我就是不喜欢这本书！！！
167,希望大家不做施暴者 希望受害者都能有个美好的未来
168,？
169,？？？？
170,？？？
171,？
172,我还得认真阅读！！
173,反正看不懂…
174,《和     蔼      的     父      亲》      
175,这不是借口
176,傅雷家书就觉得傅雷很奇怪了！！
177,卧槽这个八上语文基础训练人教版里有
178,好妈妈
179,？？？我的天
180,？？？？？
181,初二下学期必读？？！
182,哈哈哈哈
183,？
184,卧槽
185,kamen rider OOO
186,我靠
187,？？？？？？
188,？？？？？？
189,？？
190,天啊
191,恐怖
192,？？？
193,？？？？？？
194,？？？？
195,？？？
196,666
197,?????
198,UP，你知道吗？我的三连是不容易的（Doge）
199,？？？？？机器是怎么练成的
200,但是傅聪不是改国籍了吗？
201,不幸啊
202,好       父       亲
203,哦对对对
204,《好父亲》
205,好父亲。
206,好父亲
207,有才无德
208,？？
209,！！！！
210,这……
211,u
212,这有什么问题吗
213,这是富裕家庭的锅
214,我知道不是所有人的童年是好的人也不是好的但是为什么这些东西会出现在大众视野里成为标杆主流
215,当时的阅读理解答案让我无语
216,】
217,没有认真阅读
