,弹幕
1,如果奇迹有颜色那他一定是中国红
2,惟将终夜长开眼，报答一腔赤胆心
3,因为我爱这片土地
4,行
5,一定行
6,致敬
7,国士无双
8,国家英雄
9,行！
10,刘翔是一个时代的奇迹
11,行
12,因为我对这土地爱的深沉
13,南公千古 ！！！
14,哭了
15,我爱我的祖国
16,泪目
17,山河无恙，这盛世如您所愿
18,我爱这片土地
19,行！
20,刘翔好样的
21,中国人怎么不行啊？
22,国士无双
23,致敬
24,致敬
25,三百块
26,鹿晗！
27,舟桥旅老兵路过
28,老李！
29,因为我对这片土地爱得深沉
30,因为我对这土地爱的深沉
31,一定行
32,诸君，且听龙吟
33,给我挺上去
34,英雄千古
35,因为我对这片土地爱得深沉
36,行
37,行
38,因为我对这土地爱的深沉
39,因为我对这土地爱的深沉
40,致敬
41,刘翔牛逼
42,钱学森
43,致敬
44,致敬
45,致敬
46,致敬
47,国士无双
48,钱老千古
49,那时候我们真的渴望得到别人的认可
50,我爱你，中国
51,刘翔，我心中永远的飞人
52,爱得深沉
53,运城人的骄傲
54,有幸生在这个时代 陪伴新中国一起成长
55,诸君，且听这龙吟
56,世界领袖
57,从夏朝到现在，洪水就没有战胜过中华民族
58,致敬
59,先生千古
60,我们证明给你看，中国行
61,谢谢您们
62,谢谢您为我们付出的一切
63,致敬
64,因为我对这片土地爱的深沉！
65,行！
66,RIP
67,欢迎回家
68,我和我的祖国，一刻也不能分割
69,因为我对这片土地爱得深沉
70,爷！
71,因为我对这土地爱得深沉
72,致敬！
73,致敬
74,07
75,o7
76,o7
77,刘翔是中国人的骄傲，乃至亚洲的骄傲
78,真有你的，老李！
79,9.15。。。。我生日
80,你们都是演员吗？
81,王永志是哪位大佬？不过钱老先生直呼其名，一看在老先生面前也是个小跟班。
82,我的眼泪蹦不住了
83,姑娘，你的梦想都成真了
84,第一次去 几乎是抱着死的心情上的
85,这才是明星啊
86,祖国万岁
87,行
88,因为我爱这片土地，爱这片土地上的人
89,中国人怎么不行啊
90,杨利伟
91,致敬
92,致敬！！
93,刘翔，我枯了
94,还有一次呼喊的机会
95,要哭
96,当时我在看直播
